player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Jorge Mateo,ATL,R,Trevor Rogers,L,BAL,BAL,A,mlb_schedule,0.1481152326051082,575,1,draftkings,1120.0,0.08196721311475409,0.0661,0.1201152326051082,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,94.3,83.2,9.2,-7.047608876694596,0,89.0,1.0,7 MPH TOWARD HP,7:05 PM ET,Camden Yards,,9.0,9.0,0,54.0,4.609,0.0,0.48,0.24,88.18666666666667,0.3660222222222222,0.5360111111111112,0.0297619047619047,,,,,0,0,0,,2,2,2026-07-24,824812,622761,"{""draftkings"": {""odds"": 1120}, ""fanduel"": {""odds"": 700}}"
Kyle Karros,COL,R,Shane Drohan,L,MIL,MIL,A,mlb_schedule,0.1811184428970344,452,1,fanduel,750.0,0.1176470588235294,0.0635,0.1531184428970344,0.2069970845481049,0.1399416909620991,0.653061224489796,4.2,0.9882763745863092,113.4,77.8,13.7,13.59788227748611,0,68.0,1.0,14 MPH TOWARD OF,4:10 PM ET,American Family Field,9.0,2.0,,1,13.0,2.702,0.0232558139534883,0.4186046511627907,0.3023255813953488,91.77322222222224,0.4083666666666666,0.6615677777777778,0.0441176470588235,,,,,4,0,0,0.0,8,1,2026-07-24,823759,691720,"{""novig"": {""odds"": 700}, ""draftkings"": {""odds"": 710}, ""fanduel"": {""odds"": 750}}"
Joe Mack,MIA,L,Germán Márquez,R,MIA,SD,H,mlb_schedule,0.1631037402086947,513,1,draftkings,840.0,0.10638297872340426,0.0567,0.1351037402086947,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,91.5,,,,0,,,CALM,7:10 PM ET,loanDepot Park,,9.0,9.0,0,20.0,6.639,0.0256410256410256,0.3846153846153846,0.3333333333333333,85.48222222222222,0.3624166666666666,0.5667111111111112,0.0774647887323943,,,,,0,0,0,,8,1,2026-07-24,823843,691788,"{""novig"": {""odds"": 770}, ""bet365"": {""odds"": 550}, ""draftkings"": {""odds"": 840}}"
Colt Keith,DET,L,Beck Way,R,DET,KC,H,mlb_schedule,0.1251684773597338,699,1,bet365,1250.0,0.07407407407407407,0.0511,0.0971684773597338,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,97.2,80.3,8.0,2.7361611466053506,0,86.0,0.0,3 MPH TOWARD OF,6:40 PM ET,Comerica Park,,1.0,7.5,1,14.0,,0.0526315789473684,0.5,0.2894736842105263,92.85033333333332,0.4759466666666666,0.7290166666666666,0.0625,,,,,0,0,0,,8,0,2026-07-24,824248,690993,"{""bet365"": {""odds"": 1250}, ""fanduel"": {""odds"": 750}}"
Drake Baldwin,ATL,L,Trevor Rogers,L,BAL,BAL,A,mlb_schedule,0.221900216700019,351,1,novig,471.0,0.17513134851138354,0.0468,0.193900216700019,0.2073863636363636,0.1278409090909091,0.6647727272727273,4.3,0.990901722507088,115.6,83.2,9.2,-7.047608876694596,0,89.0,1.0,7 MPH TOWARD HP,7:05 PM ET,Camden Yards,19.0,1.0,9.0,1,5.0,4.609,0.04,0.54,0.3,91.716,0.4317588888888888,0.613891111111111,0.0297619047619047,,,,,4,0,0,0.0,12,7,2026-07-24,824812,686948,"{""novig"": {""odds"": 471}, ""bet365"": {""odds"": 450}, ""pinnacle"": {""odds"": 453}, ""draftkings"": {""odds"": 466}, ""fanduel"": {""odds"": 430}}"
A.J. Ewing,NYM,L,Roki Sasaki,R,NYM,LAD,H,mlb_schedule,0.1543869742710142,548,1,novig,809.0,0.11001100110011001,0.0444,0.1263869742710142,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,95.0,83.1,9.7,4.403707847473604,0,87.0,0.0,4 MPH TOWARD OF,7:10 PM ET,Citi Field,,1.0,10.0,0,16.0,4.566,0.0256410256410256,0.4615384615384615,0.3333333333333333,93.00888888888888,0.3806277777777778,0.5668666666666666,0.0769230769230769,,,,,0,0,0,,5,2,2026-07-24,823601,805999,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 750}, ""betmgm"": {""odds"": 525}, ""draftkings"": {""odds"": 710}, ""fanduel"": {""odds"": 750}}"
Isaac Collins,KC,L,Tarik Skubal,L,DET,DET,A,mlb_schedule,0.1163795983351978,759,1,bet365,1250.0,0.07407407407407407,0.0423,0.0883795983351978,0.2294117647058823,0.1352941176470588,0.6352941176470589,3.6,0.9735153666354874,97.2,80.3,8.0,2.7361611466053506,0,86.0,0.0,3 MPH TOWARD OF,6:40 PM ET,Comerica Park,6.0,7.0,7.5,0,14.0,2.108,0.0333333333333333,0.3666666666666666,0.3666666666666666,84.78444444444445,0.3614888888888889,0.5121888888888889,0.0642857142857142,,,,,6,0,0,0.0,4,2,2026-07-24,824248,686555,"{""novig"": {""odds"": 1011}, ""bet365"": {""odds"": 1250}, ""betmgm"": {""odds"": 900}, ""fanduel"": {""odds"": 1000}}"
Carter Jensen,KC,L,Tarik Skubal,L,DET,DET,A,mlb_schedule,0.1671766417948776,498,1,novig,700.0,0.125,0.0422,0.1391766417948776,0.2830687830687831,0.0952380952380952,0.6216931216931217,4.3,0.9846986333500487,97.2,80.3,8.0,2.7361611466053506,0,86.0,0.0,3 MPH TOWARD OF,6:40 PM ET,Comerica Park,14.0,1.0,7.5,0,22.0,2.108,0.054054054054054,0.4324324324324324,0.3783783783783784,90.07522222222222,0.41529,0.6798588888888889,0.0642857142857142,,,,,0,0,0,,12,2,2026-07-24,824248,695600,"{""novig"": {""odds"": 700}, ""fanduel"": {""odds"": 680}}"
Joey Ortiz,MIL,R,Tomoyuki Sugano,R,MIL,COL,H,mlb_schedule,0.137565772211545,627,1,novig,900.0,0.1,0.0376,0.109565772211545,0.22,0.08,0.7000000000000001,3.5,0.9852114909473604,113.4,77.8,13.7,13.59788227748611,0,68.0,1.0,14 MPH TOWARD OF,4:10 PM ET,American Family Field,,8.0,,1,7.0,5.168,0.048780487804878,0.3902439024390244,0.2682926829268293,82.56611111111111,0.3347142857142857,0.481422619047619,0.0597826086956521,,,,,4,0,0,0.0,4,1,2026-07-24,823759,687401,"{""novig"": {""odds"": 900}, ""bet365"": {""odds"": 850}, ""betmgm"": {""odds"": 525}, ""draftkings"": {""odds"": 850}, ""fanduel"": {""odds"": 870}}"
Starling Marte,KC,R,Tarik Skubal,L,DET,DET,A,mlb_schedule,0.10266965710910039,874,1,bet365,1400.0,0.06666666666666667,0.036,0.0746696571091004,0.22,0.08,0.7000000000000001,4.0,0.9919,104.4,80.3,8.0,2.7361611466053506,0,86.0,0.0,3 MPH TOWARD OF,6:40 PM ET,Comerica Park,,4.0,7.5,0,47.0,2.108,0.0,0.475,0.125,88.24833333333332,0.4495955555555556,0.6720166666666666,0.0642857142857142,,,,,6,4,0,0.667,1,0,2026-07-24,824248,516782,"{""novig"": {""odds"": 953}, ""bet365"": {""odds"": 1400}, ""draftkings"": {""odds"": 870}, ""fanduel"": {""odds"": 900}}"
