player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Junior Caminero,TB,R,Shane Bieber,R,TB,TOR,H,mlb_schedule,0.2399949300717262,317,0,,,,,0.2119949300717262,0.1869328493647913,0.1234119782214156,0.6896551724137931,4.2,0.9926591398834599,110.5,89.1,0.0,0.0,1,92.0,37.0,DOME,1:10 PM ET,Tropicana Field,35.0,2.0,1,9.0,,0.0227272727272727,0.5,0.2954545454545454,92.39155555555556,0.46194,0.7955033333333333,0.0700636942675159,,,,,10,2,2,0.2,28,7,2026-08-20,822934,691406
Alec Burleson,STL,L,Brady Singer,R,CIN,CIN,A,mlb_schedule,0.205743013181249,386,0,,,,,0.177743013181249,0.1669758812615955,0.0946196660482374,0.738404452690167,4.1,0.9959047122280936,123.1,80.0,8.6,-6.490502389915839,0,97.0,49.0,6 MPH TOWARD HP,12:40 PM ET,Great American Ball Park,21.0,3.0,1,4.0,6.791,0.048780487804878,0.5853658536585366,0.2926829268292683,92.94277777777778,0.4574111111111111,0.6967222222222222,0.029940119760479,,,,,18,10,4,0.556,18,3,2026-08-20,824474,676475
Sal Stewart,CIN,R,Michael McGreevy,R,CIN,STL,H,mlb_schedule,0.1928838594081453,418,0,,,,,0.1648838594081453,0.218978102189781,0.1058394160583941,0.6751824817518248,4.2,0.9911103294972861,113.5,80.0,8.6,-6.490502389915839,0,97.0,49.0,6 MPH TOWARD HP,12:40 PM ET,Great American Ball Park,27.0,2.0,1,7.0,4.247,0.0444444444444444,0.3111111111111111,0.3333333333333333,88.22822222222221,0.4248844444444444,0.6431,0.03954802259887,3.48,1.227272727272727,18.0,132.0,10,0,0,0.0,21,7,2026-08-20,824474,701398
Tyler Stephenson,CIN,R,Michael McGreevy,R,CIN,STL,H,mlb_schedule,0.1837079740530994,444,0,,,,,0.1557079740530994,0.22,0.08,0.7000000000000001,4.0,0.9919,113.5,80.0,8.6,-6.490502389915839,0,97.0,49.0,6 MPH TOWARD HP,12:40 PM ET,Great American Ball Park,,4.0,1,4.0,4.247,0.027027027027027,0.5135135135135135,0.3783783783783784,93.9738888888889,0.5054166666666666,0.7791611111111112,0.03954802259887,3.48,1.227272727272727,18.0,132.0,10,2,2,0.2,12,1,2026-08-20,824474,663886
JJ Bleday,CIN,L,Michael McGreevy,R,CIN,STL,H,mlb_schedule,0.1800052931070028,456,0,,,,,0.1520052931070028,0.2170731707317073,0.1439024390243902,0.6390243902439025,4.1,0.9846658671837529,123.1,80.0,8.6,-6.490502389915839,0,97.0,49.0,6 MPH TOWARD HP,12:40 PM ET,Great American Ball Park,20.0,3.0,0,14.0,4.247,0.0,0.3611111111111111,0.3888888888888889,89.27166666666668,0.2889222222222222,0.4622666666666666,0.03954802259887,3.48,1.227272727272727,18.0,132.0,6,0,0,0.0,15,6,2026-08-20,824474,668709
Elly De La Cruz,CIN,L,Michael McGreevy,R,CIN,STL,H,mlb_schedule,0.1729891091920438,478,0,,,,,0.1449891091920438,0.2738589211618257,0.1120331950207468,0.6141078838174273,4.3,0.9833350737629327,123.1,80.0,8.6,-6.490502389915839,0,97.0,49.0,6 MPH TOWARD HP,12:40 PM ET,Great American Ball Park,20.0,1.0,0,13.0,4.247,0.0,0.3,0.2666666666666666,87.44444444444444,0.2816888888888889,0.386,0.03954802259887,3.48,1.227272727272727,18.0,132.0,10,4,0,0.4,12,9,2026-08-20,824474,682829
Jonathan Aranda,TB,L,Shane Bieber,R,TB,TOR,H,mlb_schedule,0.1695532470392755,490,0,,,,,0.1415532470392755,0.2314814814814814,0.1222222222222222,0.6462962962962963,4.1,0.9858933987471736,99.8,89.1,0.0,0.0,1,92.0,37.0,DOME,1:10 PM ET,Tropicana Field,15.0,3.0,0,13.0,,0.0377358490566037,0.4716981132075472,0.320754716981132,89.76055555555556,0.3886877777777778,0.5666277777777778,0.0700636942675159,,,,,10,2,2,0.2,15,1,2026-08-20,822934,666018
Jimmy Crooks,STL,L,Brady Singer,R,CIN,CIN,A,mlb_schedule,0.1676562085000965,496,0,,,,,0.1396562085000965,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,123.1,80.0,8.6,-6.490502389915839,0,97.0,49.0,6 MPH TOWARD HP,12:40 PM ET,Great American Ball Park,,9.0,0,17.0,6.791,0.0625,0.40625,0.5,92.78444444444446,0.3868111111111111,0.6584444444444445,0.029940119760479,,,,,12,2,0,0.167,3,1,2026-08-20,824474,699625
Yandy Díaz,TB,R,Shane Bieber,R,TB,TOR,H,mlb_schedule,0.15876213932795818,530,0,,,,,0.1307621393279582,0.1412639405204461,0.104089219330855,0.7546468401486989,4.0,0.9963761799615605,110.5,89.1,0.0,0.0,1,92.0,37.0,DOME,1:10 PM ET,Tropicana Field,19.0,4.0,1,9.0,,0.0172413793103448,0.5,0.1896551724137931,91.75788888888889,0.40069,0.5711866666666666,0.0700636942675159,,,,,18,4,0,0.222,12,7,2026-08-20,822934,650490
Jordan Walker,STL,R,Brady Singer,R,CIN,CIN,A,mlb_schedule,0.1556963034689853,542,0,,,,,0.1276963034689853,0.2415094339622641,0.0849056603773584,0.6735849056603774,4.0,0.9886477764663523,113.5,80.0,8.6,-6.490502389915839,0,97.0,49.0,6 MPH TOWARD HP,12:40 PM ET,Great American Ball Park,25.0,4.0,1,4.0,6.791,0.0212765957446808,0.3191489361702128,0.2765957446808511,87.38833333333332,0.3046855555555555,0.4196433333333333,0.029940119760479,,,,,18,2,0,0.111,18,8,2026-08-20,824474,691023
