player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Pete Alonso,BAL,R,Zack Littell,R,BAL,WSH,H,mlb_schedule,0.3050847457627119,228,1,bet365,350.0,0.2222222222222222,0.0829,0.2373507911849953,0.239010989010989,0.1263736263736263,0.6346153846153846,4.0,0.9821761700833304,94.3,77.2,4.7,-4.613647762204021,0,97.0,27.0,5 MPH TOWARD HP,1:35 PM ET,Camden Yards,,4.0,9.0,1,,5.945,0.024390243902439,0.2926829268292683,0.1463414634146341,83.91191534391534,0.4502142857142857,0.6979523809523809,0.0204778156996587,0.2593856655290102,0.030716723549488,,,,,16,0,0,0.0,15,3,2026-06-28,824821,624413,"{""novig"": {""odds"": 292}, ""bet365"": {""odds"": 350}, ""pinnacle"": {""odds"": 298}, ""fanduel"": {""odds"": 300}}"
Rafael Devers,SF,L,Chris Sale,L,SF,ATL,H,mlb_schedule,0.1785529452067715,460,1,novig,900.0,0.1,0.0786,0.1505529452067715,0.2939481268011527,0.0806916426512968,0.6253602305475504,4.0,0.9803004860861232,77.2,73.5,16.2,11.84792996623056,0,88.0,0.0,12 MPH TOWARD OF,4:05 PM ET,Oracle Park,14.0,4.0,8.5,1,9.0,2.88,0.0126582278481012,0.3037974683544304,0.1772151898734177,85.09639682539682,0.4038499999999999,0.6303214285714285,0.0123076923076923,0.1753846153846154,0.0092307692307692,2.14,0.6428571428571428,6.0,84.0,10,0,0,0.0,11,2,2026-06-28,823204,646240,"{""novig"": {""odds"": 900}, ""bet365"": {""odds"": 700}, ""fanduel"": {""odds"": 800}}"
Jake Bauers,MIL,L,Ryan Rolison,L,MIL,CHC,H,mlb_schedule,0.2256271280048295,343,1,pinnacle,541.0,0.15600624024961,0.0696,0.1976271280048295,0.2526690391459075,0.1494661921708185,0.5978647686832741,3.9,0.9713548380493596,105.1,76.8,10.1,5.050000000000001,0,90.0,15.0,5 MPH TOWARD OF,2:10 PM ET,American Family Field,14.0,5.0,,0,16.0,4.485,0.0185185185185185,0.3703703703703703,0.1666666666666666,86.98427777777778,0.4636893939393939,0.7287803030303031,0.0149253731343283,0.2537313432835821,0.0,,,,,2,0,0,0.0,16,2,2026-06-28,823769,641343,"{""novig"": {""odds"": 456}, ""bet365"": {""odds"": 500}, ""pinnacle"": {""odds"": 541}, ""fanduel"": {""odds"": 430}}"
Kyle Karros,COL,R,Connor Prielipp,L,MIN,MIN,A,mlb_schedule,0.1524163568773234,556,1,bet365,1000.0,0.0909090909090909,0.0615,0.1168410356961064,0.2123552123552123,0.1235521235521235,0.6640926640926641,3.7,0.9823391294369668,92.4,78.7,17.6,17.42871800985164,0,86.0,71.0,17 MPH TOWARD OF,2:10 PM ET,Target Field,,6.0,,1,,3.421,0.0138888888888888,0.3472222222222222,0.1666666666666666,85.38553968253969,0.3537833333333333,0.5046777777777778,0.0245614035087719,0.2456140350877192,0.0175438596491228,,,,,0,0,0,,4,1,2026-06-28,823686,691720,"{""novig"": {""odds"": 770}, ""bet365"": {""odds"": 1000}, ""fanduel"": {""odds"": 800}}"
Jake Burger,TEX,R,Shane Bieber,R,TOR,TOR,A,mlb_schedule,0.248001971638282,303,1,novig,426.0,0.1901140684410646,0.0579,0.220001971638282,0.2569659442724458,0.0866873065015479,0.6563467492260061,3.9,0.9844807839143856,106.3,79.9,9.2,-7.347446692435095,0,89.0,0.0,7 MPH TOWARD HP,1:37 PM ET,Rogers Centre,,5.0,8.5,1,,,0.0,0.2857142857142857,0.1964285714285714,83.9331746031746,0.4365388888888888,0.7237111111111111,0.0147058823529411,0.3088235294117647,0.0330882352941176,,,,,10,4,2,0.4,11,4,2026-06-28,822795,669394,"{""novig"": {""odds"": 426}, ""bet365"": {""odds"": 390}, ""pinnacle"": {""odds"": 354}, ""fanduel"": {""odds"": 420}}"
J.P. Crawford,SEA,L,Gavin Williams,R,CLE,CLE,A,mlb_schedule,0.1653006022509889,505,1,fanduel,830.0,0.1075268817204301,0.0578,0.1373006022509889,0.1949458483754512,0.1552346570397112,0.6498194945848376,4.3,0.9890237130950518,106.3,81.6,11.2,-4.195593846258215,0,97.0,5.0,4 MPH TOWARD HP,1:40 PM ET,Progressive Field,10.0,1.0,7.5,0,25.0,3.804,0.0229885057471264,0.2298850574712643,0.1839080459770115,81.48186796536795,0.4311111111111111,0.6328444444444444,0.01,0.31,0.0333333333333333,3.82,1.396551724137931,15.0,96.66666666666669,10,4,0,0.4,9,1,2026-06-28,824422,641487,"{""novig"": {""odds"": 733}, ""bet365"": {""odds"": 800}, ""fanduel"": {""odds"": 830}}"
Ben Williamson,TB,R,Merrill Kelly,R,TB,AZ,H,mlb_schedule,0.1168350001445824,756,1,bet365,1550.0,0.0606060606060606,0.0562,0.0888350001445824,0.22,0.08,0.7000000000000001,3.6,0.9868889788795844,110.5,93.6,0.0,0.0,1,92.0,26.0,DOME,1:40 PM ET,Tropicana Field,,7.0,,0,,6.117,0.0192307692307692,0.3076923076923077,0.1153846153846153,86.75455555555556,0.3214777777777778,0.4158944444444444,0.0272727272727272,0.3,0.0363636363636363,,,,,4,2,0,0.5,0,2,2026-06-28,822959,810938,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 1550}, ""fanduel"": {""odds"": 1100}}"
Willy Adames,SF,R,Chris Sale,L,SF,ATL,H,mlb_schedule,0.1960859573522649,410,1,novig,614.0,0.1400560224089636,0.056,0.1680859573522649,0.272189349112426,0.059171597633136,0.6686390532544378,3.9,0.98653596731259,91.7,73.5,16.2,11.84792996623056,0,88.0,0.0,12 MPH TOWARD OF,4:05 PM ET,Oracle Park,14.0,5.0,8.5,1,11.0,2.88,0.0285714285714285,0.2714285714285714,0.2428571428571428,83.68301587301588,0.38327,0.62341,0.0123076923076923,0.1753846153846154,0.0092307692307692,2.14,0.6428571428571428,6.0,84.0,28,2,2,0.071,10,3,2026-06-28,823204,642715,"{""novig"": {""odds"": 614}, ""bet365"": {""odds"": 575}, ""fanduel"": {""odds"": 560}}"
Jacob Young,WSH,R,Kyle Bradish,R,BAL,BAL,A,mlb_schedule,0.1261261261261261,693,1,novig,1233.0,0.0750187546886721,0.0511,0.0914494207034791,0.1863117870722433,0.0608365019011406,0.752851711026616,3.6,0.993473995192977,94.3,77.2,4.7,-4.613647762204021,0,97.0,27.0,5 MPH TOWARD HP,1:35 PM ET,Camden Yards,,7.0,9.0,0,,4.239,0.0476190476190476,0.2222222222222222,0.1746031746031746,85.53141414141415,0.2962666666666667,0.4271444444444444,0.018450184501845,0.2361623616236162,0.03690036900369,3.64,1.1123595505617978,11.0,89.0,12,2,0,0.167,7,1,2026-06-28,824821,696285,"{""novig"": {""odds"": 1233}, ""fanduel"": {""odds"": 1200}}"
Carson Benge,NYM,L,Jesús Luzardo,L,NYM,PHI,H,mlb_schedule,0.1442307692307692,593,1,bet365,950.0,0.0952380952380952,0.049,0.1089646201081071,0.2153846153846154,0.083076923076923,0.7015384615384616,4.3,0.9944789712949936,95.0,81.9,8.4,6.434773322199416,0,94.0,3.0,6 MPH TOWARD OF,1:40 PM ET,Citi Field,,1.0,7.0,1,,3.401,0.0126582278481012,0.240506329113924,0.1645569620253164,85.18311111111112,0.4195844444444444,0.5808633333333333,0.0245614035087719,0.1859649122807017,0.0175438596491228,4.0,0.8772563176895308,9.0,92.33333333333331,0,0,0,,7,2,2026-06-28,823608,701807,"{""novig"": {""odds"": 852}, ""bet365"": {""odds"": 950}, ""fanduel"": {""odds"": 870}}"
Drake Baldwin,ATL,L,Robbie Ray,L,SF,SF,A,mlb_schedule,0.2036937812374857,391,1,novig,545.0,0.1550387596899224,0.0487,0.1756937812374857,0.2490272373540856,0.11284046692607,0.6381322957198443,3.9,0.9810178973169696,77.2,73.5,16.2,11.84792996623056,0,88.0,0.0,12 MPH TOWARD OF,4:05 PM ET,Oracle Park,14.0,5.0,8.5,1,12.0,5.332,0.0348837209302325,0.3255813953488372,0.1162790697674418,88.7095064935065,0.5541777777777778,0.8985777777777778,0.0303030303030303,0.2151515151515151,0.0303030303030303,3.7,1.4372623574144487,14.0,87.66666666666667,6,0,0,0.0,7,7,2026-06-28,823204,686948,"{""novig"": {""odds"": 545}, ""bet365"": {""odds"": 525}, ""fanduel"": {""odds"": 520}}"
Eli White,ATL,R,Robbie Ray,L,SF,SF,A,mlb_schedule,0.1480246070869068,576,1,bet365,900.0,0.1,0.048,0.1200246070869068,0.22,0.08,0.7000000000000001,3.5,0.9852114909473604,91.7,73.5,16.2,11.84792996623056,0,88.0,0.0,12 MPH TOWARD OF,4:05 PM ET,Oracle Park,,8.0,8.5,0,15.0,5.332,0.0,0.2083333333333333,0.125,81.00755555555557,0.2694615384615385,0.3747179487179487,0.0303030303030303,0.2151515151515151,0.0303030303030303,3.7,1.4372623574144487,14.0,87.66666666666667,10,2,0,0.2,3,2,2026-06-28,823204,642201,"{""novig"": {""odds"": 733}, ""bet365"": {""odds"": 900}, ""fanduel"": {""odds"": 830}}"
Curtis Mead,WSH,R,Kyle Bradish,R,BAL,BAL,A,mlb_schedule,0.1524163568773234,556,1,bet365,850.0,0.1052631578947368,0.0472,0.1144452943666579,0.22,0.08,0.7000000000000001,4.1,0.9928187979804218,94.3,77.2,4.7,-4.613647762204021,0,97.0,27.0,5 MPH TOWARD HP,1:35 PM ET,Camden Yards,,3.0,9.0,1,,4.239,0.0129870129870129,0.1948051948051948,0.1558441558441558,78.13972222222222,0.3273266666666666,0.4656766666666667,0.018450184501845,0.2361623616236162,0.03690036900369,3.64,1.1123595505617978,11.0,89.0,4,2,0,0.5,9,6,2026-06-28,824821,678554,"{""novig"": {""odds"": 641}, ""bet365"": {""odds"": 850}, ""fanduel"": {""odds"": 540}}"
