player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Alec Bohm,PHI,R,Sandy Alcantara,R,MIA,MIA,A,mlb_schedule,0.1519042960682487,558,1,novig,1150.0,0.08,0.0719,0.1239042960682487,0.1514423076923076,0.079326923076923,0.7692307692307692,4.0,0.9971639648471692,84.5,87.2,0.0,0.0,1,95.0,36.0,DOME,6:40 PM ET,loanDepot Park,13.0,4.0,1,6.0,4.063,0.0,0.5,0.1666666666666666,92.0402222222222,0.3247455555555555,0.4825177777777777,0.0414507772020725,4.01,1.0649651972157774,17.0,143.66666666666666,70,26,0,0.371,7,6,2026-07-28,823838,664761,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 950}, ""betmgm"": {""odds"": 875}, ""draftkings"": {""odds"": 1060}, ""fanduel"": {""odds"": 1060}}"
Bryan De La Cruz,PHI,R,Sandy Alcantara,R,MIA,MIA,A,mlb_schedule,0.1671766417948776,498,1,novig,900.0,0.1,0.0672,0.1391766417948776,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,84.5,87.2,0.0,0.0,1,95.0,36.0,DOME,6:40 PM ET,loanDepot Park,,8.0,1,6.0,4.063,0.0,0.5,0.3823529411764705,91.60111111111112,0.412800298222551,0.6633333333333333,0.0414507772020725,4.01,1.0649651972157774,17.0,143.66666666666666,0,0,0,,0,1,2026-07-28,823838,650559,"{""novig"": {""odds"": 900}, ""draftkings"": {""odds"": 810}, ""fanduel"": {""odds"": 800}}"
Edmundo Sosa,PHI,R,Sandy Alcantara,R,MIA,MIA,A,mlb_schedule,0.1581998061809535,532,1,novig,953.0,0.0949667616334283,0.0632,0.1301998061809535,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,84.5,87.2,0.0,0.0,1,95.0,36.0,DOME,6:40 PM ET,loanDepot Park,,6.0,0,35.0,4.063,0.0,0.475,0.225,87.34833333333334,0.3949833333333333,0.5612,0.0414507772020725,4.01,1.0649651972157774,17.0,143.66666666666666,18,10,0,0.556,2,3,2026-07-28,823838,624641,"{""novig"": {""odds"": 953}, ""betmgm"": {""odds"": 775}, ""fanduel"": {""odds"": 800}}"
Kyle Karros,COL,R,Michael King,R,SD,SD,A,mlb_schedule,0.1617010777193609,518,1,novig,900.0,0.1,0.0617,0.1337010777193609,0.2078651685393258,0.1376404494382022,0.654494382022472,3.9,0.9841519824845367,101.7,,,,0,,,CALM,9:40 PM ET,Petco Park,9.0,5.0,0,17.0,4.019,0.0238095238095238,0.3333333333333333,0.3095238095238095,89.53377777777777,0.3275277777777778,0.5194066666666666,0.0409356725146198,3.24,0.8296089385474861,11.0,119.33333333333331,0,0,0,,8,1,2026-07-28,823275,691720,"{""novig"": {""odds"": 900}, ""bet365"": {""odds"": 850}, ""fanduel"": {""odds"": 830}}"
Brandon Marsh,PHI,L,Sandy Alcantara,R,MIA,MIA,A,mlb_schedule,0.1656359945395879,504,1,draftkings,810.0,0.10989010989010989,0.0557,0.1376359945395879,0.2693266832917705,0.0598503740648379,0.6708229426433915,3.9,0.9868787479372673,91.5,87.2,0.0,0.0,1,95.0,36.0,DOME,6:40 PM ET,loanDepot Park,16.0,5.0,1,8.0,4.063,0.0,0.4324324324324324,0.3513513513513513,87.55999999999999,0.3274944444444445,0.4848666666666666,0.0414507772020725,4.01,1.0649651972157774,17.0,143.66666666666666,54,14,0,0.259,13,3,2026-07-28,823838,669016,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 700}, ""draftkings"": {""odds"": 810}}"
Jacob Young,WSH,R,Shane Bieber,R,WSH,TOR,H,mlb_schedule,0.1327550474451059,653,1,novig,1150.0,0.08,0.0528,0.1047550474451059,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,92.4,87.5,13.7,10.94130648764791,0,92.0,64.0,11 MPH TOWARD OF,6:45 PM ET,Nationals Park,,9.0,1,8.0,,0.0,0.2894736842105263,0.2631578947368421,82.33777777777777,0.3288333333333333,0.4516833333333333,0.0783132530120482,,,,,0,0,0,,7,2,2026-07-28,822703,696285,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 1100}, ""fanduel"": {""odds"": 1000}}"
Trea Turner,PHI,R,Sandy Alcantara,R,MIA,MIA,A,mlb_schedule,0.1517555676958329,559,1,bet365,900.0,0.1,0.0518,0.1237555676958329,0.2282608695652173,0.067391304347826,0.7043478260869565,4.3,0.9946989899235105,84.5,87.2,0.0,0.0,1,95.0,36.0,DOME,6:40 PM ET,loanDepot Park,14.0,1.0,1,8.0,4.063,0.0217391304347826,0.5217391304347826,0.1956521739130435,90.1588888888889,0.4155888888888889,0.5800666666666666,0.0414507772020725,4.01,1.0649651972157774,17.0,143.66666666666666,88,34,4,0.386,11,3,2026-07-28,823838,607208,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 900}, ""fanduel"": {""odds"": 800}}"
Max Schuemann,NYY,R,Anthony Kay,L,CWS,CWS,A,mlb_schedule,0.1238486211333686,707,1,bet365,1250.0,0.07407407407407407,0.0498,0.0958486211333686,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,91.0,74.4,16.4,-16.31015908403968,0,98.0,3.0,16 MPH TOWARD HP,7:40 PM ET,Rate Field,,8.0,0,24.0,5.48,0.074074074074074,0.4074074074074074,0.4444444444444444,84.57111111111111,0.43115,0.6996388888888888,0.0492957746478873,,,,,0,0,0,,2,1,2026-07-28,824569,680474,"{""novig"": {""odds"": 900}, ""bet365"": {""odds"": 1250}, ""draftkings"": {""odds"": 870}, ""fanduel"": {""odds"": 800}}"
Masyn Winn,STL,R,Colin Rea,R,STL,CHC,H,mlb_schedule,0.1306640294871434,665,1,draftkings,1120.0,0.08196721311475409,0.0487,0.1026640294871434,0.1920199501246882,0.1047381546134663,0.7032418952618453,3.7,0.9888342068418436,88.4,93.5,9.3,-9.158712103013537,0,88.0,2.0,9 MPH TOWARD HP,7:45 PM ET,Busch Stadium,4.0,6.0,0,25.0,4.461,0.0,0.4736842105263157,0.2894736842105263,90.525,0.3083444444444444,0.3930055555555556,0.0529411764705882,,,,,28,4,0,0.143,4,0,2026-07-28,823026,691026,"{""novig"": {""odds"": 1076}, ""bet365"": {""odds"": 950}, ""draftkings"": {""odds"": 1120}}"
Heriberto Hernández,MIA,R,Aaron Nola,R,MIA,PHI,H,mlb_schedule,0.2125525557098282,370,1,novig,506.0,0.16501650165016502,0.0475,0.1845525557098282,0.22,0.08,0.7000000000000001,4.1,0.9928187979804218,84.5,87.2,0.0,0.0,1,95.0,36.0,DOME,6:40 PM ET,loanDepot Park,,3.0,1,4.0,4.206,0.088235294117647,0.6176470588235294,0.4411764705882353,94.46666666666668,0.6792888888888889,1.1443,0.0915032679738562,5.82,2.076923076923077,25.0,108.33333333333331,0,0,0,,7,8,2026-07-28,823838,681715,"{""novig"": {""odds"": 506}, ""bet365"": {""odds"": 475}, ""draftkings"": {""odds"": 474}, ""fanduel"": {""odds"": 500}}"
Brandon Nimmo,TEX,L,Griffin Jax,R,TB,TB,A,mlb_schedule,0.1838870993715718,444,1,bet365,625.0,0.13793103448275862,0.046,0.1558870993715718,0.2164705882352941,0.0917647058823529,0.691764705882353,4.0,0.9909732905765017,99.8,86.9,0.0,0.0,1,96.0,28.0,DOME,6:40 PM ET,Tropicana Field,10.0,4.0,1,7.0,4.972,0.0,0.4523809523809524,0.1428571428571428,90.93222222222222,0.3798377777777778,0.5234922222222222,0.0697674418604651,,,,,6,0,0,0.0,8,3,2026-07-28,822949,607043,"{""novig"": {""odds"": 590}, ""bet365"": {""odds"": 625}, ""fanduel"": {""odds"": 520}}"
Jimmy Crooks,STL,L,Colin Rea,R,STL,CHC,H,mlb_schedule,0.1634442234977471,512,1,bet365,750.0,0.11764705882352941,0.0458,0.1354442234977471,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,81.1,93.5,9.3,-9.158712103013537,0,88.0,2.0,9 MPH TOWARD HP,7:45 PM ET,Busch Stadium,,9.0,1,10.0,4.461,0.0434782608695652,0.6521739130434783,0.391304347826087,95.48555555555556,0.5159666666666667,0.8365777777777778,0.0529411764705882,,,,,0,0,0,,2,1,2026-07-28,823026,699625,"{""novig"": {""odds"": 733}, ""bet365"": {""odds"": 750}, ""betmgm"": {""odds"": 650}}"
Isaac Collins,KC,R,Taj Bradley,R,MIN,MIN,A,mlb_schedule,0.1341158319857593,646,1,draftkings,1020.0,0.08928571428571429,0.0448,0.1061158319857593,0.2279202279202279,0.1339031339031339,0.6381766381766382,3.5,0.9715070040920155,92.4,88.8,6.3,4.754670355403464,0,77.0,3.0,5 MPH TOWARD OF,7:40 PM ET,Target Field,6.0,8.0,1,5.0,3.463,0.0357142857142857,0.3928571428571428,0.2857142857142857,83.32333333333332,0.3195333333333333,0.4485444444444444,0.0733333333333333,3.69,1.3343023255813953,17.0,114.66666666666669,8,2,0,0.25,4,2,2026-07-28,823676,686555,"{""novig"": {""odds"": 1011}, ""bet365"": {""odds"": 850}, ""betmgm"": {""odds"": 875}, ""draftkings"": {""odds"": 1020}, ""fanduel"": {""odds"": 1000}}"
Austin Wynns,TEX,R,Griffin Jax,R,TB,TB,A,mlb_schedule,0.1241216231364275,706,1,novig,1150.0,0.08,0.0441,0.0961216231364275,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,110.5,86.9,0.0,0.0,1,96.0,28.0,DOME,6:40 PM ET,Tropicana Field,,9.0,0,380.0,4.972,0.0277777777777777,0.3055555555555556,0.2777777777777778,86.25555555555555,0.3053111111111111,0.4336555555555555,0.0697674418604651,,,,,0,0,0,,0,0,2026-07-28,822949,642851,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 1100}, ""fanduel"": {""odds"": 1000}}"
Daylen Lile,WSH,L,Shane Bieber,R,WSH,TOR,H,mlb_schedule,0.1740504970065073,475,1,novig,669.0,0.13003901170351106,0.044,0.1460504970065073,0.184090909090909,0.0704545454545454,0.7454545454545455,3.7,0.9936710483065077,93.0,87.5,13.7,10.94130648764791,0,92.0,64.0,11 MPH TOWARD OF,6:45 PM ET,Nationals Park,11.0,6.0,0,11.0,,0.0714285714285714,0.5,0.4047619047619047,92.8942222222222,0.4446255555555555,0.6714033333333334,0.0783132530120482,,,,,0,0,0,,11,1,2026-07-28,822703,695734,"{""novig"": {""odds"": 669}, ""bet365"": {""odds"": 600}, ""betmgm"": {""odds"": 575}, ""fanduel"": {""odds"": 600}}"
Joe Mack,MIA,L,Aaron Nola,R,MIA,PHI,H,mlb_schedule,0.1568085656892045,538,1,novig,770.0,0.11494252873563218,0.0419,0.1288085656892045,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,91.5,87.2,0.0,0.0,1,95.0,36.0,DOME,6:40 PM ET,loanDepot Park,,9.0,1,4.0,4.206,0.0555555555555555,0.3888888888888889,0.3888888888888889,89.19944444444445,0.5915166666666666,1.0169777777777778,0.0915032679738562,5.82,2.076923076923077,25.0,108.33333333333331,4,0,0,0.0,9,1,2026-07-28,823838,691788,"{""novig"": {""odds"": 770}, ""bet365"": {""odds"": 650}, ""betmgm"": {""odds"": 675}, ""draftkings"": {""odds"": 680}, ""fanduel"": {""odds"": 750}}"
JJ Wetherholt,STL,L,Colin Rea,R,STL,CHC,H,mlb_schedule,0.1591004274749137,529,1,bet365,750.0,0.11764705882352941,0.0415,0.1311004274749137,0.161925601750547,0.1291028446389496,0.7089715536105032,4.3,0.9950463833334987,81.1,93.5,9.3,-9.158712103013537,0,88.0,2.0,9 MPH TOWARD HP,7:45 PM ET,Busch Stadium,15.0,1.0,1,6.0,4.461,0.0652173913043478,0.4565217391304347,0.2826086956521739,90.2431111111111,0.3107777777777778,0.4630299999999999,0.0529411764705882,,,,,0,0,0,,11,4,2026-07-28,823026,802139,"{""novig"": {""odds"": 614}, ""bet365"": {""odds"": 750}, ""betmgm"": {""odds"": 450}, ""draftkings"": {""odds"": 610}, ""fanduel"": {""odds"": 560}}"
Luke Keaschall,MIN,R,Seth Lugo,R,MIN,KC,H,mlb_schedule,0.1306640294871434,665,1,novig,1011.0,0.09000900090009001,0.0407,0.1026640294871434,0.1546391752577319,0.134020618556701,0.711340206185567,3.6,0.9885872403960014,92.4,88.8,6.3,4.754670355403464,0,77.0,3.0,5 MPH TOWARD OF,7:40 PM ET,Target Field,4.0,7.0,0,24.0,3.6,0.0,0.2702702702702703,0.2702702702702703,84.21,0.2863,0.4023722222222223,0.0773809523809523,4.36,1.1473087818696883,15.0,117.66666666666669,8,4,0,0.5,4,1,2026-07-28,823676,807712,"{""novig"": {""odds"": 1011}, ""bet365"": {""odds"": 950}, ""betmgm"": {""odds"": 725}, ""draftkings"": {""odds"": 1000}, ""fanduel"": {""odds"": 900}}"
Griffin Conine,MIA,L,Aaron Nola,R,MIA,PHI,H,mlb_schedule,0.1825856725665187,448,1,fanduel,600.0,0.14285714285714285,0.0397,0.1545856725665187,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,91.5,87.2,0.0,0.0,1,95.0,36.0,DOME,6:40 PM ET,loanDepot Park,,6.0,0,10.0,4.206,0.0344827586206896,0.5517241379310345,0.2758620689655172,93.19055555555556,0.6010666666666666,0.9833833333333334,0.0915032679738562,5.82,2.076923076923077,25.0,108.33333333333331,6,2,0,0.333,8,1,2026-07-28,823838,665052,"{""novig"": {""odds"": 590}, ""bet365"": {""odds"": 500}, ""betmgm"": {""odds"": 500}, ""draftkings"": {""odds"": 594}, ""fanduel"": {""odds"": 600}}"
Hunter Feduccia,TB,L,Cal Quantrill,R,TB,TEX,H,mlb_schedule,0.1392065533731777,618,1,bet365,900.0,0.1,0.0392,0.1112065533731777,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,99.8,86.9,0.0,0.0,1,96.0,28.0,DOME,6:40 PM ET,Tropicana Field,,9.0,0,21.0,3.586,0.0588235294117647,0.4117647058823529,0.3529411764705882,88.3711111111111,0.3545166666666667,0.5178111111111111,0.0693069306930693,,,,,4,2,0,0.5,2,0,2026-07-28,822949,676439,"{""novig"": {""odds"": 900}, ""bet365"": {""odds"": 900}, ""draftkings"": {""odds"": 880}, ""fanduel"": {""odds"": 830}}"
Lars Nootbaar,STL,L,Colin Rea,R,STL,CHC,H,mlb_schedule,0.1501670346960656,566,1,bet365,800.0,0.1111111111111111,0.0391,0.1221670346960656,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,81.1,93.5,9.3,-9.158712103013537,0,88.0,2.0,9 MPH TOWARD HP,7:45 PM ET,Busch Stadium,,5.0,0,17.0,4.461,0.0277777777777777,0.4166666666666667,0.3055555555555556,91.01222222222222,0.3118133333333333,0.485871111111111,0.0529411764705882,,,,,26,8,0,0.308,2,1,2026-07-28,823026,663457,"{""novig"": {""odds"": 614}, ""bet365"": {""odds"": 800}, ""betmgm"": {""odds"": 600}, ""fanduel"": {""odds"": 560}}"
