player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Matt McLain,CIN,R,Shane Drohan,L,MIL,MIL,A,mlb_schedule,0.2256947413583462,343,1,fanduel,750.0,0.1176470588235294,0.108,0.1976947413583462,0.2592592592592592,0.1279461279461279,0.6127946127946128,3.5,0.9638760802654336,113.4,94.5,15.5,8.44190504273292,0,81.0,14.0,8 MPH TOWARD OF,8:10 PM ET,American Family Field,8.0,8.0,,0,24.0,2.702,0.0327868852459016,0.2459016393442623,0.1639344262295081,83.78812820512822,0.5498333333333334,0.8653974358974359,0.0180722891566265,0.2289156626506024,0.0240963855421686,,,,,4,0,0,0.0,6,4,2026-07-01,823767,680574,"{""novig"": {""odds"": 669}, ""bet365"": {""odds"": 625}, ""draftkings"": {""odds"": 730}, ""fanduel"": {""odds"": 750}}"
Jake Bauers,MIL,L,Andrew Abbott,L,MIL,CIN,H,mlb_schedule,0.2509374601587836,299,1,novig,488.0,0.1700680272108843,0.0809,0.2229374601587836,0.2534246575342466,0.1438356164383561,0.6027397260273972,4.0,0.9750941968553616,105.1,94.5,15.5,8.44190504273292,0,81.0,14.0,8 MPH TOWARD OF,8:10 PM ET,American Family Field,15.0,4.0,,1,7.0,4.747,0.0222222222222222,0.3555555555555555,0.1555555555555555,85.75944444444444,0.3264545454545455,0.4920681818181818,0.0161290322580645,0.2419354838709677,0.0258064516129032,3.9,1.5,15.0,90.0,0,0,0,,17,2,2026-07-01,823767,641343,"{""novig"": {""odds"": 488}, ""fanduel"": {""odds"": 450}}"
Elias Díaz,TEX,R,Joey Cantillo,L,CLE,CLE,A,mlb_schedule,0.1725445344402467,480,1,novig,900.0,0.1,0.0725,0.1445445344402467,0.22,0.08,0.7000000000000001,3.5,0.9852114909473604,95.7,94.6,13.8,-5.1695709891395865,0,86.0,1.0,5 MPH TOWARD HP,1:10 PM ET,Progressive Field,,8.0,7.5,0,,5.01,0.0166666666666666,0.2166666666666666,0.1666666666666666,82.43947619047619,0.3355222222222221,0.4589333333333333,0.0144404332129963,0.2166064981949458,0.0252707581227436,3.87,1.255813953488372,12.0,86.0,10,0,0,0.0,0,2,2026-07-01,824419,553869,"{""novig"": {""odds"": 900}, ""bet365"": {""odds"": 800}, ""fanduel"": {""odds"": 830}}"
Jake Burger,TEX,R,Joey Cantillo,L,CLE,CLE,A,mlb_schedule,0.2413552773627217,314,1,novig,488.0,0.1700680272108843,0.0713,0.2133552773627217,0.2567164179104477,0.0865671641791044,0.6567164179104478,4.0,0.9861128817597792,95.7,94.6,13.8,-5.1695709891395865,0,86.0,1.0,5 MPH TOWARD HP,1:10 PM ET,Progressive Field,,4.0,7.5,1,,5.01,0.0135135135135135,0.2432432432432432,0.1486486486486486,81.57251587301587,0.4923955555555555,0.7940622222222221,0.0144404332129963,0.2166064981949458,0.0252707581227436,3.87,1.255813953488372,12.0,86.0,10,4,0,0.4,11,4,2026-07-01,824419,669394,"{""novig"": {""odds"": 488}, ""bet365"": {""odds"": 425}, ""betmgm"": {""odds"": 340}, ""pinnacle"": {""odds"": 449}, ""fanduel"": {""odds"": 430}}"
Kyle Karros,COL,R,Max Meyer,R,COL,MIA,H,mlb_schedule,0.1649207023265292,506,1,bet365,950.0,0.09523809523809523,0.0697,0.1369207023265292,0.2140221402214022,0.1328413284132841,0.6531365313653137,3.5,0.9754215229367393,99.3,90.6,17.5,-7.671495068808857,0,87.0,3.0,8 MPH TOWARD HP,8:40 PM ET,Coors Field,5.0,8.0,11.0,1,4.0,3.046,0.0161290322580645,0.3548387096774194,0.1774193548387097,85.62196825396826,0.3810888888888888,0.5482944444444444,0.0218978102189781,0.2773722627737226,0.0218978102189781,2.6,0.7422680412371134,8.0,97.0,4,2,0,0.5,4,1,2026-07-01,824337,691720,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 950}, ""fanduel"": {""odds"": 830}}"
Garrett Mitchell,MIL,L,Andrew Abbott,L,MIL,CIN,H,mlb_schedule,0.1729921207817905,478,1,fanduel,800.0,0.1111111111111111,0.0619,0.1449921207817905,0.3436293436293436,0.1312741312741312,0.5250965250965252,3.7,0.9364025378930072,105.1,94.5,15.5,8.44190504273292,0,81.0,14.0,8 MPH TOWARD OF,8:10 PM ET,American Family Field,6.0,6.0,,1,5.0,4.747,0.0,0.2807017543859649,0.1228070175438596,88.73129629629629,0.424672619047619,0.6344047619047618,0.0161290322580645,0.2419354838709677,0.0258064516129032,3.9,1.5,15.0,90.0,0,0,0,,6,0,2026-07-01,823767,669003,"{""fanduel"": {""odds"": 800}}"
William Contreras,MIL,R,Andrew Abbott,L,MIL,CIN,H,mlb_schedule,0.245726105609039,307,1,novig,441.0,0.1848428835489833,0.0609,0.217726105609039,0.1323529411764706,0.0970588235294117,0.7705882352941177,4.1,0.997609304240816,113.4,94.5,15.5,8.44190504273292,0,81.0,14.0,8 MPH TOWARD OF,8:10 PM ET,American Family Field,9.0,3.0,,1,5.0,4.747,0.0140845070422535,0.3661971830985915,0.1971830985915492,87.50216666666667,0.4348988888888889,0.6796577777777778,0.0161290322580645,0.2419354838709677,0.0258064516129032,3.9,1.5,15.0,90.0,34,10,2,0.294,10,2,2026-07-01,823767,661388,"{""novig"": {""odds"": 441}, ""bet365"": {""odds"": 375}, ""betmgm"": {""odds"": 310}, ""pinnacle"": {""odds"": 364}, ""draftkings"": {""odds"": 426}, ""fanduel"": {""odds"": 440}}"
Cam Smith,HOU,R,Taj Bradley,R,HOU,MIN,H,mlb_schedule,0.1845518650670859,442,1,novig,641.0,0.1349527665317139,0.0496,0.1565518650670859,0.2530864197530864,0.0987654320987654,0.6481481481481481,3.9,0.9829861194110318,117.9,95.1,0.0,0.0,1,95.0,2.0,DOME,8:10 PM ET,Daikin Park,11.0,5.0,8.5,1,4.0,3.463,0.0333333333333333,0.2888888888888888,0.1111111111111111,84.9869624819625,0.3977566666666667,0.6092477777777778,0.0201342281879194,0.2785234899328859,0.0402684563758389,,,,,10,0,0,0.0,8,3,2026-07-01,824174,701358,"{""novig"": {""odds"": 641}, ""bet365"": {""odds"": 575}, ""fanduel"": {""odds"": 600}}"
Nick Gonzales,PIT,R,Zack Wheeler,R,PHI,PHI,A,mlb_schedule,0.1289284876773302,676,1,draftkings,1140.0,0.0806451612903225,0.0483,0.1009284876773302,0.1888544891640866,0.0804953560371517,0.7306501547987616,3.7,0.9921986115670404,114.1,97.0,10.2,9.644289471113032,0,84.0,9.0,10 MPH TOWARD OF,6:40 PM ET,Citizens Bank Park,3.0,6.0,8.0,0,10.0,3.514,0.0125,0.1875,0.15,83.47697619047618,0.3450888888888889,0.4829944444444444,0.0189873417721519,0.2183544303797468,0.0253164556962025,,,,,14,2,0,0.143,3,0,2026-07-01,823446,693304,"{""novig"": {""odds"": 1011}, ""bet365"": {""odds"": 900}, ""draftkings"": {""odds"": 1140}, ""fanduel"": {""odds"": 1060}}"
Brice Turang,MIL,L,Andrew Abbott,L,MIL,CIN,H,mlb_schedule,0.1545234917350532,547,1,fanduel,830.0,0.1075268817204301,0.047,0.1265234917350532,0.2646239554317549,0.1364902506963788,0.5988857938718664,4.2,0.9784361757898492,105.1,94.5,15.5,8.44190504273292,0,81.0,14.0,8 MPH TOWARD OF,8:10 PM ET,American Family Field,12.0,2.0,,0,15.0,4.747,0.027027027027027,0.1756756756756756,0.1081081081081081,84.69720634920635,0.3571277777777777,0.5162555555555556,0.0161290322580645,0.2419354838709677,0.0258064516129032,3.9,1.5,15.0,90.0,16,6,0,0.375,12,1,2026-07-01,823767,668930,"{""novig"": {""odds"": 770}, ""draftkings"": {""odds"": 790}, ""fanduel"": {""odds"": 830}}"
