player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Pete Alonso,BAL,R,Nick Martinez,R,BAL,TB,H,mlb_schedule,0.2451763972889816,308,0,,,,,0.2171763972889816,0.2397868561278863,0.1261101243339254,0.6341030195381883,4.2,0.9853409081111808,94.3,84.4,11.0,7.778174593052023,0,96.0,63.0,8 MPH TOWARD OF,1:35 PM ET,Camden Yards,30.0,2.0,1,8.0,3.652,0.0697674418604651,0.6511627906976745,0.3488372093023256,96.334,0.6236366666666666,1.025612222222222,0.0476190476190476,3.05,1.08,17.0,141.66666666666666,12,2,0,0.167,23,7,2026-08-23,824799,624413
Junior Caminero,TB,R,Shane Baz,R,BAL,BAL,A,mlb_schedule,0.2418169118090467,314,0,,,,,0.2138169118090467,0.1847246891651865,0.1207815275310834,0.69449378330373,4.1,0.9922628286778884,94.3,84.4,11.0,7.778174593052023,0,96.0,63.0,8 MPH TOWARD OF,1:35 PM ET,Camden Yards,35.0,3.0,1,12.0,3.983,0.0227272727272727,0.5,0.2954545454545454,92.39155555555556,0.46194,0.7955033333333333,0.0113636363636363,4.02,0.6796338672768879,11.0,145.66666666666666,12,4,0,0.333,28,7,2026-08-23,824799,691406
Kyle Schwarber,PHI,L,Kyle Leahy,R,PHI,STL,H,mlb_schedule,0.2307060495752887,333,0,,,,,0.2027060495752887,0.3333333333333333,0.1585585585585585,0.5081081081081082,4.3,0.9526805645215066,118.3,82.5,13.4,5.450271017215723,0,98.0,46.0,5 MPH TOWARD OF,1:35 PM ET,Citizens Bank Park,38.0,1.0,1,10.0,4.693,0.0555555555555555,0.5555555555555556,0.3055555555555556,92.21666666666668,0.4913277777777777,0.7456845238095238,0.0275862068965517,,,,,10,0,0,0.0,26,13,2026-08-23,823421,656941
Shohei Ohtani,LAD,L,Lake Bachar,R,LAD,PIT,H,mlb_schedule,0.2274865140932556,340,0,,,,,0.1994865140932556,0.2327272727272727,0.1454545454545454,0.6218181818181818,4.3,0.9847203721920419,107.0,100.2,9.8,6.299318574928086,0,76.0,0.0,6 MPH TOWARD OF,4:10 PM ET,Dodger Stadium,30.0,1.0,1,11.0,3.916,0.0,0.4390243902439024,0.2926829268292683,91.97833333333332,0.4464055555555555,0.6811888888888888,0.1224489795918367,,,,,2,0,0,0.0,18,12,2026-08-23,823909,660271
Yordan Alvarez,HOU,L,Brady Basso,L,HOU,ATH,H,mlb_schedule,0.2078874777747691,381,0,,,,,0.1798874777747691,0.1711229946524064,0.1711229946524064,0.6577540106951871,4.2,0.9889281257835368,117.9,100.0,0.0,0.0,1,96.0,4.0,DOME,2:10 PM ET,Daikin Park,36.0,2.0,1,9.0,,0.0,0.5111111111111111,0.3333333333333333,94.20266666666666,0.37407,0.5344688888888888,0.0227272727272727,,,,,0,0,0,,27,9,2026-08-23,824150,670541
Max Muncy,LAD,L,Lake Bachar,R,LAD,PIT,H,mlb_schedule,0.1981682434866722,405,0,,,,,0.1701682434866722,0.2538975501113585,0.1247216035634743,0.6213808463251671,4.0,0.9794500712000387,107.0,100.2,9.8,6.299318574928086,0,76.0,0.0,6 MPH TOWARD OF,4:10 PM ET,Dodger Stadium,26.0,4.0,1,7.0,3.916,0.0,0.5714285714285714,0.2857142857142857,90.73611111111111,0.3727499999999999,0.6121277777777777,0.1224489795918367,,,,,4,2,0,0.5,20,6,2026-08-23,823909,571970
Corbin Carroll,AZ,L,Andrew Abbott,L,AZ,CIN,H,mlb_schedule,0.1966307114958193,409,0,,,,,0.1686307114958193,0.2135036496350364,0.1332116788321168,0.6532846715328468,4.2,0.988308054605891,84.1,113.7,0.0,0.0,1,47.0,18.0,DOME,4:15 PM ET,Chase Field,18.0,2.0,1,11.0,4.747,0.04,0.48,0.32,91.15666666666668,0.3352388888888888,0.4938666666666666,0.0448717948717948,4.07,1.1626794258373203,18.0,139.33333333333334,10,2,0,0.2,14,5,2026-08-23,825043,682998
Sal Stewart,CIN,R,Mitch Bratt,L,AZ,AZ,A,mlb_schedule,0.19658098052983838,409,0,,,,,0.1685809805298384,0.2184724689165186,0.1047957371225577,0.6767317939609236,4.2,0.9912870630534105,97.4,113.7,0.0,0.0,1,47.0,18.0,DOME,4:15 PM ET,Chase Field,27.0,2.0,1,10.0,,0.0444444444444444,0.3111111111111111,0.3333333333333333,88.22822222222221,0.4248844444444444,0.6431,0.048780487804878,,,,,0,0,0,,21,7,2026-08-23,825043,701398
Munetaka Murakami,CWS,L,Nolan McLean,R,CWS,NYM,H,mlb_schedule,0.1942826898547162,415,0,,,,,0.1662826898547162,0.3333333333333333,0.1751824817518248,0.4914841849148419,4.2,0.9415911373310444,103.4,73.7,11.9,-11.834810554882452,0,91.0,6.0,12 MPH TOWARD HP,2:10 PM ET,Rate Field,29.0,2.0,1,7.0,3.722,0.088235294117647,0.5882352941176471,0.4411764705882353,96.02833333333334,0.5422388888888888,0.9146055555555554,0.0408163265306122,3.34,0.9462616822429908,15.0,142.66666666666666,0,0,0,,24,6,2026-08-23,824558,808959
Tim Tawa,AZ,R,Andrew Abbott,L,AZ,CIN,H,mlb_schedule,0.1935007332940672,417,0,,,,,0.1655007332940672,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,97.4,113.7,0.0,0.0,1,47.0,18.0,DOME,4:15 PM ET,Chase Field,,6.0,1,9.0,4.747,0.024390243902439,0.5853658536585366,0.2439024390243902,92.508,0.4561099999999999,0.6695,0.0448717948717948,4.07,1.1626794258373203,18.0,139.33333333333334,0,0,0,,8,0,2026-08-23,825043,694374
