player_name,team_abbr,stand,pitcher_name,p_throws,home_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,season_hr,bat_order,game_total,recent_hr,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,game_date,game_id,batter
Brayan Rocchio,CLE,R,Gerrit Cole,R,CLE,H,mlb_schedule,0.11577880195704546,764,1,prophetx,1150.0,0.08,0.0358,0.1166215387329453,0.1193415637860082,0.1152263374485596,0.7654320987654321,3.4,0.9927737467276122,95.7,88.3,12.8,10.611680928704532,0,5.0,9.0,8.5,1,0.0232558139534883,0.2093023255813953,0.1627906976744186,84.29480952380952,0.3168461538461538,0.4545069444444444,0.0206896551724137,0.2206896551724138,0.0068965517241379,2026-06-09,824429,677587
Dillon Dingler,DET,R,Taj Bradley,R,DET,H,mlb_schedule,0.18817819642803912,431,1,prophetx,540.0,0.15625,0.0319,0.1896261766094781,0.1934156378600823,0.1111111111111111,0.6954732510288066,4.1,0.9923640279663446,104.4,81.5,15.8,15.26162805536728,0,14.0,3.0,8.5,1,0.0126582278481012,0.3544303797468354,0.2151898734177215,85.15464285714286,0.4755222222222222,0.7451800000000001,0.0133779264214046,0.2374581939799331,0.020066889632107,2026-06-09,824267,693307
Chase Meidroth,CWS,R,Grant Holmes,R,CWS,H,mlb_schedule,0.10782645110039049,827,1,prophetx,1200.0,0.07692307692307693,0.0309,0.1091441213912844,0.2259259259259259,0.0962962962962963,0.6777777777777778,3.9,0.9879272445084786,91.0,88.1,8.9,7.707626093681505,0,5.0,5.0,9.5,0,0.0108695652173913,0.1739130434782608,0.1304347826086956,84.15183333333333,0.3228977777777778,0.4650433333333333,0.0223880597014925,0.2873134328358209,0.0373134328358208,2026-06-09,824591,805367
Alec Bohm,PHI,R,Dylan Cease,R,TOR,A,mlb_schedule,0.1166788666291911,757,1,prophetx,1000.0,0.09090909090909091,0.0258,0.117002783246317,0.1405622489959839,0.0803212851405622,0.7791164658634538,3.9,0.9972315477620393,106.3,,,,0,7.0,5.0,7.0,1,0.0116279069767441,0.2674418604651162,0.1162790697674418,86.37307142857142,0.37225,0.5218,0.0115830115830115,0.2084942084942085,0.0115830115830115,2026-06-09,822805,664761
Bo Bichette,NYM,R,Dustin May,R,NYM,H,mlb_schedule,0.11960662694001271,736,1,prophetx,900.0,0.1,0.0196,0.1199214932398294,0.1725352112676056,0.0704225352112676,0.7570422535211268,4.2,0.9973743964379514,95.6,79.4,12.0,11.817693036146496,0,5.0,2.0,7.5,0,0.0104166666666666,0.2604166666666667,0.1770833333333333,83.95357142857142,0.3670088888888889,0.52715,0.0130718954248366,0.284313725490196,0.0163398692810457,2026-06-09,823620,666182
Cole Young,SEA,L,Trevor Rogers,L,BAL,A,mlb_schedule,0.10555511200352659,847,1,prophetx,1050.0,0.08695652173913043,0.0186,0.1070437335083501,0.1977611940298507,0.0970149253731343,0.705223880597015,3.5,0.9860933334812412,115.6,83.4,8.4,-1.169054048064549,0,4.0,8.0,8.5,0,0.0,0.1625,0.1375,81.67044444444444,0.3637666666666667,0.4932166666666667,0.019047619047619,0.2412698412698412,0.0253968253968253,2026-06-09,824830,702284
Pete Alonso,BAL,R,Logan Gilbert,R,BAL,H,mlb_schedule,0.22054610378500009,353,1,prophetx,395.0,0.20202020202020202,0.0185,0.2230844582609039,0.2283737024221453,0.1072664359861591,0.6643598615916956,4.1,0.9886215539366031,94.3,83.4,8.4,-1.169054048064549,0,13.0,3.0,8.5,1,0.0113636363636363,0.3863636363636363,0.1818181818181818,88.98903174603174,0.4827977777777778,0.7667877777777777,0.0129032258064516,0.2709677419354839,0.032258064516129,2026-06-09,824830,624413
Coby Mayo,BAL,R,Logan Gilbert,R,BAL,H,mlb_schedule,0.19813591734924096,405,1,novig,456.0,0.17985611510791366,0.0183,0.2004660979341651,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,94.3,83.4,8.4,-1.169054048064549,0,,6.0,8.5,1,0.0,0.3488372093023256,0.1395348837209302,87.14156926406926,0.5600111111111111,0.8857888888888888,0.0129032258064516,0.2709677419354839,0.032258064516129,2026-06-09,824830,691723
Manny Machado,SD,R,Chase Burns,R,SD,H,mlb_schedule,0.1534977881571716,551,1,prophetx,610.0,0.14084507042253522,0.0127,0.1552146508674921,0.2298850574712643,0.1034482758620689,0.6666666666666667,4.1,0.9889387844464104,101.7,75.7,9.2,-7.442956348249515,0,11.0,3.0,7.5,1,0.0256410256410256,0.2948717948717949,0.1538461538461538,83.88686507936508,0.4252555555555555,0.7017055555555556,0.0183150183150183,0.2271062271062271,0.0293040293040293,2026-06-09,823290,592518
Jake McCarthy,COL,L,Colin Rea,R,COL,H,mlb_schedule,0.11243399892705556,789,1,prophetx,900.0,0.1,0.0124,0.1130722291253837,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,113.9,92.2,21.7,8.47886548821724,0,,1.0,12.5,1,0.010752688172043,0.2258064516129032,0.1827956989247312,82.85144444444444,0.3672499999999999,0.5158964285714286,0.0290322580645161,0.2612903225806451,0.0258064516129032,2026-06-09,824347,664983
Ryan O'Hearn,PIT,L,Eric Lauer,L,PIT,H,mlb_schedule,0.1251834150087008,699,1,prophetx,780.0,0.11363636363636363,0.0115,0.1262881443738824,0.1990291262135922,0.1067961165048543,0.6941747572815534,4.0,0.9912523113657369,90.6,86.7,13.3,13.227141208398036,0,9.0,4.0,8.5,1,0.037037037037037,0.2222222222222222,0.1851851851851851,82.93989417989418,0.2798188888888889,0.3913766666666666,0.0136054421768707,0.2346938775510204,0.0408163265306122,2026-06-09,823374,656811
Kyle Karros,COL,R,Colin Rea,R,COL,H,mlb_schedule,0.1249937554573841,700,1,novig,770.0,0.11494252873563218,0.0101,0.1288219351595744,0.2300469483568075,0.136150234741784,0.6338028169014085,3.5,0.9702831687984794,99.3,92.2,21.7,8.47886548821724,0,3.0,8.0,12.5,0,0.0483870967741935,0.2580645161290322,0.2096774193548387,83.27104761904761,0.378922619047619,0.5697440476190476,0.0290322580645161,0.2612903225806451,0.0258064516129032,2026-06-09,824347,691720
Brandon Lowe,PIT,L,Eric Lauer,L,PIT,H,mlb_schedule,0.19563348461707167,411,1,prophetx,435.0,0.18691588785046728,0.0087,0.1985614688385693,0.2519083969465648,0.1145038167938931,0.633587786259542,4.2,0.9852540161058233,90.6,86.7,13.3,13.227141208398036,0,15.0,2.0,8.5,1,0.0138888888888888,0.2638888888888889,0.1666666666666666,82.88829437229438,0.4194513888888889,0.6366527777777776,0.0136054421768707,0.2346938775510204,0.0408163265306122,2026-06-09,823374,664040
