player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Jake Bauers,MIL,L,Brady Singer,R,CIN,CIN,A,mlb_schedule,0.2471971696253306,305,0,,,,,0.2191971696253306,0.2573099415204678,0.1695906432748538,0.5730994152046784,4.0,0.9667870846259645,123.1,84.0,11.3,-10.914961837066471,0,94.0,17.0,11 MPH TOWARD HP,12:10 PM ET,Great American Ball Park,23.0,4.0,1,15.0,6.791,0.0857142857142857,0.4857142857142857,0.3428571428571428,91.76833333333332,0.5034111111111111,0.7654222222222222,0.0441988950276243,,,,,18,0,0,0.0,21,6,2026-09-06,824469,641343
Pete Alonso,BAL,R,Payton Tolle,L,BAL,BOS,H,mlb_schedule,0.2234252890161668,348,0,,,,,0.1954252890161668,0.2407108239095315,0.1276252019386106,0.6316639741518579,4.2,0.9849260999418834,94.3,82.6,9.2,-6.728454054896368,0,84.0,1.0,7 MPH TOWARD HP,1:35 PM ET,Camden Yards,33.0,2.0,1,11.0,2.656,0.1063829787234042,0.5957446808510638,0.2553191489361702,94.84788888888887,0.5490477777777778,0.83104,0.0522388059701492,,,,,10,2,0,0.2,24,9,2026-09-06,824794,624413
Jackson Chourio,MIL,R,Brady Singer,R,CIN,CIN,A,mlb_schedule,0.2134163432598541,369,0,,,,,0.1854163432598541,0.236734693877551,0.0816326530612244,0.6816326530612246,4.1,0.9908376489996996,113.5,84.0,11.3,-10.914961837066471,0,94.0,17.0,11 MPH TOWARD HP,12:10 PM ET,Great American Ball Park,21.0,3.0,1,8.0,6.791,0.0612244897959183,0.4489795918367347,0.4081632653061224,89.89444444444443,0.3867466666666666,0.574381111111111,0.0441988950276243,,,,,22,6,0,0.273,15,7,2026-09-06,824469,694192
Matt Olson,ATL,L,Aaron Nola,R,PHI,PHI,A,mlb_schedule,0.21007002240504138,376,0,,,,,0.1820700224050414,0.2576985413290113,0.1021069692058346,0.6401944894651539,4.1,0.9848686379535541,118.3,78.4,9.5,-9.463849631871582,0,92.0,8.0,9 MPH TOWARD HP,1:10 PM ET,Citizens Bank Park,37.0,3.0,1,11.0,4.206,0.0,0.4634146341463415,0.3902439024390244,91.5311111111111,0.4786833333333333,0.7525388888888889,0.0897435897435897,4.93,1.945945945945946,32.0,148.0,70,18,8,0.257,25,14,2026-09-06,823417,621566
Sal Stewart,CIN,R,Kyle Harrison,L,CIN,MIL,H,mlb_schedule,0.2069588568038442,383,0,,,,,0.1789588568038442,0.2130081300813008,0.1008130081300813,0.6861788617886179,4.1,0.9913623223559653,113.5,84.0,11.3,-10.914961837066471,0,94.0,17.0,11 MPH TOWARD HP,12:10 PM ET,Great American Ball Park,31.0,3.0,1,7.0,3.1,0.0416666666666666,0.375,0.3541666666666667,90.1962222222222,0.45633,0.70401,0.081967213114754,,,,,0,0,0,,24,8,2026-09-06,824469,701398
Jo Adell,CLE,R,Jackson Jobe,R,CLE,DET,H,mlb_schedule,0.2064924312814502,384,0,,,,,0.1784924312814502,0.2391681109185442,0.0762564991334488,0.6845753899480069,4.1,0.991179933556087,95.7,75.9,13.0,-3.364647586332771,0,91.0,1.0,CROSSWIND 13 MPH,1:40 PM ET,Progressive Field,20.0,3.0,0,15.0,,0.0454545454545454,0.5227272727272727,0.2727272727272727,93.77588888888889,0.4908566666666666,0.8015322222222223,0.0472972972972973,,,,,0,0,0,,9,12,2026-09-06,824385,666176
Kyle Schwarber,PHI,L,Tyler Mahle,R,PHI,ATL,H,mlb_schedule,0.1907194384140678,424,0,,,,,0.1627194384140678,0.3262295081967213,0.1557377049180328,0.5180327868852459,4.3,0.9566513845988971,118.3,78.4,9.5,-9.463849631871582,0,92.0,8.0,9 MPH TOWARD HP,1:10 PM ET,Citizens Bank Park,41.0,1.0,1,11.0,4.882,0.0638297872340425,0.4042553191489361,0.3404255319148936,87.74277777777779,0.3735222222222222,0.6355333333333333,0.0314465408805031,,,,,40,12,4,0.3,28,14,2026-09-06,823417,656941
Ronald Acuña Jr.,ATL,R,Aaron Nola,R,PHI,PHI,A,mlb_schedule,0.1875340311519527,433,0,,,,,0.1595340311519527,0.22,0.08,0.7000000000000001,4.2,0.9936333750066674,114.1,78.4,9.5,-9.463849631871582,0,92.0,8.0,9 MPH TOWARD HP,1:10 PM ET,Citizens Bank Park,,2.0,0,22.0,4.206,0.0263157894736842,0.4473684210526316,0.1842105263157894,89.89000000000001,0.4249777777777778,0.589338888888889,0.0897435897435897,4.93,1.945945945945946,32.0,148.0,108,36,8,0.333,11,4,2026-09-06,823417,660670
Corbin Carroll,AZ,L,Peter Lambert,R,HOU,HOU,A,mlb_schedule,0.1837462828504369,444,0,,,,,0.1557462828504369,0.2209302325581395,0.127906976744186,0.6511627906976745,3.9,0.9835476123582184,117.9,90.1,0.0,0.0,1,94.0,25.0,DOME,2:10 PM ET,Daikin Park,19.0,5.0,1,9.0,3.732,0.0,0.475,0.2,91.34166666666668,0.3818477777777778,0.62312,0.0331125827814569,,,,,14,2,0,0.143,15,5,2026-09-06,824142,682998
JJ Bleday,CIN,L,Kyle Harrison,L,CIN,MIL,H,mlb_schedule,0.1837079740530994,444,0,,,,,0.1557079740530994,0.2147368421052631,0.1452631578947368,0.64,3.7,0.9771798101669357,123.1,84.0,11.3,-10.914961837066471,0,94.0,17.0,11 MPH TOWARD HP,12:10 PM ET,Great American Ball Park,22.0,6.0,0,15.0,3.1,0.0,0.3846153846153846,0.282051282051282,85.423,0.2996333333333333,0.4009477777777777,0.081967213114754,,,,,4,2,0,0.5,17,6,2026-09-06,824469,668709
Elly De La Cruz,CIN,R,Kyle Harrison,L,CIN,MIL,H,mlb_schedule,0.1835691932062043,445,0,,,,,0.1555691932062043,0.2727272727272727,0.1109090909090909,0.6163636363636363,4.2,0.9821160677326869,113.5,84.0,11.3,-10.914961837066471,0,94.0,17.0,11 MPH TOWARD HP,12:10 PM ET,Great American Ball Park,22.0,2.0,0,15.0,3.1,0.0,0.4571428571428571,0.2,94.04422222222225,0.4368866666666666,0.5760155555555555,0.081967213114754,,,,,14,0,0,0.0,14,9,2026-09-06,824469,682829
Riley Greene,DET,L,Gavin Williams,R,CLE,CLE,A,mlb_schedule,0.1831958887411343,446,0,,,,,0.1551958887411343,0.2720156555772994,0.1291585127201565,0.598825831702544,4.0,0.9740980867995402,106.3,75.9,13.0,-3.364647586332771,0,91.0,1.0,CROSSWIND 13 MPH,1:40 PM ET,Progressive Field,18.0,4.0,0,33.0,3.804,0.0476190476190476,0.3571428571428571,0.3809523809523809,84.61166666666668,0.4578055555555556,0.6933277777777778,0.0806451612903225,3.81,1.4907975460122698,27.0,163.0,28,4,2,0.143,14,4,2026-09-06,824385,682985
Bryce Harper,PHI,L,Tyler Mahle,R,PHI,ATL,H,mlb_schedule,0.1788396941396645,459,0,,,,,0.1508396941396645,0.2059308072487644,0.1663920922570016,0.6276771004942339,4.1,0.982591114572117,118.3,78.4,9.5,-9.463849631871582,0,92.0,8.0,9 MPH TOWARD HP,1:10 PM ET,Citizens Bank Park,27.0,3.0,1,11.0,4.882,0.05,0.425,0.25,90.77833333333334,0.4680666666666667,0.7084499999999999,0.0314465408805031,,,,,24,8,0,0.333,23,4,2026-09-06,823417,547180
Tyler Stephenson,CIN,R,Kyle Harrison,L,CIN,MIL,H,mlb_schedule,0.1776925850660496,463,0,,,,,0.1496925850660496,0.22,0.08,0.7000000000000001,4.0,0.9919,113.5,84.0,11.3,-10.914961837066471,0,94.0,17.0,11 MPH TOWARD HP,12:10 PM ET,Great American Ball Park,,4.0,1,7.0,3.1,0.0625,0.40625,0.28125,88.93722222222223,0.36655,0.5879388888888888,0.081967213114754,,,,,4,4,4,1.0,13,3,2026-09-06,824469,663886
Griffin Conine,MIA,L,Clay Holmes,R,MIA,CHC,H,mlb_schedule,0.1759222725193422,468,0,,,,,0.1479222725193422,0.22,0.08,0.7000000000000001,4.2,0.9936333750066674,91.5,,,,0,,,CALM,1:40 PM ET,loanDepot Park,,2.0,0,19.0,3.214,0.03125,0.5,0.34375,95.0038888888889,0.4937333333333333,0.7967111111111111,0.0178571428571428,,,,,12,6,0,0.5,14,2,2026-09-06,823822,665052
Eugenio Suárez,CIN,R,Kyle Harrison,L,CIN,MIL,H,mlb_schedule,0.1746093242596013,473,0,,,,,0.1466093242596013,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,113.5,84.0,11.3,-10.914961837066471,0,94.0,17.0,11 MPH TOWARD HP,12:10 PM ET,Great American Ball Park,,5.0,1,8.0,3.1,0.0,0.25,0.28125,85.25444444444445,0.3881222222222222,0.5307777777777777,0.081967213114754,,,,,12,0,0,0.0,16,5,2026-09-06,824469,553993
Drake Baldwin,ATL,L,Aaron Nola,R,PHI,PHI,A,mlb_schedule,0.1734082610104849,477,0,,,,,0.1454082610104849,0.2144212523719165,0.1081593927893738,0.6774193548387097,4.3,0.9922883960607037,118.3,78.4,9.5,-9.463849631871582,0,92.0,8.0,9 MPH TOWARD HP,1:10 PM ET,Citizens Bank Park,22.0,1.0,1,10.0,4.206,0.0638297872340425,0.5319148936170213,0.3191489361702128,91.94444444444444,0.3916455555555556,0.6021066666666666,0.0897435897435897,4.93,1.945945945945946,32.0,148.0,10,6,0,0.6,15,7,2026-09-06,823417,686948
