player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Ryan Ward,LAD,L,Erick Fedde,R,CWS,CWS,A,mlb_schedule,0.1093231253871662,815,0,,,,,0.1107755053777993,0.22,0.08,0.7000000000000001,3.6,0.9868889788795844,103.4,71.4,13.5,-8.495825279172804,0,97.0,59.0,8 MPH TOWARD HP,2:10 PM ET,Rate Field,,7.0,,1,7.0,6.1,0.0,0.1944444444444444,0.1388888888888889,78.08236607142857,0.7013933333333334,1.18928,0.0140350877192982,0.2807017543859649,0.0456140350877193,,,,,0,0,0,,3,0,2026-06-14,824586,669899
Adley Rutschman,BAL,R,Walker Buehler,R,BAL,SD,H,mlb_schedule,0.1076722322280906,829,0,,,,,0.108451041063199,0.22,0.08,0.7000000000000001,4.1,0.9928187979804218,94.3,94.5,14.6,12.38150220388382,0,93.0,63.0,12 MPH TOWARD OF,1:35 PM ET,Camden Yards,,3.0,,1,9.0,3.437,0.0344827586206896,0.396551724137931,0.2068965517241379,90.18907936507937,0.355011111111111,0.5935333333333332,0.0210526315789473,0.2421052631578947,0.0105263157894736,,,,,10,0,0,0.0,5,3,2026-06-14,824823,668939
Dylan Crews,WSH,R,Emerson Hancock,R,WSH,SEA,H,mlb_schedule,0.1062315269175119,841,0,,,,,0.1069999149226492,0.22,0.08,0.7000000000000001,4.1,0.9928187979804218,92.4,,,,0,,,CALM,1:35 PM ET,Nationals Park,,3.0,,1,8.0,3.721,0.0238095238095238,0.3214285714285714,0.1428571428571428,86.64608465608467,0.3670844444444444,0.5413566666666666,0.0239520958083832,0.2425149700598802,0.0269461077844311,2.74,1.1894273127753303,10.0,75.66666666666667,0,0,0,,2,1,2026-06-14,822722,686611
Andrew Benintendi,CWS,L,Emmet Sheehan,R,CWS,LAD,H,mlb_schedule,0.1054235883939467,849,0,,,,,0.1069999149226492,0.2760180995475113,0.0814479638009049,0.6425339366515836,4.1,0.985267964653598,103.4,71.4,13.5,-8.495825279172804,0,97.0,59.0,8 MPH TOWARD HP,2:10 PM ET,Rate Field,7.0,3.0,,1,11.0,4.313,0.0389610389610389,0.2077922077922078,0.1428571428571428,81.15440067340067,0.3923095238095238,0.5852738095238096,0.0199335548172757,0.2358803986710963,0.0332225913621262,,,,,0,0,0,,7,1,2026-06-14,824586,643217
Jasson Domínguez,NYY,R,Patrick Corbin,L,TOR,TOR,A,mlb_schedule,0.1046115447634593,856,0,,,,,0.1053682152032765,0.22,0.08,0.7000000000000001,4.1,0.9928187979804218,106.3,,,,0,,,CALM,1:37 PM ET,Rogers Centre,,3.0,,1,42.0,4.6,0.0208333333333333,0.3333333333333333,0.1458333333333333,86.57455555555556,0.3582820512820512,0.4445512820512821,0.010204081632653,0.2857142857142857,0.0136054421768707,,,,,2,0,0,0.0,3,0,2026-06-14,822801,691176
Mike Yastrzemski,ATL,L,Freddy Peralta,R,NYM,NYM,A,mlb_schedule,0.1043524674377283,858,0,,,,,0.1059188492994382,0.22,0.08,0.7000000000000001,3.5,0.9852114909473604,95.0,89.0,19.3,19.288242961468548,0,93.0,20.0,19 MPH TOWARD OF,1:40 PM ET,Citi Field,,8.0,,0,24.0,4.003,0.0,0.3191489361702128,0.1914893617021276,86.1601111111111,0.4078269230769231,0.5419615384615385,0.0286624203821656,0.2388535031847133,0.019108280254777,4.04,1.1538461538461535,10.0,78.0,18,2,0,0.111,5,0,2026-06-14,823615,573262
Blaze Alexander,BAL,R,Walker Buehler,R,BAL,SD,H,mlb_schedule,0.1043047978266465,859,0,,,,,0.1060741812504402,0.22,0.08,0.7000000000000001,3.4,0.98331937703468,94.3,94.5,14.6,12.38150220388382,0,93.0,63.0,12 MPH TOWARD OF,1:35 PM ET,Camden Yards,,9.0,,1,8.0,3.437,0.0235294117647058,0.2117647058823529,0.1176470588235294,84.37222727272727,0.4479607142857142,0.6991964285714286,0.0210526315789473,0.2421052631578947,0.0105263157894736,,,,,2,0,0,0.0,1,1,2026-06-14,824823,677942
William Contreras,MIL,R,Cristopher Sánchez,L,MIL,PHI,H,mlb_schedule,0.1033554866268776,868,0,,,,,0.1035604496266444,0.1307420494699646,0.0883392226148409,0.7809187279151943,4.1,0.998020837100402,113.4,72.3,16.6,-13.257349466785064,0,79.0,20.0,13 MPH TOWARD HP,2:10 PM ET,American Family Field,6.0,3.0,,1,6.0,1.846,0.0126582278481012,0.2658227848101265,0.2151898734177215,85.12211904761904,0.3336855555555555,0.490541111111111,0.0070422535211267,0.306338028169014,0.0105633802816901,1.54,0.3857142857142857,4.0,93.33333333333331,12,2,0,0.167,7,2,2026-06-14,823777,661388
Eli White,ATL,R,Freddy Peralta,R,NYM,NYM,A,mlb_schedule,0.1022026663843497,878,0,,,,,0.1035604496266444,0.22,0.08,0.7000000000000001,3.6,0.9868889788795844,95.6,89.0,19.3,19.288242961468548,0,93.0,20.0,19 MPH TOWARD OF,1:40 PM ET,Citi Field,,7.0,,0,49.0,4.003,0.0,0.2666666666666666,0.0888888888888888,84.00592592592594,0.3744761904761904,0.490702380952381,0.0286624203821656,0.2388535031847133,0.019108280254777,4.04,1.1538461538461535,10.0,78.0,4,2,2,0.5,3,2,2026-06-14,823615,642201
Jeremiah Jackson,BAL,R,Walker Buehler,R,BAL,SD,H,mlb_schedule,0.1016612821411706,884,0,,,,,0.1031872679879272,0.22,0.08,0.7000000000000001,3.5,0.9852114909473604,94.3,94.5,14.6,12.38150220388382,0,93.0,63.0,12 MPH TOWARD OF,1:35 PM ET,Camden Yards,,8.0,,0,45.0,3.437,0.0142857142857142,0.4,0.1428571428571428,86.50750793650792,0.35288,0.5068022222222222,0.0210526315789473,0.2421052631578947,0.0105263157894736,,,,,0,0,0,,7,1,2026-06-14,824823,669236
Victor Caratini,MIN,L,Michael McGreevy,R,MIN,STL,H,mlb_schedule,0.101335516408698,887,0,,,,,0.1025272743497007,0.22,0.08,0.7000000000000001,3.7,0.9883761862532516,93.0,73.1,14.7,-14.7,0,70.0,1.0,15 MPH TOWARD HP,2:10 PM ET,Target Field,,6.0,,1,10.0,4.247,0.0,0.2727272727272727,0.1363636363636363,84.00193650793652,0.3910486111111111,0.5563541666666666,0.0134228187919463,0.2986577181208054,0.023489932885906,2.99,1.2442396313364057,10.0,72.33333333333333,0,0,0,,4,1,2026-06-14,823693,605170
Geraldo Perdomo,AZ,L,Andrew Abbott,L,CIN,CIN,A,mlb_schedule,0.1007117526923947,893,0,,,,,0.1014495255392096,0.1214285714285714,0.1428571428571428,0.7357142857142858,3.7,0.9927276855865658,123.1,84.0,16.8,4.064287846074417,0,98.0,63.0,CROSSWIND 17 MPH,1:40 PM ET,Great American Ball Park,3.0,6.0,,0,16.0,4.747,0.0,0.24,0.1,83.87398412698413,0.3364297619047619,0.4159142857142857,0.0162337662337662,0.25,0.0259740259740259,4.1,1.2053571428571428,10.0,74.66666666666667,6,2,2,0.333,2,1,2026-06-14,824506,672695
Taylor Ward,BAL,R,Walker Buehler,R,BAL,SD,H,mlb_schedule,0.1002748392800728,897,0,,,,,0.1023448790284349,0.2018348623853211,0.2018348623853211,0.5963302752293578,4.3,0.979773880549637,94.3,94.5,14.6,12.38150220388382,0,93.0,63.0,12 MPH TOWARD OF,1:35 PM ET,Camden Yards,3.0,1.0,,1,7.0,3.437,0.0240963855421686,0.2771084337349397,0.1566265060240964,83.6625634920635,0.4034333333333333,0.5602,0.0210526315789473,0.2421052631578947,0.0105263157894736,,,,,10,2,2,0.2,2,1,2026-06-14,824823,621493
Chase Meidroth,CWS,R,Emmet Sheehan,R,CWS,LAD,H,mlb_schedule,0.1002323372389511,898,0,,,,,0.1017020365089104,0.2202797202797203,0.0979020979020979,0.6818181818181818,3.7,0.9855489691218674,91.0,71.4,13.5,-8.495825279172804,0,97.0,59.0,8 MPH TOWARD HP,2:10 PM ET,Rate Field,5.0,6.0,,0,18.0,4.313,0.0108695652173913,0.1847826086956521,0.1304347826086956,83.66783333333335,0.3107477777777777,0.4499266666666666,0.0199335548172757,0.2358803986710963,0.0332225913621262,,,,,0,0,0,,5,1,2026-06-14,824586,805367
Michael Massey,KC,L,Spencer Arrighetti,R,KC,HOU,H,mlb_schedule,0.0995875517850879,904,0,,,,,0.1005058083763374,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,85.2,,,,0,,,CALM,2:10 PM ET,Kauffman Stadium,,5.0,,1,10.0,4.082,0.0133333333333333,0.2266666666666666,0.1733333333333333,83.77260317460318,0.3108988095238095,0.4585357142857142,0.0109090909090909,0.1854545454545454,0.0145454545454545,,,,,0,0,0,,5,1,2026-06-14,824099,686681
Salvador Perez,KC,R,Spencer Arrighetti,R,KC,HOU,H,mlb_schedule,0.0990152805273282,910,0,,,,,0.0996212019824158,0.1897810218978102,0.0620437956204379,0.7481751824817519,3.7,0.9939177459915158,83.7,,,,0,,,CALM,2:10 PM ET,Kauffman Stadium,9.0,6.0,,0,20.0,4.082,0.0,0.2727272727272727,0.1931818181818181,85.62803174603174,0.3811122222222222,0.5681055555555556,0.0109090909090909,0.1854545454545454,0.0145454545454545,,,,,4,2,0,0.5,7,4,2026-06-14,824099,521692
