player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Jake Bauers,MIL,L,Nick Lodolo,L,CIN,CIN,A,mlb_schedule,0.2620811512311801,282,1,pinnacle,527.0,0.1594896331738437,0.1026,0.2688825577714466,0.247191011235955,0.1423220973782771,0.6104868913857678,3.9,0.9747049172819614,123.1,80.9,9.4,-8.22142524711032,0,94.0,1.0,8 MPH TOWARD HP,7:10 PM ET,Great American Ball Park,13.0,5.0,9.5,0,11.0,6.498,0.0185185185185185,0.3703703703703703,0.1666666666666666,86.98427777777778,0.4636893939393939,0.7287803030303031,0.0197628458498023,0.2648221343873518,0.0395256916996047,,,,,0,0,0,,15,2,2026-06-23,824501,641343
Jordan Walker,STL,R,Eduardo Rodriguez,L,STL,AZ,H,mlb_schedule,0.22617298504502883,342,1,novig,456.0,0.17985611510791366,0.0463,0.2288271067971509,0.2507739938080495,0.0773993808049535,0.6718266253869969,4.0,0.9884011916714269,88.4,82.1,7.1,-4.468174776453845,0,95.0,1.0,4 MPH TOWARD HP,7:45 PM ET,Busch Stadium,18.0,4.0,8.5,0,10.0,3.837,0.0246913580246913,0.345679012345679,0.1481481481481481,88.42802380952381,0.4629722222222222,0.6945866666666667,0.009375,0.228125,0.01875,2.45,0.9169811320754716,9.0,88.33333333333333,0,0,0,,13,6,2026-06-23,823043,691023
Sam Antonacci,CWS,L,Parker Messick,L,CWS,CLE,H,mlb_schedule,0.10382407393261758,863,1,bet365,1500.0,0.0625,0.0413,0.1053825243479269,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,103.4,66.7,9.8,-9.508898117504764,0,86.0,1.0,10 MPH TOWARD HP,7:40 PM ET,Rate Field,,8.0,7.0,1,3.0,3.327,0.0375,0.2375,0.1375,83.78838095238095,0.4382311111111111,0.6605733333333333,0.0136054421768707,0.2210884353741496,0.0238095238095238,2.7,0.8307692307692307,8.0,86.66666666666667,0,0,0,,4,0,2026-06-23,824584,803011
Brice Turang,MIL,L,Nick Lodolo,L,CIN,CIN,A,mlb_schedule,0.1464351268134052,583,1,fanduel,790.0,0.1123595505617977,0.0341,0.1499730868457573,0.2599388379204893,0.1498470948012232,0.5902140672782875,4.2,0.9764093671287118,123.1,80.9,9.4,-8.22142524711032,0,94.0,1.0,8 MPH TOWARD HP,7:10 PM ET,Great American Ball Park,11.0,2.0,9.5,0,7.0,6.498,0.0263157894736842,0.1710526315789473,0.1052631578947368,82.52323015873016,0.3522888888888888,0.5419333333333333,0.0197628458498023,0.2648221343873518,0.0395256916996047,,,,,4,0,0,0.0,11,1,2026-06-23,824501,668930
Jac Caglianone,KC,L,Shane McClanahan,L,TB,TB,A,mlb_schedule,0.19916597759710888,402,1,novig,471.0,0.17513134851138354,0.024,0.2036811277342739,0.2934782608695652,0.1014492753623188,0.605072463768116,4.1,0.9778322607136407,99.8,94.2,0.0,0.0,1,88.0,2.0,DOME,6:40 PM ET,Tropicana Field,12.0,3.0,7.5,1,2.0,2.933,0.0098039215686274,0.284313725490196,0.0784313725490196,85.81807623857624,0.5621785714285714,0.8525297619047619,0.0,0.2238805970149253,0.0074626865671641,,,,,0,0,0,,9,3,2026-06-23,822963,695506
Gabriel Moreno,AZ,R,Kyle Leahy,R,STL,STL,A,mlb_schedule,0.11693097708516934,755,1,novig,953.0,0.0949667616334283,0.022,0.1178858524903411,0.22,0.08,0.7000000000000001,4.0,0.9919,88.4,82.1,7.1,-4.468174776453845,0,95.0,1.0,4 MPH TOWARD HP,7:45 PM ET,Busch Stadium,,4.0,8.5,1,9.0,4.693,0.0,0.2875,0.125,84.91411904761905,0.3578666666666666,0.5040555555555556,0.011070110701107,0.3357933579335793,0.029520295202952,,,,,0,0,0,,6,2,2026-06-23,823043,672515
Victor Caratini,MIN,R,Justin Wrobleski,L,MIN,LAD,H,mlb_schedule,0.12010987096995304,733,1,bet365,900.0,0.1,0.0201,0.1215224250042557,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,92.4,78.1,12.2,12.133167123492932,0,94.0,76.0,12 MPH TOWARD OF,7:40 PM ET,Target Field,,6.0,8.5,1,4.0,3.275,0.0454545454545454,0.2727272727272727,0.2045454545454545,85.85725396825397,0.4181666666666667,0.6587722222222222,0.0217391304347826,0.2934782608695652,0.0163043478260869,2.72,0.680672268907563,6.0,79.33333333333333,4,0,0,0.0,6,1,2026-06-23,823690,605170
Nolan Arenado,AZ,R,Kyle Leahy,R,STL,STL,A,mlb_schedule,0.11367570693950893,780,1,novig,953.0,0.0949667616334283,0.0187,0.1151554738241654,0.2043010752688172,0.1039426523297491,0.6917562724014337,3.7,0.9871498346060738,88.4,82.1,7.1,-4.468174776453845,0,95.0,1.0,4 MPH TOWARD HP,7:45 PM ET,Busch Stadium,8.0,6.0,8.5,0,22.0,4.693,0.0119047619047619,0.1904761904761904,0.1547619047619047,81.23327248677248,0.22468,0.2852500000000001,0.011070110701107,0.3357933579335793,0.029520295202952,,,,,0,0,0,,6,3,2026-06-23,823043,571448
Braden Montgomery,CWS,L,Parker Messick,L,CWS,CLE,H,mlb_schedule,0.11363645742658954,780,1,fanduel,920.0,0.09803921568627451,0.0156,0.1149728807786881,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,103.4,66.7,9.8,-9.508898117504764,0,86.0,1.0,10 MPH TOWARD HP,7:40 PM ET,Rate Field,,6.0,7.0,0,14.0,3.327,0.0,0.2285714285714285,0.1714285714285714,86.98222222222222,0.3371444444444444,0.4885333333333333,0.0136054421768707,0.2210884353741496,0.0238095238095238,2.7,0.8307692307692307,8.0,86.66666666666667,0,0,0,,1,0,2026-06-23,824584,695731
Iván Herrera,STL,R,Eduardo Rodriguez,L,STL,AZ,H,mlb_schedule,0.1264378348479124,691,1,fanduel,790.0,0.11235955056179775,0.0141,0.1279173068350945,0.1527377521613832,0.1930835734870317,0.6541786743515849,4.2,0.9884341530963487,88.4,82.1,7.1,-4.468174776453845,0,95.0,1.0,4 MPH TOWARD HP,7:45 PM ET,Busch Stadium,10.0,2.0,8.5,1,2.0,3.837,0.0229885057471264,0.3333333333333333,0.1034482758620689,84.84083044733046,0.2795555555555555,0.3986866666666666,0.009375,0.228125,0.01875,2.45,0.9169811320754716,9.0,88.33333333333333,0,0,0,,6,5,2026-06-23,823043,671056
