batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,extra_base_hit_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_k_1plus,p_k_2plus,adj_prob,pred_ks,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
677951,Bobby Witt Jr.,KC,AZ,1,2.0,1.0,571882.0,Derek Law,R,824062,2:10 PM ET,Kauffman Stadium,1,1,0.18118466898954705,2026-09-07,824062,,0,103.7,102.1,85.4,R,5,4,2,1,0,0,1,0,0,1,3,3,0,1,0,1,2,0.669,1.015,1,1,1,1,1,0,0.25862068965517243,0.34328358208955223,0.8275862068965517,0.14925373134328357,0.2765957446808511,0.15517241379310345,0.029850746268656716,0.04477611940298507,0.08620689655172414,1.6,0.6666666666666666,0.5102040816326531,0.2653061224489796,0.32653061224489793,0.2857142857142857,0.04081632653061224,0.40580999999999995,0.6851077777777779,0.23529411764705882,0.14285714285714285,0.42301666666666665,0.76855,0.2982456140350877,0.5263157894736842,0.19117647058823528,0.22807017543859648,0.40350877192982454,0.15873015873015872,0.6521739130434783,0.175,0.2,0.025,0.4666666666666667,0.13333333333333333,0.03333333333333333,6.942857142857143,0.0,10.028571428571428,0.2765957446808511,0.6544536951915967,0.2219629667653383,0.6544536951915967,0.6666666666666666,,0.5,,,,,False,,1.5,,,,,False,
695600,Carter Jensen,KC,AZ,1,1.0,1.0,571882.0,Derek Law,R,824062,2:10 PM ET,Kauffman Stadium,0,1,0.18118466898954705,2026-09-07,824062,,0,103.7,102.1,85.4,L,4,3,0,0,0,0,0,1,0,0,0,3,0,0,2,1,0,0.06266666666666666,0.10333333333333333,0,0,0,0,0,0,0.3269230769230769,0.4461538461538462,0.7307692307692307,0.2153846153846154,0.3333333333333333,0.4423076923076923,0.09230769230769231,0.046153846153846156,0.19230769230769232,2.6666666666666665,0.9333333333333333,0.6410256410256411,0.1794871794871795,0.358974358974359,0.46153846153846156,0.02564102564102564,0.44872222222222224,1.0001444444444443,0.45,0.22727272727272727,0.5590666666666666,1.2842833333333332,0.3333333333333333,0.803921568627451,0.20967741935483872,0.16981132075471697,0.2830188679245283,0.3,0.6521739130434783,0.175,0.2,0.025,0.4666666666666667,0.13333333333333333,0.03333333333333333,6.942857142857143,0.0,10.028571428571428,0.2765957446808511,0.7110611636937055,0.2935214193593531,0.7110611636937055,0.9333333333333333,,0.5,,,,,False,,1.5,,,,,False,
670231,John Rave,KC,AZ,1,7.0,1.0,571882.0,Derek Law,R,824062,2:10 PM ET,Kauffman Stadium,0,1,0.18118466898954705,2026-09-07,824062,,0,103.7,102.1,85.4,L,5,5,1,0,0,0,0,0,0,2,1,3,0,0,0,2,1,0.264,0.3115,1,0,1,0,1,1,0.19148936170212766,0.2692307692307692,0.7446808510638298,0.22641509433962265,0.21212121212121213,0.14893617021276595,0.03773584905660377,0.018867924528301886,0.06382978723404255,1.0666666666666667,0.8,0.3888888888888889,0.19444444444444445,0.4722222222222222,0.2222222222222222,0.0,0.26062,0.3914155555555555,0.1875,0.21052631578947367,0.24265999999999996,0.3362799999999999,0.20930232558139536,0.3488372093023256,0.16326530612244897,0.16666666666666666,0.20833333333333334,0.28,0.6521739130434783,0.175,0.2,0.025,0.4666666666666667,0.13333333333333333,0.03333333333333333,6.942857142857143,0.0,10.028571428571428,0.2765957446808511,0.644330625638046,0.24548122532942265,0.644330625638046,0.8,,0.5,,,,,False,,1.5,,,,,False,
664728,Kyle Isbel,KC,AZ,1,9.0,1.0,571882.0,Derek Law,R,824062,2:10 PM ET,Kauffman Stadium,0,1,0.18118466898954705,2026-09-07,824062,,0,103.7,102.1,85.4,L,4,4,0,0,0,0,0,0,0,1,0,3,0,1,1,2,0,0.149,0.16133333333333336,0,0,0,0,1,0,0.22448979591836735,0.2549019607843137,0.7551020408163265,0.23076923076923078,0.2571428571428571,0.16326530612244897,0.038461538461538464,0.038461538461538464,0.08163265306122448,1.2666666666666666,0.8,0.2631578947368421,0.18421052631578946,0.47368421052631576,0.3157894736842105,0.0,0.25239880952380955,0.3219523809523809,0.14285714285714285,0.21428571428571427,0.30441666666666667,0.36479166666666646,0.24489795918367346,0.40816326530612246,0.24528301886792453,0.15217391304347827,0.2608695652173913,0.24,0.6521739130434783,0.175,0.2,0.025,0.4666666666666667,0.13333333333333333,0.03333333333333333,6.942857142857143,0.0,10.028571428571428,0.2765957446808511,0.46903372680081307,0.12031958510068452,0.46903372680081307,0.8,,0.5,,,,,False,,1.5,,,,,False,
683090,Matthew Lugo,KC,AZ,1,8.0,1.0,571882.0,Derek Law,R,824062,2:10 PM ET,Kauffman Stadium,1,1,0.18118466898954705,2026-09-07,824062,,0,103.7,102.1,85.4,R,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.003,0.004,0,0,0,0,1,0,0.24242424242424243,0.24242424242424243,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.030303030303030304,0.0,0.030303030303030304,0.7333333333333333,0.7333333333333333,0.22727272727272727,0.09090909090909091,0.5,0.2727272727272727,0.045454545454545456,0.3064487179487179,0.4161666666666667,0.42857142857142855,0.42857142857142855,0.302,0.37799999999999995,0.23809523809523808,0.3333333333333333,0.3488372093023256,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.6521739130434783,0.175,0.2,0.025,0.4666666666666667,0.13333333333333333,0.03333333333333333,6.942857142857143,0.0,10.028571428571428,0.2765957446808511,0.6193112772768471,0.2150294396875496,0.6193112772768471,0.7333333333333333,,0.5,,,,,False,,1.5,,,,,False,
686681,Michael Massey,KC,AZ,1,5.0,1.0,571882.0,Derek Law,R,824062,2:10 PM ET,Kauffman Stadium,0,1,0.18118466898954705,2026-09-07,824062,,0,103.7,102.1,85.4,L,4,4,1,0,0,0,0,0,0,0,1,4,0,1,0,2,2,0.3025,0.378,1,0,1,0,0,0,0.3673469387755102,0.41509433962264153,0.8163265306122449,0.16981132075471697,0.42105263157894735,0.1836734693877551,0.03773584905660377,0.05660377358490566,0.10204081632653061,1.8,0.6,0.425,0.325,0.425,0.2,0.025,0.3709047619047619,0.5624345238095237,0.26666666666666666,0.0,0.39735,0.5965333333333334,0.34,0.52,0.07407407407407407,0.22916666666666666,0.3958333333333333,0.37254901960784315,0.6521739130434783,0.175,0.2,0.025,0.4666666666666667,0.13333333333333333,0.03333333333333333,6.942857142857143,0.0,10.028571428571428,0.2765957446808511,0.623471061962468,0.19332112224269082,0.623471061962468,0.6,,0.5,,,,,False,,1.5,,,,,False,
679845,Nick Loftin,KC,AZ,1,6.0,1.0,571882.0,Derek Law,R,824062,2:10 PM ET,Kauffman Stadium,1,1,0.18118466898954705,2026-09-07,824062,,0,103.7,102.1,85.4,R,4,4,2,0,0,0,0,0,0,1,2,3,0,1,1,1,1,0.30833333333333335,0.6853333333333333,1,1,1,1,1,0,0.2641509433962264,0.35,0.7735849056603774,0.2,0.3076923076923077,0.20754716981132076,0.03333333333333333,0.05,0.11320754716981132,1.6666666666666667,0.8,0.3170731707317073,0.24390243902439024,0.34146341463414637,0.36585365853658536,0.0,0.30498333333333333,0.48504888888888886,0.25,0.2777777777777778,0.44383333333333336,0.7505333333333333,0.21568627450980393,0.37254901960784315,0.23333333333333334,0.19607843137254902,0.3137254901960784,0.23728813559322035,0.6521739130434783,0.175,0.2,0.025,0.4666666666666667,0.13333333333333333,0.03333333333333333,6.942857142857143,0.0,10.028571428571428,0.2765957446808511,0.6631936266088062,0.27806087440977056,0.6631936266088062,0.8,,0.5,,,,,False,,1.5,,,,,False,
521692,Salvador Perez,KC,AZ,1,4.0,1.0,571882.0,Derek Law,R,824062,2:10 PM ET,Kauffman Stadium,1,1,0.18118466898954705,2026-09-07,824062,,0,103.7,102.1,85.4,R,5,4,1,0,0,1,0,1,0,0,4,4,0,1,2,2,0,0.229,0.7285,1,0,1,1,0,0,0.3114754098360656,0.3333333333333333,0.819672131147541,0.171875,0.3541666666666667,0.16393442622950818,0.03125,0.0625,0.09836065573770492,1.9333333333333333,0.7333333333333333,0.44,0.28,0.42,0.26,0.04,0.38591888888888887,0.6311244444444444,0.3157894736842105,0.1,0.4081499999999999,0.6914166666666665,0.2631578947368421,0.40350877192982454,0.1774193548387097,0.2807017543859649,0.43859649122807015,0.14285714285714285,0.6521739130434783,0.175,0.2,0.025,0.4666666666666667,0.13333333333333333,0.03333333333333333,6.942857142857143,0.0,10.028571428571428,0.2765957446808511,0.572746642658709,0.23592203378493704,0.572746642658709,0.7333333333333333,,0.5,,,,,False,,1.5,,,,,False,
686469,Vinnie Pasquantino,KC,AZ,1,3.0,1.0,571882.0,Derek Law,R,824062,2:10 PM ET,Kauffman Stadium,0,1,0.18118466898954705,2026-09-07,824062,,0,103.7,102.1,85.4,L,5,3,1,0,0,1,2,0,0,0,4,3,1,1,3,0,0,0.2753333333333334,0.9623333333333334,1,0,1,1,0,0,0.25,0.35384615384615387,0.9285714285714286,0.06153846153846154,0.20833333333333334,0.26785714285714285,0.06153846153846154,0.046153846153846156,0.125,1.9333333333333333,0.26666666666666666,0.4807692307692308,0.17307692307692307,0.3269230769230769,0.34615384615384615,0.0,0.2625355555555556,0.5223011111111111,0.1,0.09523809523809523,0.20743999999999999,0.3738533333333335,0.23214285714285715,0.4642857142857143,0.0625,0.24561403508771928,0.3508771929824561,0.22727272727272727,0.6521739130434783,0.175,0.2,0.025,0.4666666666666667,0.13333333333333333,0.03333333333333333,6.942857142857143,0.0,10.028571428571428,0.2765957446808511,0.4698596365648487,0.10959533976897551,0.4698596365648487,0.26666666666666666,,0.5,,,,,False,,1.5,,,,,False,
672515,Gabriel Moreno,AZ,KC,0,3.0,1.0,702070.0,Noah Cameron,L,824062,2:10 PM ET,Kauffman Stadium,1,0,0.2011070110701107,2026-09-07,824062,,0,103.7,102.1,85.4,R,4,4,1,1,0,0,0,0,0,0,2,4,0,1,2,0,1,0.27325,0.36824999999999997,1,0,1,1,0,0,0.2545454545454545,0.35384615384615387,0.8,0.16923076923076924,0.2619047619047619,0.2545454545454545,0.046153846153846156,0.07692307692307693,0.14545454545454545,1.8666666666666667,0.7333333333333333,0.4444444444444444,0.28888888888888886,0.37777777777777777,0.26666666666666666,0.044444444444444446,0.32040111111111114,0.6465511111111112,0.2631578947368421,0.23809523809523808,0.39585000000000004,0.78325,0.3,0.6,0.16666666666666666,0.25,0.4642857142857143,0.1791044776119403,0.6862745098039216,0.15555555555555556,0.29130434782608694,0.11739130434782609,0.44571428571428573,0.2857142857142857,0.022857142857142857,9.339622641509434,0.8490566037735849,8.49056603773585,0.21551724137931033,0.5912111938361989,0.18988919566944684,0.5912111938361989,0.7333333333333333,,0.5,,,,,False,,1.5,,,,,False,
