batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,extra_base_hit_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_hit_1plus,p_hit_2plus,adj_prob,pred_hits,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
690993,Colt Keith,DET,BAL,1,5.0,1.0,665152,Dean Kremer,R,824243,6:40 PM ET,Comerica Park,0,1,0.22992700729927007,2026-07-28,824243,0.0,0,97.6,97.8,106.5,L,3,3,2,1,0,0,0,0,0,0,3,3,0,1,0,1,2,0.38799999999999996,0.61,1,1,1,1,0,0,0.275,0.3181818181818182,0.775,0.20454545454545456,0.3,0.2,0.045454545454545456,0.045454545454545456,0.1,1.2666666666666666,0.6,0.34375,0.25,0.4375,0.28125,0.03125,0.3189166666666667,0.49811309523809527,0.23529411764705882,0.2222222222222222,0.3313166666666666,0.37071666666666675,0.2702702702702703,0.4864864864864865,0.16666666666666666,0.2558139534883721,0.3023255813953488,0.2553191489361702,0.6284153005464481,0.12337662337662338,0.3780487804878049,0.20121951219512196,0.34782608695652173,0.3652173913043478,0.017391304347826087,6.703448275862068,1.675862068965517,8.56551724137931,0.23958333333333334,0.5644352264639828,0.20076981071896485,0.5644352264639828,0.275,"{""novig"": {""1.5"": {""over"": 257}}, ""bet365"": {""0.5"": {""over"": -220, ""under"": 160}}, ""betmgm"": {""0.5"": {""over"": -200, ""under"": 145}}, ""draftkings"": {""0.5"": {""over"": -200, ""under"": 149}}, ""fanduel"": {""0.5"": {""over"": -210}}}",0.5,over,draftkings,-200.0,0.6666666666666666,True,-0.1022,1.5,over,novig,257.0,0.2801120448179272,True,-0.0793
693307,Dillon Dingler,DET,BAL,1,4.0,1.0,665152,Dean Kremer,R,824243,6:40 PM ET,Comerica Park,1,1,0.22992700729927007,2026-07-28,824243,0.0,0,97.6,97.8,106.5,R,5,5,1,0,0,0,0,0,0,1,1,4,0,1,1,0,2,0.3665,0.5445,1,0,1,0,1,0,0.32653061224489793,0.42105263157894735,0.7346938775510204,0.22807017543859648,0.3939393939393939,0.24489795918367346,0.05263157894736842,0.05263157894736842,0.12244897959183673,1.8666666666666667,0.8666666666666667,0.3333333333333333,0.25,0.4722222222222222,0.16666666666666666,0.027777777777777776,0.34747619047619044,0.5471999999999999,0.35714285714285715,0.29411764705882354,0.49879166666666663,0.6265833333333334,0.3064516129032258,0.5,0.19117647058823528,0.26,0.52,0.21428571428571427,0.6284153005464481,0.12337662337662338,0.3780487804878049,0.20121951219512196,0.34782608695652173,0.3652173913043478,0.017391304347826087,6.703448275862068,1.675862068965517,8.56551724137931,0.23958333333333334,0.5589733228138932,0.187508003715494,0.5589733228138932,0.32653061224489793,"{""novig"": {""0.5"": {""over"": -292}}, ""betmgm"": {""0.5"": {""over"": -235, ""under"": 170}}, ""bet365"": {""1.5"": {""over"": 200, ""under"": -275}}, ""draftkings"": {""1.5"": {""over"": 186, ""under"": -253}}, ""fanduel"": {""0.5"": {""over"": -290}}}",0.5,over,betmgm,-235.0,0.7014925373134329,True,-0.1425,1.5,over,bet365,200.0,0.3333333333333333,True,-0.1458
680664,Eduardo Valencia,DET,BAL,1,8.0,1.0,665152,Dean Kremer,R,824243,6:40 PM ET,Comerica Park,1,1,0.22992700729927007,2026-07-28,824243,0.0,0,97.6,97.8,106.5,R,2,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.163,0.195,0,0,0,0,1,0,0.46153846153846156,0.5,0.7692307692307693,0.21428571428571427,0.5,0.46153846153846156,0.14285714285714285,0.0,0.15384615384615385,2.0,0.5,0.6,0.3,0.4,0.3,0.2,,,0.5,0.23076923076923078,0.5076666666666666,1.43975,,,,0.5,1.5,0.14285714285714285,0.6284153005464481,0.12337662337662338,0.3780487804878049,0.20121951219512196,0.34782608695652173,0.3652173913043478,0.017391304347826087,6.703448275862068,1.675862068965517,8.56551724137931,0.23958333333333334,0.5499749378742073,0.18531131062330855,0.5499749378742073,0.46153846153846156,"{""novig"": {""0.5"": {""over"": -178, ""under"": 141}}, ""bet365"": {""0.5"": {""over"": -160, ""under"": 120}}, ""betmgm"": {""0.5"": {""over"": -190, ""under"": 140}}, ""draftkings"": {""0.5"": {""over"": -181, ""under"": 136}}, ""fanduel"": {""0.5"": {""over"": -195}}}",0.5,over,bet365,-160.0,0.6153846153846154,True,-0.0654,1.5,,,,,False,
650402,Gleyber Torres,DET,BAL,1,2.0,1.0,665152,Dean Kremer,R,824243,6:40 PM ET,Comerica Park,1,1,0.22992700729927007,2026-07-28,824243,0.0,0,97.6,97.8,106.5,R,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.294,0.36199999999999993,0,0,0,0,1,0,0.2641509433962264,0.3709677419354839,0.660377358490566,0.2903225806451613,0.38235294117647056,0.11320754716981132,0.016129032258064516,0.04838709677419355,0.07547169811320754,1.3333333333333333,1.2,0.37142857142857144,0.22857142857142856,0.42857142857142855,0.2857142857142857,0.05714285714285714,0.33744871794871795,0.4777948717948718,0.1111111111111111,0.3333333333333333,0.29559999999999975,0.3677666666666667,0.36538461538461536,0.4807692307692308,0.21666666666666667,0.18518518518518517,0.2777777777777778,0.15942028985507245,0.6284153005464481,0.12337662337662338,0.3780487804878049,0.20121951219512196,0.34782608695652173,0.3652173913043478,0.017391304347826087,6.703448275862068,1.675862068965517,8.56551724137931,0.23958333333333334,0.6083692022094968,0.20276453929884264,0.6083692022094968,0.2641509433962264,"{""novig"": {""0.5"": {""over"": -245, ""under"": 190}}, ""bet365"": {""0.5"": {""over"": -250, ""under"": 185}}, ""betmgm"": {""0.5"": {""over"": -220, ""under"": 160}}, ""draftkings"": {""0.5"": {""over"": -265, ""under"": 195}}, ""fanduel"": {""0.5"": {""over"": -250}}}",0.5,over,betmgm,-220.0,0.6875,True,-0.0791,1.5,,,,,False,
595879,Javier Báez,DET,BAL,1,9.0,1.0,665152,Dean Kremer,R,824243,6:40 PM ET,Comerica Park,1,1,0.22992700729927007,2026-07-28,824243,0.0,0,97.6,97.8,106.5,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0.20850000000000002,0.20900000000000002,0,0,0,0,0,0,0.24489795918367346,0.26,0.8163265306122449,0.18,0.2631578947368421,0.1836734693877551,0.04,0.06,0.10204081632653061,1.4,0.6,0.275,0.3,0.325,0.25,0.0,0.33531547619047625,0.4826904761904762,0.2,0.2,0.2716666666666666,0.43045833333333317,0.28846153846153844,0.4423076923076923,0.18518518518518517,0.2641509433962264,0.39622641509433965,0.18181818181818182,0.6284153005464481,0.12337662337662338,0.3780487804878049,0.20121951219512196,0.34782608695652173,0.3652173913043478,0.017391304347826087,6.703448275862068,1.675862068965517,8.56551724137931,0.23958333333333334,0.41048867211549706,0.1425663770776235,0.41048867211549706,0.24489795918367346,"{""novig"": {""0.5"": {""over"": -163, ""under"": 127}}, ""bet365"": {""0.5"": {""over"": -180, ""under"": 135}}, ""betmgm"": {""0.5"": {""over"": -160, ""under"": 120}}, ""draftkings"": {""0.5"": {""over"": -167, ""under"": 125}}, ""fanduel"": {""0.5"": {""over"": -200}}}",0.5,over,betmgm,-160.0,0.6153846153846154,True,-0.2049,1.5,,,,,False,
805808,Kevin McGonigle,DET,BAL,1,1.0,1.0,665152,Dean Kremer,R,824243,6:40 PM ET,Comerica Park,0,1,0.22992700729927007,2026-07-28,824243,0.0,0,97.6,97.8,106.5,L,5,5,2,0,0,0,0,0,0,2,2,3,0,1,1,1,1,0.46366666666666667,0.5223333333333333,1,1,1,1,1,1,0.25862068965517243,0.3384615384615385,0.8275862068965517,0.15151515151515152,0.2826086956521739,0.13793103448275862,0.030303030303030304,0.030303030303030304,0.06896551724137931,1.5333333333333334,0.6666666666666666,0.3541666666666667,0.20833333333333334,0.375,0.375,0.0,0.2903444444444444,0.4524611111111111,0.2631578947368421,0.14285714285714285,0.38949999999999996,0.49861666666666676,0.2786885245901639,0.45901639344262296,0.09859154929577464,0.21311475409836064,0.2459016393442623,0.2153846153846154,0.6284153005464481,0.12337662337662338,0.3780487804878049,0.20121951219512196,0.34782608695652173,0.3652173913043478,0.017391304347826087,6.703448275862068,1.675862068965517,8.56551724137931,0.23958333333333334,0.5999015114479328,0.22699000233468247,0.5999015114479328,0.25862068965517243,"{""novig"": {""1.5"": {""over"": 199, ""under"": -285}}, ""bet365"": {""0.5"": {""over"": -280, ""under"": 202}}, ""betmgm"": {""0.5"": {""over"": -235, ""under"": 175}}, ""draftkings"": {""1.5"": {""over"": 189, ""under"": -257}}, ""fanduel"": {""0.5"": {""over"": -280}}}",0.5,over,betmgm,-235.0,0.7014925373134329,True,-0.1016,1.5,over,novig,199.0,0.33444816053511706,True,-0.1075
682985,Riley Greene,DET,BAL,1,3.0,1.0,665152,Dean Kremer,R,824243,6:40 PM ET,Comerica Park,0,1,0.22992700729927007,2026-07-28,824243,0.0,0,97.6,97.8,106.5,L,4,4,1,1,0,0,0,0,0,1,2,3,0,1,2,1,0,0.5983333333333333,1.4496666666666667,1,0,1,1,1,0,0.23529411764705882,0.32786885245901637,0.6862745098039216,0.26229508196721313,0.2857142857142857,0.19607843137254902,0.03278688524590164,0.06557377049180328,0.11764705882352941,1.4666666666666666,1.0666666666666667,0.5675675675675675,0.2702702702702703,0.3783783783783784,0.35135135135135137,0.08108108108108109,0.3889888888888889,0.8347333333333332,0.21052631578947367,0.19047619047619047,0.4240333333333333,1.0205833333333334,0.2807017543859649,0.6842105263157895,0.25757575757575757,0.18518518518518517,0.2777777777777778,0.26666666666666666,0.6284153005464481,0.12337662337662338,0.3780487804878049,0.20121951219512196,0.34782608695652173,0.3652173913043478,0.017391304347826087,6.703448275862068,1.675862068965517,8.56551724137931,0.23958333333333334,0.6025111532243862,0.2126287230183852,0.6025111532243862,0.23529411764705882,"{""novig"": {""1.5"": {""over"": 190, ""under"": -277}}, ""betmgm"": {""0.5"": {""over"": -250, ""under"": 180}}, ""bet365"": {""1.5"": {""over"": 205, ""under"": -290}}, ""draftkings"": {""1.5"": {""over"": 188, ""under"": -255}}, ""fanduel"": {""0.5"": {""over"": -260}}}",0.5,over,betmgm,-250.0,0.7142857142857143,True,-0.1118,1.5,over,bet365,205.0,0.32786885245901637,True,-0.1152
679529,Spencer Torkelson,DET,BAL,1,6.0,1.0,665152,Dean Kremer,R,824243,6:40 PM ET,Comerica Park,1,1,0.22992700729927007,2026-07-28,824243,0.0,0,97.6,97.8,106.5,R,4,3,2,0,0,0,0,0,1,0,2,4,0,2,1,1,2,0.555,0.6826666666666666,1,1,1,1,0,0,0.1568627450980392,0.23214285714285715,0.6470588235294118,0.32142857142857145,0.10714285714285714,0.29411764705882354,0.08928571428571429,0.0,0.09803921568627451,1.5333333333333334,1.2,0.2727272727272727,0.09090909090909091,0.3333333333333333,0.48484848484848486,0.09090909090909091,0.22724444444444444,0.5432388888888888,0.23076923076923078,0.375,0.2040999999999999,0.44190000000000024,0.18867924528301888,0.3584905660377358,0.3389830508474576,0.2653061224489796,0.5714285714285714,0.32142857142857145,0.6284153005464481,0.12337662337662338,0.3780487804878049,0.20121951219512196,0.34782608695652173,0.3652173913043478,0.017391304347826087,6.703448275862068,1.675862068965517,8.56551724137931,0.23958333333333334,0.5155090866824743,0.1332650883719648,0.5155090866824743,0.1568627450980392,"{""novig"": {""0.5"": {""over"": -167, ""under"": 130}}, ""bet365"": {""0.5"": {""over"": -175, ""under"": 132}}, ""betmgm"": {""0.5"": {""over"": -155, ""under"": 115}}, ""draftkings"": {""0.5"": {""over"": -177, ""under"": 133}}, ""fanduel"": {""0.5"": {""over"": -185}}}",0.5,over,betmgm,-155.0,0.6078431372549019,True,-0.0923,1.5,,,,,False,
656716,Zach McKinstry,DET,BAL,1,7.0,1.0,665152,Dean Kremer,R,824243,6:40 PM ET,Comerica Park,0,1,0.22992700729927007,2026-07-28,824243,0.0,0,97.6,97.8,106.5,L,4,3,2,0,1,0,1,0,0,0,4,3,0,2,1,0,2,0.39799999999999996,0.5730000000000001,1,1,1,1,0,0,0.18604651162790697,0.2553191489361702,0.8372093023255814,0.14583333333333334,0.2,0.11627906976744186,0.020833333333333332,0.041666666666666664,0.06976744186046512,0.8666666666666667,0.4666666666666667,0.2702702702702703,0.2972972972972973,0.2972972972972973,0.32432432432432434,0.02702702702702703,0.3208974358974359,0.5118846153846154,0.35714285714285715,0.0,0.4345833333333332,0.6176458333333334,0.2608695652173913,0.391304347826087,0.14,0.1702127659574468,0.2765957446808511,0.21428571428571427,0.6284153005464481,0.12337662337662338,0.3780487804878049,0.20121951219512196,0.34782608695652173,0.3652173913043478,0.017391304347826087,6.703448275862068,1.675862068965517,8.56551724137931,0.23958333333333334,0.49694832002055406,0.14785398358626903,0.49694832002055406,0.18604651162790697,"{""novig"": {""0.5"": {""over"": -160, ""under"": 133}}, ""bet365"": {""0.5"": {""over"": -190, ""under"": 140}}, ""betmgm"": {""0.5"": {""over"": -165, ""under"": 125}}, ""draftkings"": {""0.5"": {""over"": -177, ""under"": 133}}, ""fanduel"": {""0.5"": {""over"": -175}}}",0.5,over,novig,-160.0,0.6153846153846154,True,-0.1184,1.5,,,,,False,
691723,Coby Mayo,BAL,DET,0,7.0,1.0,675512,Troy Melton,R,824243,6:40 PM ET,Comerica Park,1,1,0.252129471890971,2026-07-28,824243,0.0,0,97.6,97.8,106.5,R,4,4,2,0,0,1,0,0,0,0,5,4,0,2,2,1,1,0.37324999999999997,0.54825,1,1,1,1,0,0,0.2,0.28205128205128205,0.5714285714285714,0.38461538461538464,0.23529411764705882,0.2857142857142857,0.07692307692307693,0.02564102564102564,0.11428571428571428,1.1333333333333333,1.0,0.5,0.1,0.35,0.45,0.05,0.3884444444444444,1.0669814814814815,0.25,0.5,0.42416666666666664,0.875833333333333,0.14893617021276595,0.2765957446808511,0.5,0.225,0.6,0.3409090909090909,0.6828193832599119,0.135,0.32211538461538464,0.15384615384615385,0.45161290322580644,0.24516129032258063,0.01935483870967742,5.151315789473685,1.4210526315789476,6.039473684210526,0.17525773195876287,0.5789010861630605,0.18723588860605553,0.5789010861630605,0.2,"{""novig"": {""0.5"": {""over"": -104, ""under"": -100}}, ""bet365"": {""0.5"": {""over"": -105, ""under"": -130}}, ""betmgm"": {""0.5"": {""over"": 100, ""under"": -135}}, ""draftkings"": {""0.5"": {""over"": -127, ""under"": -105}}, ""fanduel"": {""0.5"": {""over"": -155}}}",0.5,over,betmgm,100.0,0.5,True,0.0789,1.5,,,,,False,
