player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Elly De La Cruz,CIN,L,Shota Imanaga,L,CIN,CHC,H,mlb_schedule,0.2628831642423501,280,1,pinnacle,392,0.2032520325203252,0.0596,0.2348831642423501,0.2923076923076923,0.1046153846153846,0.6030769230769231,4.3,0.981187898986124,123.1,85.3,5.6,5.294904023356174,0,96.0,29.0,5 MPH TOWARD OF,7:10 PM ET,Great American Ball Park,14.0,1.0,0,48.0,4.929,0.0,0.3529411764705882,0.1372549019607843,86.0697619047619,0.3943846153846154,0.5505897435897436,0.0304054054054054,0.2364864864864864,0.0472972972972973,4.28,1.8349514563106797,21.0,103.0,20,0,0,0.0,7,8,2026-07-10,824493,682829,"{""novig"": {""odds"": 376}, ""bet365"": {""odds"": 390}, ""betmgm"": {""odds"": 300}, ""pinnacle"": {""odds"": 392}, ""fanduel"": {""odds"": 360}}"
Tyler Callihan,PIT,L,Brandon Sproat,R,PIT,MIL,H,mlb_schedule,0.1578857358168588,533,1,novig,770,0.11494252873563218,0.0429,0.1298857358168588,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,90.6,80.6,8.5,7.824291254345743,0,94.0,41.0,8 MPH TOWARD OF,6:40 PM ET,PNC Park,,7.0,1,12.0,5.637,0.0153846153846153,0.2153846153846154,0.2,80.42139682539683,0.3599166666666666,0.5581136363636364,0.017391304347826,0.2565217391304348,0.0391304347826087,,,,,0,0,0,,4,0,2026-07-10,823357,682997,"{""novig"": {""odds"": 770}, ""bet365"": {""odds"": 750}, ""fanduel"": {""odds"": 750}}"
Nick Gonzales,PIT,R,Brandon Sproat,R,PIT,MIL,H,mlb_schedule,0.1171161414227611,754,1,novig,1233,0.07501875468867217,0.0421,0.0891161414227611,0.1777777777777777,0.0916666666666666,0.7305555555555555,3.7,0.9921884689397796,76.9,80.6,8.5,7.824291254345743,0,94.0,41.0,8 MPH TOWARD OF,6:40 PM ET,PNC Park,4.0,6.0,0,19.0,5.637,0.0125,0.1875,0.15,83.47697619047618,0.3450888888888889,0.4829944444444444,0.017391304347826,0.2565217391304348,0.0391304347826087,,,,,0,0,0,,3,1,2026-07-10,823357,693304,"{""novig"": {""odds"": 1233}, ""bet365"": {""odds"": 1200}}"
Jacob Young,WSH,R,Ryan Weathers,L,WSH,NYY,H,mlb_schedule,0.11576303329129349,764,1,bet365,1250,0.07407407407407407,0.0417,0.0877630332912935,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,92.4,,,,0,,,CALM,6:45 PM ET,Nationals Park,,5.0,0,39.0,4.114,0.0285714285714285,0.2285714285714285,0.1571428571428571,85.40685858585859,0.2884888888888888,0.4041555555555555,0.014388489208633,0.2589928057553957,0.0431654676258992,,,,,8,4,0,0.5,7,1,2026-07-10,822709,696285,"{""novig"": {""odds"": 1076}, ""bet365"": {""odds"": 1250}, ""fanduel"": {""odds"": 1000}}"
Ke'Bryan Hayes,CIN,R,Shota Imanaga,L,CIN,CHC,H,mlb_schedule,0.1617921935424248,518,1,novig,733,0.12004801920768307,0.0417,0.1337921935424248,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,113.5,85.3,5.6,5.294904023356174,0,96.0,29.0,5 MPH TOWARD OF,7:10 PM ET,Great American Ball Park,,9.0,0,67.0,4.929,0.0178571428571428,0.2857142857142857,0.1428571428571428,83.96788888888888,0.4268388888888889,0.6105222222222222,0.0304054054054054,0.2364864864864864,0.0472972972972973,4.28,1.8349514563106797,21.0,103.0,12,4,0,0.333,1,1,2026-07-10,824493,663647,"{""novig"": {""odds"": 733}, ""bet365"": {""odds"": 650}, ""fanduel"": {""odds"": 680}}"
Keibert Ruiz,WSH,R,Ryan Weathers,L,WSH,NYY,H,mlb_schedule,0.1354133879983973,638,1,bet365,950,0.09523809523809523,0.0402,0.1074133879983973,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,92.4,,,,0,,,CALM,6:45 PM ET,Nationals Park,,9.0,0,26.0,4.114,0.0,0.2452830188679245,0.0754716981132075,81.97062698412698,0.3237555555555556,0.4234833333333333,0.014388489208633,0.2589928057553957,0.0431654676258992,,,,,6,2,0,0.333,4,2,2026-07-10,822709,660688,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 950}, ""draftkings"": {""odds"": 820}, ""fanduel"": {""odds"": 750}}"
Ryan O'Hearn,PIT,L,Brandon Sproat,R,PIT,MIL,H,mlb_schedule,0.1604803823374838,523,1,bet365,700,0.125,0.0355,0.1324803823374838,0.2171253822629969,0.0825688073394495,0.7003058103975535,3.9,0.9908999147710459,90.6,80.6,8.5,7.824291254345743,0,94.0,41.0,8 MPH TOWARD OF,6:40 PM ET,PNC Park,16.0,5.0,1,12.0,5.637,0.0116279069767441,0.2558139534883721,0.1511627906976744,82.84583068783068,0.3384277777777777,0.4516711111111112,0.017391304347826,0.2565217391304348,0.0391304347826087,,,,,0,0,0,,12,4,2026-07-10,823357,656811,"{""novig"": {""odds"": 567}, ""bet365"": {""odds"": 700}}"
Colt Keith,DET,L,Aaron Nola,R,DET,PHI,H,mlb_schedule,0.1513865262933628,561,1,bet365,750,0.11764705882352941,0.0337,0.1233865262933628,0.22,0.08,0.7000000000000001,4.2,0.9936333750066674,97.2,85.2,8.2,-3.8496668148443054,0,95.0,26.0,4 MPH TOWARD HP,6:40 PM ET,Comerica Park,,2.0,1,14.0,4.206,0.0483870967741935,0.3387096774193548,0.2258064516129032,86.82955555555556,0.4213077777777778,0.6774844444444444,0.0136054421768707,0.2482993197278911,0.0374149659863945,,,,,6,0,0,0.0,7,0,2026-07-10,824252,690993,"{""novig"": {""odds"": 614}, ""bet365"": {""odds"": 750}, ""betmgm"": {""odds"": 500}, ""fanduel"": {""odds"": 630}}"
Braden Montgomery,CWS,R,Jacob Lopez,L,CWS,ATH,H,mlb_schedule,0.1451999400329434,589,1,novig,770,0.11494252873563218,0.0303,0.1171999400329434,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,91.0,76.0,11.0,-10.62518408917975,0,97.0,48.0,11 MPH TOWARD HP,7:40 PM ET,Rate Field,,5.0,1,16.0,6.376,0.0192307692307692,0.2692307692307692,0.1153846153846153,79.06371428571428,0.3056777777777777,0.4249880952380952,0.0142857142857142,0.2,0.0392857142857142,,,,,0,0,0,,2,0,2026-07-10,824575,695731,"{""novig"": {""odds"": 770}, ""fanduel"": {""odds"": 750}}"
Sam Antonacci,CWS,L,Jacob Lopez,L,CWS,ATH,H,mlb_schedule,0.13143645059749032,661,1,draftkings,880,0.10204081632653061,0.0294,0.1034364505974903,0.1530612244897959,0.1292517006802721,0.7176870748299319,4.3,0.9956534740538637,103.4,76.0,11.0,-10.62518408917975,0,97.0,48.0,11 MPH TOWARD HP,7:40 PM ET,Rate Field,5.0,1.0,0,20.0,6.376,0.0229885057471264,0.2183908045977011,0.1264367816091954,83.41669841269842,0.4022388888888889,0.5944444444444444,0.0142857142857142,0.2,0.0392857142857142,,,,,0,0,0,,5,0,2026-07-10,824575,803011,"{""novig"": {""odds"": 852}, ""bet365"": {""odds"": 800}, ""betmgm"": {""odds"": 650}, ""draftkings"": {""odds"": 880}, ""fanduel"": {""odds"": 800}}"
Henry Davis,PIT,R,Brandon Sproat,R,PIT,MIL,H,mlb_schedule,0.15352374367880078,551,1,bet365,700,0.125,0.0285,0.1255237436788008,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,76.9,80.6,8.5,7.824291254345743,0,94.0,41.0,8 MPH TOWARD OF,6:40 PM ET,PNC Park,,9.0,1,15.0,5.637,0.0508474576271186,0.3389830508474576,0.1694915254237288,83.91244444444445,0.4788214285714285,0.7761071428571428,0.017391304347826,0.2565217391304348,0.0391304347826087,,,,,0,0,0,,7,1,2026-07-10,823357,680779,"{""novig"": {""odds"": 669}, ""bet365"": {""odds"": 700}}"
Nick Loftin,KC,R,Brandon Young,R,BAL,BAL,A,mlb_schedule,0.11782832439622559,749,1,novig,1011,0.09000900090009001,0.0278,0.0898283243962256,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,94.3,85.6,8.6,8.131459750154125,0,97.0,24.0,8 MPH TOWARD OF,7:05 PM ET,Camden Yards,,8.0,1,17.0,4.276,0.0526315789473684,0.2368421052631578,0.1710526315789473,82.94554497354497,0.3812722222222222,0.5313577777777778,0.0184049079754601,0.2392638036809816,0.0153374233128834,,,,,0,0,0,,3,1,2026-07-10,824817,679845,"{""novig"": {""odds"": 1011}, ""bet365"": {""odds"": 1000}, ""fanduel"": {""odds"": 750}}"
Bryan Reynolds,PIT,L,Brandon Sproat,R,PIT,MIL,H,mlb_schedule,0.169311321125944,491,1,bet365,600,0.14285714285714285,0.0265,0.141311321125944,0.2219512195121951,0.1609756097560975,0.6170731707317073,4.1,0.980466738583734,90.6,80.6,8.5,7.824291254345743,0,94.0,41.0,8 MPH TOWARD OF,6:40 PM ET,PNC Park,14.0,3.0,0,19.0,5.637,0.0196078431372549,0.392156862745098,0.196078431372549,85.19323809523809,0.4497202380952381,0.6740119047619048,0.017391304347826,0.2565217391304348,0.0391304347826087,,,,,0,0,0,,8,6,2026-07-10,823357,668804,"{""novig"": {""odds"": 590}, ""bet365"": {""odds"": 600}}"
