player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Elly De La Cruz,CIN,R,Michael King,R,CIN,SD,H,mlb_schedule,0.1775985604192363,463,0,,,,,0.1495985604192363,0.2722117202268431,0.109640831758034,0.6181474480151229,4.2,0.9824627323907882,113.5,94.9,9.6,4.94436551913652,0,90.0,1.0,5 MPH TOWARD OF,6:40 PM ET,Great American Ball Park,21.0,2.0,0,9.0,4.019,0.0,0.4571428571428571,0.2,94.04422222222225,0.4368866666666666,0.5760155555555555,0.0509554140127388,3.23,1.0384615384615383,18.0,156.0,10,0,0,0.0,13,9,2026-08-31,824473,682829
Eugenio Suárez,CIN,R,Michael King,R,CIN,SD,H,mlb_schedule,0.1774661888345656,463,0,,,,,0.1494661888345656,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,113.5,94.9,9.6,4.94436551913652,0,90.0,1.0,5 MPH TOWARD OF,6:40 PM ET,Great American Ball Park,,6.0,1,2.0,4.019,0.0,0.25,0.28125,85.25444444444445,0.3881222222222222,0.5307777777777777,0.0509554140127388,3.23,1.0384615384615383,18.0,156.0,16,2,0,0.125,16,4,2026-08-31,824473,553993
Drake Baldwin,ATL,L,Anthony Molina,R,ATL,SF,H,mlb_schedule,0.1752431949093591,471,0,,,,,0.1472431949093591,0.2118811881188118,0.1108910891089108,0.6772277227722773,4.3,0.9922686777943608,98.1,92.3,6.5,-5.1220698984436925,0,92.0,4.0,5 MPH TOWARD HP,6:05 PM ET,Truist Park,22.0,1.0,1,4.0,,0.0638297872340425,0.5319148936170213,0.3191489361702128,91.94444444444444,0.3916455555555556,0.6021066666666666,0.032258064516129,,,,,2,0,0,0.0,15,7,2026-08-31,824911,686948
Mickey Moniak,COL,L,Cade Povich,L,COL,BAL,H,mlb_schedule,0.1745842501990264,473,0,,,,,0.1465842501990264,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,113.9,88.3,20.0,19.225233918766374,0,81.0,28.0,19 MPH TOWARD OF,8:40 PM ET,Coors Field,,6.0,0,9.0,5.79,0.025,0.425,0.425,91.715,0.2546555555555556,0.3538388888888889,0.0512820512820512,,,,,0,0,0,,18,3,2026-08-31,824314,666160
Ty France,SD,R,Brady Singer,R,CIN,CIN,A,mlb_schedule,0.1730156477986477,478,0,,,,,0.1450156477986477,0.22,0.08,0.7000000000000001,4.0,0.9919,113.5,94.9,9.6,4.94436551913652,0,90.0,1.0,5 MPH TOWARD OF,6:40 PM ET,Great American Ball Park,,4.0,1,2.0,6.791,0.0512820512820512,0.4615384615384615,0.3076923076923077,88.90666666666668,0.3248888888888889,0.595238888888889,0.0441988950276243,4.72,1.703883495145631,26.0,137.33333333333334,28,6,0,0.214,17,4,2026-08-31,824473,664034
CJ Abrams,WSH,L,Ryan Gusto,R,WSH,MIA,H,mlb_schedule,0.1730156477986477,478,0,,,,,0.1450156477986477,0.2407079646017699,0.1079646017699115,0.6513274336283186,4.3,0.9892255168359516,93.0,88.8,5.7,-5.246877664678911,0,94.0,14.0,5 MPH TOWARD HP,6:45 PM ET,Nationals Park,29.0,1.0,0,20.0,,0.0,0.2790697674418604,0.2790697674418604,87.62333333333335,0.2556777777777778,0.3513333333333334,0.0512820512820512,,,,,6,2,0,0.333,23,6,2026-08-31,822689,682928
Andrés Chaparro,WSH,R,Ryan Gusto,R,WSH,MIA,H,mlb_schedule,0.1710820663310813,485,0,,,,,0.1430820663310813,0.22,0.08,0.7000000000000001,4.1,0.9928187979804218,92.4,88.8,5.7,-5.246877664678911,0,94.0,14.0,5 MPH TOWARD HP,6:45 PM ET,Nationals Park,,3.0,1,5.0,,0.0303030303030303,0.4545454545454545,0.303030303030303,90.83022222222222,0.4087922222222222,0.6486788888888888,0.0512820512820512,,,,,2,2,0,1.0,4,5,2026-08-31,822689,665953
Bryce Eldridge,SF,L,Bryce Elder,R,ATL,ATL,A,mlb_schedule,0.1704693226190823,487,0,,,,,0.1424693226190823,0.22,0.08,0.7000000000000001,4.1,0.9928187979804218,98.1,92.3,6.5,-5.1220698984436925,0,92.0,4.0,5 MPH TOWARD HP,6:05 PM ET,Truist Park,,3.0,1,3.0,3.454,0.024390243902439,0.5609756097560976,0.3170731707317073,94.68722222222222,0.5076666666666667,0.7658166666666666,0.0867052023121387,3.95,1.3781902552204175,22.0,143.66666666666666,4,2,0,0.5,10,5,2026-08-31,824911,805811
Jonathan Aranda,TB,L,Robert Stock,R,TB,NYM,H,mlb_schedule,0.1699563249775794,488,0,,,,,0.1419563249775794,0.231433506044905,0.1191709844559585,0.6493955094991365,4.2,0.9877472551025529,99.8,87.5,0.0,0.0,1,94.0,33.0,DOME,6:40 PM ET,Tropicana Field,17.0,2.0,1,2.0,,0.0666666666666666,0.4666666666666667,0.2888888888888888,92.3578888888889,0.3802411111111111,0.5523733333333334,0.0595238095238095,,,,,0,0,0,,16,2,2026-08-31,822932,666018
Roman Anthony,BOS,L,George Kirby,R,BOS,SEA,H,mlb_schedule,0.1684365277678257,494,0,,,,,0.1404365277678257,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,80.8,76.9,9.0,-7.092096782460497,0,91.0,17.0,7 MPH TOWARD HP,6:45 PM ET,Fenway Park,,1.0,0,152.0,3.395,0.027027027027027,0.5405405405405406,0.1621621621621621,92.5102222222222,0.3923355555555556,0.5180955555555555,0.05,4.02,1.036117381489842,17.0,147.66666666666666,0,0,0,,1,0,2026-08-31,824719,701350
