player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Colt Keith,DET,L,Carmen Mlodzinski,R,PIT,PIT,A,mlb_schedule,0.1322259798575485,656,1,novig,900.0,0.1,0.0322,0.1042259798575485,0.22,0.08,0.7000000000000001,4.0,0.9919,90.6,81.5,7.7,-1.469229264399395,0,95.0,23.0,CROSSWIND 8 MPH,7:05 PM ET,PNC Park,,4.0,8.5,1,1.0,3.439,0.0,0.3571428571428571,0.1666666666666666,87.61833333333334,0.307711111111111,0.4195833333333333,0.0232558139534883,,,,,2,2,0,1.0,9,0,2026-08-17,823343,690993,"{""novig"": {""odds"": 900}, ""bet365"": {""odds"": 850}, ""fanduel"": {""odds"": 760}}"
Brian Navarreto,MIA,R,Cristopher Sánchez,L,PHI,PHI,A,mlb_schedule,0.0891919451754165,1021,1,fanduel,1600.0,0.058823529411764705,0.0304,0.0611919451754165,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,114.1,85.6,7.1,-6.148780366869515,0,99.0,63.0,6 MPH TOWARD HP,6:40 PM ET,Citizens Bank Park,,9.0,8.0,0,346.0,1.846,0.0384615384615384,0.3461538461538461,0.2307692307692307,81.5838888888889,0.3088990505108926,0.4421730769230769,0.0532544378698224,2.54,0.7516059957173448,13.0,155.66666666666666,0,0,0,,0,0,2026-08-17,823427,640459,"{""novig"": {""odds"": 1438}, ""bet365"": {""odds"": 1200}, ""fanduel"": {""odds"": 1600}}"
Jorge Mateo,TB,R,Brandon Young,R,TB,BAL,H,mlb_schedule,0.1348855120253164,641,1,bet365,850.0,0.10526315789473684,0.0296,0.1068855120253164,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,110.5,,,,0,,,CALM,6:05 PM ET,Tropicana Field,,9.0,7.5,0,78.0,4.276,0.0,0.4166666666666667,0.2916666666666667,87.72777777777779,0.4061666666666667,0.6209111111111112,0.0352941176470588,,,,,0,0,0,,2,2,2026-08-17,822939,622761,"{""novig"": {""odds"": 770}, ""bet365"": {""odds"": 850}, ""draftkings"": {""odds"": 760}, ""fanduel"": {""odds"": 750}}"
Javier Sanoja,MIA,R,Cristopher Sánchez,L,PHI,PHI,A,mlb_schedule,0.0871954515457676,1047,1,fanduel,1600.0,0.058823529411764705,0.0284,0.0591954515457676,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,114.1,85.6,7.1,-6.148780366869515,0,99.0,63.0,6 MPH TOWARD HP,6:40 PM ET,Citizens Bank Park,,6.0,8.0,1,1.0,1.846,0.0,0.3076923076923077,0.2564102564102564,85.10766666666667,0.3066288888888888,0.4165555555555556,0.0532544378698224,2.54,0.7516059957173448,13.0,155.66666666666666,10,2,0,0.2,2,3,2026-08-17,823427,691594,"{""novig"": {""odds"": 1567}, ""bet365"": {""odds"": 1100}, ""fanduel"": {""odds"": 1600}}"
Brandon Lowe,PIT,L,Framber Valdez,L,PIT,DET,H,mlb_schedule,0.1617010777193609,518,1,bet365,650.0,0.13333333333333333,0.0284,0.1337010777193609,0.2934362934362934,0.0907335907335907,0.6158301158301157,3.9,0.9760314956298168,90.6,81.5,7.7,-1.469229264399395,0,95.0,23.0,CROSSWIND 8 MPH,7:05 PM ET,PNC Park,26.0,5.0,8.5,1,3.0,4.091,0.0588235294117647,0.5588235294117647,0.4117647058823529,94.58,0.4655777777777777,0.7498777777777779,0.0289017341040462,4.26,0.8796992481203008,13.0,133.0,0,0,0,,21,5,2026-08-17,823343,664040,"{""novig"": {""odds"": 614}, ""bet365"": {""odds"": 650}, ""betmgm"": {""odds"": 500}, ""pinnacle"": {""odds"": 500}, ""draftkings"": {""odds"": 540}, ""fanduel"": {""odds"": 540}}"
Luis Arraez,PHI,L,Janson Junk,R,PHI,MIA,H,mlb_schedule,0.0779000697114375,1184,1,novig,1900.0,0.05,0.0279,0.0499000697114375,0.0442307692307692,0.0596153846153846,0.8961538461538462,4.0,0.9998837048335142,118.3,85.6,7.1,-6.148780366869515,0,99.0,63.0,6 MPH TOWARD HP,6:40 PM ET,Citizens Bank Park,5.0,4.0,8.0,0,12.0,4.1,0.015625,0.171875,0.421875,86.42844444444444,0.33182,0.4559477777777778,0.062111801242236,,,,,0,0,0,,4,1,2026-08-17,823427,650333,"{""novig"": {""odds"": 1900}, ""bet365"": {""odds"": 1100}, ""betmgm"": {""odds"": 900}, ""fanduel"": {""odds"": 1600}}"
Javier Báez,DET,R,Carmen Mlodzinski,R,PIT,PIT,A,mlb_schedule,0.10482964492992619,854,1,draftkings,1200.0,0.07692307692307693,0.0279,0.0768296449299262,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,76.9,81.5,7.7,-1.469229264399395,0,95.0,23.0,CROSSWIND 8 MPH,7:05 PM ET,PNC Park,,9.0,8.5,0,115.0,3.439,0.0,0.3555555555555555,0.2444444444444444,86.59344444444444,0.2698488888888889,0.3511888888888889,0.0232558139534883,,,,,4,2,2,0.5,1,1,2026-08-17,823343,595879,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 1100}, ""betmgm"": {""odds"": 825}, ""draftkings"": {""odds"": 1200}, ""fanduel"": {""odds"": 1200}}"
Isaac Collins,KC,L,Mason Barnett,R,KC,ATH,H,mlb_schedule,0.10950273962993269,813,1,fanduel,1120.0,0.08196721311475409,0.0275,0.0815027396299327,0.224390243902439,0.1268292682926829,0.6487804878048781,3.5,0.9743241267080676,85.2,,,,0,,,CALM,7:40 PM ET,Kauffman Stadium,6.0,8.0,5.0,0,25.0,,0.0,0.3333333333333333,0.2,89.71944444444443,0.2981111111111111,0.4363944444444445,0.109375,,,,,0,0,0,,4,2,2026-08-17,824077,686555,"{""novig"": {""odds"": 1076}, ""bet365"": {""odds"": 950}, ""fanduel"": {""odds"": 1120}}"
Michael Massey,KC,L,Mason Barnett,R,KC,ATH,H,mlb_schedule,0.1284480213141398,679,1,fanduel,880.0,0.10204081632653061,0.0264,0.1004480213141398,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,85.2,,,,0,,,CALM,7:40 PM ET,Kauffman Stadium,,7.0,5.0,1,1.0,,0.0,0.3695652173913043,0.3043478260869565,87.69944444444444,0.3264777777777777,0.4882555555555556,0.109375,,,,,0,0,0,,8,3,2026-08-17,824077,686681,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 750}, ""fanduel"": {""odds"": 880}}"
Francisco Alvarez,NYM,R,Walker Buehler,R,NYM,SD,H,mlb_schedule,0.1666143086478729,500,1,bet365,600.0,0.14285714285714285,0.0238,0.1386143086478729,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,95.6,77.8,10.0,-5.735764363510461,0,97.0,59.0,6 MPH TOWARD HP,7:10 PM ET,Citi Field,,9.0,9.0,1,8.0,3.437,0.0344827586206896,0.4482758620689655,0.2758620689655172,89.59666666666666,0.4905055555555555,0.7810055555555556,0.0709219858156028,,,,,2,0,0,0.0,11,2,2026-08-17,823589,682626,"{""novig"": {""odds"": 525}, ""bet365"": {""odds"": 600}, ""pinnacle"": {""odds"": 475}, ""fanduel"": {""odds"": 470}}"
