batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,extra_base_hit_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_tb_1plus,p_tb_2plus,adj_prob,pred_total_bases,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge,secondary_is_hits_fallback
665966,Carlos Narváez,BAL,LAA,1,9.0,1,680570,Grayson Rodriguez,R,824805,6:35 PM ET,Camden Yards,1,1,0.2558139534883721,2026-08-04,824805,0.0,0,102.7,105.0,101.5,R,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0.071,0.141,0,0,0,0,1,1,0.15384615384615385,0.2222222222222222,0.5384615384615384,0.3673469387755102,0.22727272727272727,0.07692307692307693,0.02040816326530612,0.0,0.02564102564102564,0.6,1.2,0.3333333333333333,0.07407407407407407,0.37037037037037035,0.48148148148148145,0.0,0.28463636363636363,0.5240151515151515,0.0,0.5,0.14549999999999993,0.47350000000000003,0.125,0.2,0.3673469387755102,0.1951219512195122,0.2926829268292683,0.3125,0.6976744186046512,0.28,0.5628415300546448,0.25136612021857924,0.3333333333333333,0.2866666666666667,0.02666666666666667,10.573426573426573,1.6993006993006994,9.251748251748252,0.22477064220183487,0.4295297518105096,0.2334986691308106,0.4295297518105096,0.6,"{""novig"": {""1.5"": {""over"": 208}}, ""betmgm"": {""0.5"": {""over"": -115, ""under"": -115}}}",1.5,over,novig,208.0,0.3246753246753247,True,-0.0912,0.5,over,betmgm,-115.0,0.5348837209302325,True,-0.1054,False
687952,Christian Encarnacion-Strand,BAL,LAA,1,4.0,1,680570,Grayson Rodriguez,R,824805,6:35 PM ET,Camden Yards,1,1,0.2558139534883721,2026-08-04,824805,0.0,0,102.7,105.0,101.5,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0.213,0.238,0,0,0,0,0,0,0.3076923076923077,0.35714285714285715,0.7692307692307693,0.21052631578947367,0.3333333333333333,0.2692307692307692,0.07017543859649122,0.03508771929824561,0.11538461538461539,2.0,0.8,0.4146341463414634,0.17073170731707318,0.36585365853658536,0.2926829268292683,0.07317073170731707,0.31393452380952386,0.6540392857142858,0.1875,0.21052631578947367,0.33396000000000003,0.5198599999999999,0.22448979591836735,0.3877551020408163,0.15384615384615385,0.22807017543859648,0.42105263157894735,0.3,0.6976744186046512,0.28,0.5628415300546448,0.25136612021857924,0.3333333333333333,0.2866666666666667,0.02666666666666667,10.573426573426573,1.6993006993006994,9.251748251748252,0.22477064220183487,0.6299231555744517,0.3935328389727368,0.6299231555744517,2.0,"{""bet365"": {""1.5"": {""over"": 105, ""under"": -140}}, ""betmgm"": {""0.5"": {""over"": -135, ""under"": 100}}, ""draftkings"": {""1.5"": {""over"": 125, ""under"": -170}}}",1.5,over,draftkings,125.0,0.4444444444444444,True,-0.0509,0.5,over,betmgm,-135.0,0.574468085106383,True,0.0555,False
681047,Christian Franklin,BAL,LAA,1,7.0,1,680570,Grayson Rodriguez,R,824805,6:35 PM ET,Camden Yards,1,1,0.2558139534883721,2026-08-04,824805,0.0,0,102.7,105.0,101.5,R,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0.14285714285714285,0.2,0.7142857142857143,0.26666666666666666,0.1111111111111111,0.21428571428571427,0.06666666666666667,0.0,0.07142857142857142,0.7142857142857143,0.5714285714285714,0.4,0.1,0.9,0.0,0.0,,,0.08333333333333333,0.25,,,0.14285714285714285,0.35714285714285715,0.26666666666666666,,,,0.6976744186046512,0.28,0.5628415300546448,0.25136612021857924,0.3333333333333333,0.2866666666666667,0.02666666666666667,10.573426573426573,1.6993006993006994,9.251748251748252,0.22477064220183487,0.4521483967909843,0.33645800321618197,0.4521483967909843,0.7142857142857143,"{""novig"": {""1.5"": {""under"": -285}}, ""draftkings"": {""0.5"": {""over"": -165, ""under"": 125}}, ""fanduel"": {""0.5"": {""over"": -170}}}",1.5,under,novig,-285.0,0.7402597402597403,True,-0.0767,0.5,over,draftkings,-165.0,0.6226415094339622,True,-0.1705,True
691723,Coby Mayo,BAL,LAA,1,6.0,1,680570,Grayson Rodriguez,R,824805,6:35 PM ET,Camden Yards,1,1,0.2558139534883721,2026-08-04,824805,0.0,0,102.7,105.0,101.5,R,3,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0.02,0.03,0,0,0,0,1,1,0.2702702702702703,0.34146341463414637,0.5945945945945946,0.36585365853658536,0.3333333333333333,0.40540540540540543,0.0975609756097561,0.024390243902439025,0.16216216216216217,1.6666666666666667,1.0,0.5454545454545454,0.22727272727272727,0.18181818181818182,0.5,0.09090909090909091,0.450325,1.2604083333333334,0.2857142857142857,0.3125,0.37597916666666664,0.8952291666666667,0.20454545454545456,0.36363636363636365,0.45652173913043476,0.25,0.6,0.2826086956521739,0.6976744186046512,0.28,0.5628415300546448,0.25136612021857924,0.3333333333333333,0.2866666666666667,0.02666666666666667,10.573426573426573,1.6993006993006994,9.251748251748252,0.22477064220183487,0.4778821778025077,0.3134877188359038,0.4778821778025077,1.6666666666666667,"{""novig"": {""1.5"": {""over"": 156, ""under"": -156}}, ""betmgm"": {""0.5"": {""over"": -105, ""under"": -125}}, ""bet365"": {""1.5"": {""over"": 182, ""under"": -245}}}",1.5,over,bet365,182.0,0.3546099290780142,True,-0.0411,0.5,over,betmgm,-105.0,0.5121951219512195,True,-0.0343,False
681297,Colton Cowser,BAL,LAA,1,8.0,1,680570,Grayson Rodriguez,R,824805,6:35 PM ET,Camden Yards,0,1,0.2558139534883721,2026-08-04,824805,0.0,0,102.7,105.0,101.5,L,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.089,0.164,0,0,0,0,1,0,0.10714285714285714,0.34210526315789475,0.6071428571428571,0.2894736842105263,0.17647058823529413,0.0,0.0,0.0,0.0,0.2,0.7333333333333333,0.4117647058823529,0.11764705882352941,0.47058823529411764,0.4117647058823529,0.0,0.24643939393939396,0.4048409090909091,0.25,0.36363636363636365,0.27524999999999994,0.316,0.08823529411764706,0.08823529411764706,0.325,0.1951219512195122,0.43902439024390244,0.39622641509433965,0.6976744186046512,0.28,0.5628415300546448,0.25136612021857924,0.3333333333333333,0.2866666666666667,0.02666666666666667,10.573426573426573,1.6993006993006994,9.251748251748252,0.22477064220183487,0.5224915032834921,0.3153395186123929,0.5224915032834921,0.2,"{""novig"": {""1.5"": {""over"": 167}}, ""betmgm"": {""0.5"": {""over"": -135, ""under"": 100}}, ""bet365"": {""1.5"": {""over"": 210, ""under"": -300}}, ""fanduel"": {""1.5"": {""over"": 170}}}",1.5,over,bet365,210.0,0.3225806451612903,True,-0.0072,0.5,over,betmgm,-135.0,0.574468085106383,True,-0.052,False
687637,Dylan Beavers,BAL,LAA,1,1.0,1,680570,Grayson Rodriguez,R,824805,6:35 PM ET,Camden Yards,0,1,0.2558139534883721,2026-08-04,824805,0.0,0,102.7,105.0,101.5,L,3,3,1,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0.98,1.109,1,0,1,0,1,1,0.28888888888888886,0.37254901960784315,0.7777777777777778,0.19607843137254902,0.37142857142857144,0.06666666666666667,0.0,0.058823529411764705,0.06666666666666667,1.0666666666666667,0.6666666666666666,0.4857142857142857,0.2857142857142857,0.37142857142857144,0.2857142857142857,0.02857142857142857,0.37377564102564104,0.5465128205128205,0.23076923076923078,0.07142857142857142,0.4224333333333334,0.6526166666666666,0.2826086956521739,0.3695652173913043,0.19230769230769232,0.14285714285714285,0.3142857142857143,0.16666666666666666,0.6976744186046512,0.28,0.5628415300546448,0.25136612021857924,0.3333333333333333,0.2866666666666667,0.02666666666666667,10.573426573426573,1.6993006993006994,9.251748251748252,0.22477064220183487,0.644559093498896,0.38611279632505674,0.644559093498896,1.0666666666666667,"{""novig"": {""1.5"": {""over"": 138, ""under"": -138}}, ""betmgm"": {""0.5"": {""over"": -125, ""under"": -105}}, ""bet365"": {""1.5"": {""over"": 120, ""under"": -160}}, ""draftkings"": {""1.5"": {""over"": 125, ""under"": -175}}}",1.5,over,novig,138.0,0.42016806722689076,True,-0.0341,0.5,over,betmgm,-125.0,0.5555555555555556,True,0.089,False
683002,Gunnar Henderson,BAL,LAA,1,3.0,1,680570,Grayson Rodriguez,R,824805,6:35 PM ET,Camden Yards,0,1,0.2558139534883721,2026-08-04,824805,0.0,0,102.7,105.0,101.5,L,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0.15,0.2205,0,0,0,0,0,0,0.2222222222222222,0.3,0.6666666666666666,0.29577464788732394,0.3170731707317073,0.15873015873015872,0.014084507042253521,0.04225352112676056,0.09523809523809523,1.6,1.4,0.4523809523809524,0.2619047619047619,0.4523809523809524,0.23809523809523808,0.023809523809523808,0.3405333333333333,0.5765444444444444,0.2,0.2608695652173913,0.32114999999999994,0.47348333333333326,0.171875,0.265625,0.2898550724637681,0.23809523809523808,0.42857142857142855,0.16901408450704225,0.6976744186046512,0.28,0.5628415300546448,0.25136612021857924,0.3333333333333333,0.2866666666666667,0.02666666666666667,10.573426573426573,1.6993006993006994,9.251748251748252,0.22477064220183487,0.6706931850754682,0.4299934269270689,0.6706931850754682,1.6,"{""novig"": {""1.5"": {""over"": -104, ""under"": -144}}, ""betmgm"": {""0.5"": {""over"": -150, ""under"": 110}}, ""bet365"": {""1.5"": {""over"": 100, ""under"": -135}}, ""draftkings"": {""1.5"": {""over"": 110, ""under"": -150}}}",1.5,over,draftkings,110.0,0.47619047619047616,True,-0.0462,0.5,over,betmgm,-150.0,0.6,True,0.0707,False
702616,Jackson Holliday,BAL,LAA,1,5.0,1,680570,Grayson Rodriguez,R,824805,6:35 PM ET,Camden Yards,0,1,0.2558139534883721,2026-08-04,824805,0.0,0,102.7,105.0,101.5,L,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.029,0.046,0,0,0,0,1,1,0.37209302325581395,0.46153846153846156,0.7441860465116279,0.21153846153846154,0.48484848484848486,0.046511627906976744,0.0,0.038461538461538464,0.046511627906976744,1.2,0.7333333333333333,0.36363636363636365,0.2727272727272727,0.5151515151515151,0.18181818181818182,0.0,0.34745512820512825,0.41537820512820517,0.5,0.2631578947368421,0.40503333333333347,0.4884333333333334,0.39473684210526316,0.4473684210526316,0.16326530612244897,0.19607843137254902,0.21568627450980393,0.2786885245901639,0.6976744186046512,0.28,0.5628415300546448,0.25136612021857924,0.3333333333333333,0.2866666666666667,0.02666666666666667,10.573426573426573,1.6993006993006994,9.251748251748252,0.22477064220183487,0.6455395517520488,0.38479404939940115,0.6455395517520488,1.2,"{""novig"": {""1.5"": {""over"": 135, ""under"": -135}}, ""betmgm"": {""0.5"": {""over"": -175, ""under"": 130}}, ""bet365"": {""1.5"": {""over"": 160, ""under"": -220}}, ""draftkings"": {""1.5"": {""over"": 139, ""under"": -186}}, ""fanduel"": {""1.5"": {""over"": 130}}}",1.5,over,bet365,160.0,0.38461538461538464,True,0.0002,0.5,over,betmgm,-175.0,0.6363636363636364,True,0.0092,False
624413,Pete Alonso,BAL,LAA,1,2.0,1,680570,Grayson Rodriguez,R,824805,6:35 PM ET,Camden Yards,1,1,0.2558139534883721,2026-08-04,824805,0.0,0,102.7,105.0,101.5,R,2,2,1,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0.4445,0.491,1,0,1,0,0,0,0.22950819672131148,0.32857142857142857,0.7049180327868853,0.2571428571428571,0.2926829268292683,0.16393442622950818,0.02857142857142857,0.05714285714285714,0.09836065573770492,1.6,1.2,0.6046511627906976,0.27906976744186046,0.32558139534883723,0.2558139534883721,0.023255813953488372,0.3986077777777777,0.7281422222222222,0.25,0.2727272727272727,0.38438,0.8673799999999998,0.2807017543859649,0.5087719298245614,0.20588235294117646,0.288135593220339,0.4915254237288136,0.3088235294117647,0.6976744186046512,0.28,0.5628415300546448,0.25136612021857924,0.3333333333333333,0.2866666666666667,0.02666666666666667,10.573426573426573,1.6993006993006994,9.251748251748252,0.22477064220183487,0.7068525113068719,0.47635472524850014,0.7068525113068719,1.6,"{""novig"": {""1.5"": {""over"": 117, ""under"": -117}}, ""bet365"": {""1.5"": {""over"": 105, ""under"": -140}}, ""betmgm"": {""0.5"": {""over"": -135, ""under"": 100}}, ""draftkings"": {""1.5"": {""over"": -110, ""under"": -125}}, ""fanduel"": {""1.5"": {""over"": -115}}}",1.5,over,novig,117.0,0.4608294930875576,True,0.0155,0.5,over,betmgm,-135.0,0.574468085106383,True,0.1324,False
694203,Denzer Guzman,LAA,BAL,0,5.0,1,700249,Cade Povich,L,824805,6:35 PM ET,Camden Yards,1,0,0.2577696526508227,2026-08-04,824805,0.0,0,102.7,105.0,101.5,R,3,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.083,0.135,0,0,0,0,1,0,0.21818181818181817,0.24561403508771928,0.6909090909090909,0.29310344827586204,0.2777777777777778,0.12727272727272726,0.034482758620689655,0.017241379310344827,0.05454545454545454,1.2666666666666666,1.1333333333333333,0.3157894736842105,0.3157894736842105,0.47368421052631576,0.13157894736842105,0.02631578947368421,0.2778622222222222,0.37229555555555555,0.23529411764705882,0.16666666666666666,0.3514666666666667,0.5214666666666666,0.25,0.32142857142857145,0.3220338983050847,0.26785714285714285,0.5535714285714286,0.2459016393442623,0.6888888888888889,0.26288659793814434,0.4752475247524752,0.18316831683168316,0.4774193548387097,0.24516129032258063,0.01935483870967742,10.146496815286625,1.375796178343949,8.426751592356688,0.21777777777777776,0.682923672266286,0.4494489309142178,0.682923672266286,1.2666666666666666,"{""novig"": {""1.5"": {""over"": 153, ""under"": -213}}, ""betmgm"": {""0.5"": {""over"": -115, ""under"": -115}}, ""bet365"": {""1.5"": {""over"": 150, ""under"": -200}}, ""draftkings"": {""1.5"": {""over"": 150, ""under"": -201}}, ""fanduel"": {""1.5"": {""over"": 140}}}",1.5,over,novig,153.0,0.3952569169960474,True,0.0542,0.5,over,betmgm,-115.0,0.5348837209302325,True,0.148,False
