batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_hit_1plus,p_hit_2plus,adj_prob,pred_hits,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
665804,Miguel Amaya,CHC,DET,1,9.0,1,656427,Jack Flaherty,R,824654,8:05 PM ET,Wrigley Field,1,1,0.218213058419244,2026-07-20,824654,0.0,1,98.5,100.5,105.7,R,4,4,1,1,0,0,0,0,0,1,2,3,0,2,0,0,2,0.31166666666666665,0.47300000000000003,1,0,1,1,1,0,0.24390243902439024,0.3673469387755102,0.7073170731707317,0.24489795918367346,0.3448275862068966,0.0975609756097561,0.0,0.08163265306122448,0.9333333333333333,0.8,0.4827586206896552,0.3103448275862069,0.27586206896551724,0.27586206896551724,0.0,0.30538461538461537,0.4489871794871795,0.29411764705882354,0.2631578947368421,0.32236666666666663,0.441,0.2222222222222222,0.3333333333333333,0.2962962962962963,0.21875,0.21875,0.17073170731707318,0.6407766990291263,0.23655913978494625,0.4021164021164021,0.15343915343915343,0.3181818181818182,0.3181818181818182,0.03787878787878788,8.936619718309858,0.5704225352112676,11.40845070422535,0.2912621359223301,0.3969179079300836,0.10391030398692745,0.3969179079300836,0.24390243902439024,"{""novig"": {""0.5"": {""over"": -120, ""under"": -104}}, ""bet365"": {""0.5"": {""over"": -150, ""under"": 110}}, ""betmgm"": {""0.5"": {""over"": -140, ""under"": 105}}, ""draftkings"": {""0.5"": {""over"": -117, ""under"": -113}}, ""fanduel"": {""0.5"": {""over"": -140}}}",0.5,over,draftkings,-117.0,0.5391705069124424,True,-0.1423,1.5,,,,,False,
663538,Nico Hoerner,CHC,DET,1,6.0,1,656427,Jack Flaherty,R,824654,8:05 PM ET,Wrigley Field,1,1,0.218213058419244,2026-07-20,824654,0.0,1,98.5,100.5,105.7,R,5,5,2,0,1,0,0,0,0,2,4,3,0,0,0,1,2,0.7066666666666667,0.8380000000000001,1,1,1,1,1,1,0.26785714285714285,0.3,0.8928571428571429,0.09836065573770492,0.29411764705882354,0.03571428571428571,0.0,0.03278688524590164,1.1333333333333333,0.4,0.27450980392156865,0.27450980392156865,0.39215686274509803,0.3137254901960784,0.0,0.32174,0.4002066666666667,0.3157894736842105,0.05,0.34695000000000004,0.42634999999999995,0.3389830508474576,0.4576271186440678,0.09523809523809523,0.19230769230769232,0.23076923076923078,0.08196721311475409,0.6407766990291263,0.23655913978494625,0.4021164021164021,0.15343915343915343,0.3181818181818182,0.3181818181818182,0.03787878787878788,8.936619718309858,0.5704225352112676,11.40845070422535,0.2912621359223301,0.6264885368576267,0.22153443039311407,0.6264885368576267,0.26785714285714285,"{""novig"": {""1.5"": {""over"": 203, ""under"": -270}}, ""betmgm"": {""0.5"": {""over"": -250, ""under"": 180}}, ""bet365"": {""1.5"": {""over"": 185, ""under"": -250}}, ""draftkings"": {""1.5"": {""over"": 195, ""under"": -266}}, ""fanduel"": {""0.5"": {""over"": -260}}}",0.5,over,betmgm,-250.0,0.7142857142857143,True,-0.0878,1.5,over,novig,203.0,0.33003300330033003,True,-0.1085
699393,Pedro Ramírez,CHC,DET,1,7.0,1,656427,Jack Flaherty,R,824654,8:05 PM ET,Wrigley Field,0,1,0.218213058419244,2026-07-20,824654,0.0,1,98.5,100.5,105.7,L,3,3,2,1,0,0,0,0,0,0,3,3,0,2,1,1,1,0.3166666666666667,0.47633333333333333,1,1,1,1,0,0,0.2692307692307692,0.3103448275862069,0.7307692307692307,0.23333333333333334,0.35,0.15384615384615385,0.0,0.06666666666666667,0.7333333333333333,0.4666666666666667,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.19047619047619047,0.0,0.29954166666666665,0.376125,0.3333333333333333,0.1111111111111111,0.25033333333333335,0.2886666666666667,0.25,0.46875,0.22857142857142856,,,,0.6407766990291263,0.23655913978494625,0.4021164021164021,0.15343915343915343,0.3181818181818182,0.3181818181818182,0.03787878787878788,8.936619718309858,0.5704225352112676,11.40845070422535,0.2912621359223301,0.56051332837858,0.1447975143232276,0.56051332837858,0.2692307692307692,"{""novig"": {""0.5"": {""over"": -182, ""under"": 144}}, ""bet365"": {""0.5"": {""over"": -220, ""under"": 160}}, ""betmgm"": {""0.5"": {""over"": -200, ""under"": 150}}, ""draftkings"": {""0.5"": {""over"": -172, ""under"": 129}}, ""fanduel"": {""0.5"": {""over"": -220}}}",0.5,over,draftkings,-172.0,0.6323529411764706,True,-0.0718,1.5,,,,,False,
691718,Pete Crow-Armstrong,CHC,DET,1,1.0,1,656427,Jack Flaherty,R,824654,8:05 PM ET,Wrigley Field,0,1,0.218213058419244,2026-07-20,824654,0.0,1,98.5,100.5,105.7,L,4,4,1,1,0,0,0,0,0,2,2,2,0,1,0,0,1,0.28,0.5449999999999999,1,0,1,1,1,1,0.29411764705882354,0.47058823529411764,0.6666666666666666,0.25,0.36666666666666664,0.27450980392156865,0.058823529411764705,0.029411764705882353,1.9333333333333333,1.1333333333333333,0.2647058823529412,0.23529411764705882,0.23529411764705882,0.38235294117647056,0.0,0.31012222222222224,0.46499999999999997,0.05555555555555555,0.391304347826087,0.11173333333333332,0.14356666666666648,0.3269230769230769,0.5961538461538461,0.29411764705882354,0.26785714285714285,0.44642857142857145,0.2727272727272727,0.6407766990291263,0.23655913978494625,0.4021164021164021,0.15343915343915343,0.3181818181818182,0.3181818181818182,0.03787878787878788,8.936619718309858,0.5704225352112676,11.40845070422535,0.2912621359223301,0.5151824157042983,0.13325044525862142,0.5151824157042983,0.29411764705882354,"{""novig"": {""1.5"": {""over"": 190, ""under"": -245}}, ""bet365"": {""1.5"": {""over"": 195, ""under"": -270}}, ""betmgm"": {""1.5"": {""over"": 180, ""under"": -250}}, ""draftkings"": {""1.5"": {""over"": 179, ""under"": -242}}, ""fanduel"": {""0.5"": {""over"": -280}}}",0.5,over,fanduel,-280.0,0.7368421052631579,True,-0.2217,1.5,over,bet365,195.0,0.3389830508474576,True,-0.2057
673548,Seiya Suzuki,CHC,DET,1,2.0,1,656427,Jack Flaherty,R,824654,8:05 PM ET,Wrigley Field,1,1,0.218213058419244,2026-07-20,824654,0.0,1,98.5,100.5,105.7,R,4,2,1,1,0,0,2,0,0,0,2,2,0,2,0,1,1,0.6655,0.7585,1,0,1,1,0,0,0.3064516129032258,0.35294117647058826,0.7580645161290323,0.22058823529411764,0.35555555555555557,0.22580645161290322,0.04411764705882353,0.07352941176470588,2.2,1.0,0.3541666666666667,0.22916666666666666,0.3125,0.375,0.020833333333333332,0.32692000000000004,0.5392755555555555,0.35,0.21739130434782608,0.5216799999999999,0.6723199999999998,0.288135593220339,0.559322033898305,0.2753623188405797,0.22641509433962265,0.4339622641509434,0.25,0.6407766990291263,0.23655913978494625,0.4021164021164021,0.15343915343915343,0.3181818181818182,0.3181818181818182,0.03787878787878788,8.936619718309858,0.5704225352112676,11.40845070422535,0.2912621359223301,0.6284286614750642,0.23649228091697347,0.6284286614750642,0.3064516129032258,"{""novig"": {""0.5"": {""over"": -217, ""under"": 167}}, ""betmgm"": {""0.5"": {""over"": -235, ""under"": 175}}, ""fanduel"": {""0.5"": {""over"": -230}}}",0.5,over,novig,-217.0,0.6845425867507886,True,-0.0561,1.5,,,,,False,
690993,Colt Keith,DET,CHC,0,3.0,1,592791,Jameson Taillon,R,824654,8:05 PM ET,Wrigley Field,0,1,0.24352331606217617,2026-07-20,824654,0.0,1,98.5,100.5,105.7,L,2,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.049,0.168,0,0,0,0,1,0,0.27906976744186046,0.3333333333333333,0.7906976744186046,0.1875,0.25806451612903225,0.3023255813953488,0.08333333333333333,0.020833333333333332,1.6666666666666667,0.6,0.4857142857142857,0.34285714285714286,0.3142857142857143,0.3142857142857143,0.05714285714285714,0.40523809523809523,0.7515654761904763,0.35714285714285715,0.1875,0.40668749999999987,0.5715000000000001,0.26666666666666666,0.5555555555555556,0.18,0.2558139534883721,0.3023255813953488,0.2553191489361702,0.7033898305084746,0.18181818181818182,0.5231481481481481,0.27314814814814814,0.35542168674698793,0.4036144578313253,0.060240963855421686,8.678571428571429,2.8928571428571432,8.035714285714286,0.2127659574468085,0.6177168012937522,0.204181187768974,0.6177168012937522,0.27906976744186046,"{""novig"": {""0.5"": {""over"": -208, ""under"": 163}}, ""bet365"": {""0.5"": {""over"": -210, ""under"": 155}}, ""betmgm"": {""0.5"": {""over"": -200, ""under"": 150}}, ""fanduel"": {""0.5"": {""over"": -260}}}",0.5,over,betmgm,-200.0,0.6666666666666666,True,-0.0489,1.5,,,,,False,
693307,Dillon Dingler,DET,CHC,0,5.0,1,592791,Jameson Taillon,R,824654,8:05 PM ET,Wrigley Field,1,1,0.24352331606217617,2026-07-20,824654,0.0,1,98.5,100.5,105.7,R,4,4,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0.06866666666666667,0.08,0,0,0,0,1,0,0.23636363636363636,0.29508196721311475,0.7454545454545455,0.22950819672131148,0.30952380952380953,0.09090909090909091,0.0,0.08196721311475409,1.2,0.9333333333333333,0.30952380952380953,0.2619047619047619,0.30952380952380953,0.30952380952380953,0.023809523809523808,0.2946766666666667,0.4041511111111111,0.2857142857142857,0.2777777777777778,0.3126,0.3867,0.2698412698412698,0.4444444444444444,0.23529411764705882,0.24528301886792453,0.5471698113207547,0.21052631578947367,0.7033898305084746,0.18181818181818182,0.5231481481481481,0.27314814814814814,0.35542168674698793,0.4036144578313253,0.060240963855421686,8.678571428571429,2.8928571428571432,8.035714285714286,0.2127659574468085,0.6093358346940286,0.21452443933351537,0.6093358346940286,0.23636363636363636,"{""novig"": {""0.5"": {""over"": -251, ""under"": 190}}, ""betmgm"": {""0.5"": {""over"": -250, ""under"": 180}}, ""bet365"": {""1.5"": {""over"": 190, ""under"": -260}}, ""draftkings"": {""0.5"": {""over"": -253, ""under"": 187}}, ""fanduel"": {""0.5"": {""over"": -270}}}",0.5,over,betmgm,-250.0,0.7142857142857143,True,-0.1049,1.5,over,bet365,190.0,0.3448275862068966,True,-0.1303
650402,Gleyber Torres,DET,CHC,0,2.0,1,592791,Jameson Taillon,R,824654,8:05 PM ET,Wrigley Field,1,1,0.24352331606217617,2026-07-20,824654,0.0,1,98.5,100.5,105.7,R,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.31775,0.5427500000000001,0,0,0,0,1,0,0.3392857142857143,0.42424242424242425,0.8035714285714286,0.16666666666666666,0.38636363636363635,0.17857142857142858,0.030303030303030304,0.06060606060606061,1.9333333333333333,0.7333333333333333,0.41304347826086957,0.2608695652173913,0.41304347826086957,0.2608695652173913,0.08695652173913043,0.32251785714285713,0.5555928571428571,0.3684210526315789,0.13043478260869565,0.3435166666666665,0.6007499999999999,0.3684210526315789,0.5263157894736842,0.1875,0.20689655172413793,0.3275862068965517,0.18571428571428572,0.7033898305084746,0.18181818181818182,0.5231481481481481,0.27314814814814814,0.35542168674698793,0.4036144578313253,0.060240963855421686,8.678571428571429,2.8928571428571432,8.035714285714286,0.2127659574468085,0.6619062732193932,0.24881313613901387,0.6619062732193932,0.3392857142857143,"{""novig"": {""0.5"": {""over"": -233, ""under"": 178}}, ""bet365"": {""0.5"": {""over"": -235, ""under"": 175}}, ""betmgm"": {""0.5"": {""over"": -250, ""under"": 180}}, ""fanduel"": {""0.5"": {""over"": -220}}}",0.5,over,fanduel,-220.0,0.6875,True,-0.0256,1.5,,,,,False,
681546,James Outman,DET,CHC,0,9.0,1,592791,Jameson Taillon,R,824654,8:05 PM ET,Wrigley Field,0,1,0.24352331606217617,2026-07-20,824654,0.0,1,98.5,100.5,105.7,L,3,3,1,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0.239,0.26549999999999996,1,0,1,0,1,0,0.14285714285714285,0.19230769230769232,0.6122448979591837,0.35185185185185186,0.17857142857142858,0.16326530612244897,0.037037037037037035,0.0,1.0,1.2666666666666666,0.3333333333333333,0.23333333333333334,0.36666666666666664,0.3333333333333333,0.03333333333333333,0.29817261904761905,0.5814761904761906,0.125,0.35294117647058826,0.3768166666666667,0.6901666666666668,0.125,0.2916666666666667,0.3888888888888889,0.23076923076923078,0.48717948717948717,0.40476190476190477,0.7033898305084746,0.18181818181818182,0.5231481481481481,0.27314814814814814,0.35542168674698793,0.4036144578313253,0.060240963855421686,8.678571428571429,2.8928571428571432,8.035714285714286,0.2127659574468085,0.4798418215372838,0.11837645652444147,0.4798418215372838,0.14285714285714285,"{""novig"": {""0.5"": {""over"": -106, ""under"": -120}}, ""bet365"": {""0.5"": {""over"": -110, ""under"": -120}}, ""betmgm"": {""0.5"": {""over"": -110, ""under"": -120}}, ""fanduel"": {""0.5"": {""over"": -120}}}",0.5,over,novig,-106.0,0.5145631067961165,True,-0.0347,1.5,,,,,False,
681481,Kerry Carpenter,DET,CHC,0,6.0,1,592791,Jameson Taillon,R,824654,8:05 PM ET,Wrigley Field,0,1,0.24352331606217617,2026-07-20,824654,0.0,1,98.5,100.5,105.7,L,4,4,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0.12150000000000001,0.15825,0,0,0,0,0,0,0.17073170731707318,0.24444444444444444,0.6829268292682927,0.2765957446808511,0.2222222222222222,0.0975609756097561,0.02127659574468085,0.02127659574468085,0.7333333333333333,0.8666666666666667,0.42857142857142855,0.32142857142857145,0.21428571428571427,0.32142857142857145,0.10714285714285714,0.29265972222222225,0.46037500000000003,0.0,0.36363636363636365,0.08324999999999992,0.09441666666666682,0.2,0.4,0.2653061224489796,0.24444444444444444,0.4222222222222222,0.2549019607843137,0.7033898305084746,0.18181818181818182,0.5231481481481481,0.27314814814814814,0.35542168674698793,0.4036144578313253,0.060240963855421686,8.678571428571429,2.8928571428571432,8.035714285714286,0.2127659574468085,0.5343858538174209,0.13398302531925893,0.5343858538174209,0.17073170731707318,"{""novig"": {""0.5"": {""over"": -190, ""under"": 147}}, ""bet365"": {""0.5"": {""over"": -200, ""under"": 150}}, ""betmgm"": {""0.5"": {""over"": -175, ""under"": 130}}, ""fanduel"": {""0.5"": {""over"": -210}}}",0.5,over,betmgm,-175.0,0.6363636363636364,True,-0.102,1.5,,,,,False,
