player_name,team_abbr,stand,pitcher_name,p_throws,home_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,season_hr,bat_order,recent_hr,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,game_date,game_id,batter,game_total
Paul Goldschmidt,NYY,R,Gavin Williams,R,CLE,A,mlb_schedule,0.1660637349541503,502,1,betrivers,900.0,0.1,0.0661,0.1677928915522334,0.22,0.08,0.7000000000000001,,0.9896946969440308,95.7,90.7,10.0,1.736481776669304,0,,3.0,1,0.0263157894736842,0.2631578947368421,0.1184210526315789,80.10456613756614,0.3687916666666666,0.5299964285714286,0.0098684210526315,0.3092105263157895,0.0263157894736842,2026-06-08,824427,502671,
Jonathan Aranda,TB,L,Connelly Early,L,TB,H,mlb_schedule,0.1644300593578276,508,1,prophetx,760.0,0.1162790697674418,0.0482,0.1699552002335727,0.2472324723247232,0.1586715867158671,0.5940959409594097,,0.9674906041818564,99.8,94.1,0.0,0.0,1,11.0,5.0,0,0.0222222222222222,0.2888888888888888,0.1777777777777777,86.47706837606837,0.5550400000000001,0.9106311111111112,0.01,0.2666666666666666,0.03,2026-06-08,822972,666018,
Kazuma Okamoto,TOR,R,Cristopher Sánchez,L,TOR,H,mlb_schedule,0.1649234284179031,506,1,prophetx,740.0,0.119047619047619,0.0459,0.1716185885339551,0.3193916349809886,0.1064638783269961,0.5741444866920151,,0.960988141359015,106.3,69.7,10.5,-8.704894511827938,0,13.0,4.0,1,0.0526315789473684,0.2807017543859649,0.1929824561403508,84.941,0.417974358974359,0.670653846153846,0.0137931034482758,0.3,0.0103448275862068,2026-06-08,822806,672960,
Travis Bazzana,CLE,L,Will Warren,R,CLE,H,mlb_schedule,0.1560894726143541,541,1,prophetx,790.0,0.1123595505617977,0.0437,0.157714771127223,0.22,0.08,0.7000000000000001,,0.9896946969440308,106.3,90.7,10.0,1.736481776669304,0,,1.0,1,0.0588235294117647,0.3382352941176471,0.2205882352941176,86.24690476190476,0.3300611111111111,0.4703833333333333,0.0107913669064748,0.2410071942446043,0.0251798561151079,2026-06-08,824427,683953,
Kyle Manzardo,CLE,L,Will Warren,R,CLE,H,mlb_schedule,0.1967401999527337,408,1,novig,549.0,0.1540832049306625,0.0427,0.1987887785599196,0.22,0.08,0.7000000000000001,,0.9896946969440308,106.3,90.7,10.0,1.736481776669304,0,,4.0,1,0.0163934426229508,0.2459016393442623,0.1475409836065573,81.423,0.4803910256410256,0.7095320512820513,0.0107913669064748,0.2410071942446043,0.0251798561151079,2026-06-08,824427,700932,
Bryson Stott,PHI,L,Patrick Corbin,L,TOR,A,mlb_schedule,0.1251197681303455,699,1,prophetx,1100.0,0.0833333333333333,0.0418,0.1256825200660678,0.1727272727272727,0.0681818181818181,0.759090909090909,,0.9955224327501828,108.2,69.7,10.5,-8.704894511827938,0,6.0,7.0,0,0.0147058823529411,0.25,0.1911764705882352,84.75444444444445,0.3435388888888889,0.5159222222222223,0.0242214532871972,0.28719723183391,0.0173010380622837,2026-06-08,822806,681082,
Yohendrick Piñango,TOR,L,Cristopher Sánchez,L,TOR,H,mlb_schedule,0.1041594521429962,860,1,novig,1438.0,0.0650195058517555,0.0391,0.1052440237020757,0.22,0.08,0.7000000000000001,,0.9896946969440308,108.2,69.7,10.5,-8.704894511827938,0,,9.0,1,0.0147058823529411,0.25,0.0441176470588235,83.97106349206348,0.4856597222222221,0.7034375,0.0137931034482758,0.3,0.0103448275862068,2026-06-08,822806,682818,
Spencer Jones,NYY,L,Gavin Williams,R,CLE,A,mlb_schedule,0.1580999361294828,533,1,prophetx,730.0,0.1204819277108433,0.0376,0.1597461688111113,0.22,0.08,0.7000000000000001,,0.9896946969440308,106.3,90.7,10.0,1.736481776669304,0,,6.0,0,0.0192307692307692,0.2884615384615384,0.1538461538461538,87.07148148148148,0.3466666666666667,0.5173333333333333,0.0098684210526315,0.3092105263157895,0.0263157894736842,2026-06-08,824427,682987,
Isiah Kiner-Falefa,BOS,R,Ian Seymour,L,TB,A,mlb_schedule,0.0717151612006001,1294,1,prophetx,2500.0,0.0384615384615384,0.0333,0.0724619030717669,0.22,0.08,0.7000000000000001,,0.9896946969440308,110.5,94.1,0.0,0.0,1,,7.0,0,0.015625,0.21875,0.09375,81.57400000000001,0.3508944444444444,0.4798111111111111,0.0166666666666666,0.2166666666666666,0.0333333333333333,2026-06-08,822972,643396,
Jarren Duran,BOS,L,Ian Seymour,L,TB,A,mlb_schedule,0.1705791929436463,486,1,prophetx,590.0,0.144927536231884,0.0257,0.1742825940815046,0.2818532818532818,0.081081081081081,0.6370656370656371,,0.9787505966538096,99.8,94.1,0.0,0.0,1,10.0,1.0,1,0.0410958904109589,0.3150684931506849,0.136986301369863,85.23033333333333,0.4387111111111111,0.7063900000000001,0.0166666666666666,0.2166666666666666,0.0333333333333333,2026-06-08,822972,680776,
