player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Manny Machado,SD,R,Chris Sale,L,ATL,ATL,A,mlb_schedule,0.2269501066297954,341,1,bet365,500,0.1666666666666666,0.0603,0.1989501066297954,0.2177033492822966,0.1172248803827751,0.6650717703349283,4.1,0.9887201794378928,92.8,91.1,11.5,8.546165492990033,0,92.0,17.0,9 MPH TOWARD OF,12:15 PM ET,Truist Park,22.0,3.0,0,14.0,2.88,0.025,0.4,0.4,90.085,0.3710722222222222,0.5655944444444445,0.0196078431372549,2.06,0.6857142857142857,8.0,105.0,56,20,2,0.357,18,4,2026-07-23,824893,592518,"{""novig"": {""odds"": 488}, ""bet365"": {""odds"": 500}, ""pinnacle"": {""odds"": 464}, ""fanduel"": {""odds"": 430}}"
Brooks Lee,MIN,R,Gavin Williams,R,CLE,CLE,A,mlb_schedule,0.1527473501445816,555,1,novig,852,0.10504201680672269,0.0477,0.1247473501445816,0.1649746192893401,0.0761421319796954,0.7588832487309645,4.3,0.997794140998487,95.7,74.7,10.1,-4.427548582569683,0,91.0,2.0,4 MPH TOWARD HP,1:10 PM ET,Progressive Field,15.0,1.0,0,27.0,3.804,0.0,0.4,0.2333333333333333,90.33111111111111,0.3107333333333333,0.4186555555555555,0.06,4.0,1.5083798882681565,20.0,119.33333333333331,22,4,0,0.182,12,4,2026-07-23,824406,686797,"{""novig"": {""odds"": 852}, ""bet365"": {""odds"": 650}, ""draftkings"": {""odds"": 690}, ""fanduel"": {""odds"": 680}}"
Ty France,SD,R,Chris Sale,L,ATL,ATL,A,mlb_schedule,0.1804778656459761,454,1,bet365,650,0.1333333333333333,0.0471,0.1524778656459761,0.22,0.08,0.7000000000000001,4.0,0.9919,92.8,91.1,11.5,8.546165492990033,0,92.0,17.0,9 MPH TOWARD OF,12:15 PM ET,Truist Park,,4.0,1,4.0,2.88,0.0454545454545454,0.5454545454545454,0.2727272727272727,94.07833333333332,0.4473277777777777,0.7136944444444444,0.0196078431372549,2.06,0.6857142857142857,8.0,105.0,12,2,0,0.167,14,3,2026-07-23,824893,664034,"{""novig"": {""odds"": 567}, ""bet365"": {""odds"": 650}, ""draftkings"": {""odds"": 506}, ""fanduel"": {""odds"": 520}}"
Luke Keaschall,MIN,R,Gavin Williams,R,CLE,CLE,A,mlb_schedule,0.11851006291540829,744,1,bet365,1300,0.07142857142857142,0.0471,0.0905100629154083,0.1546666666666666,0.128,0.7173333333333333,3.5,0.9879922650959273,95.7,74.7,10.1,-4.427548582569683,0,91.0,2.0,4 MPH TOWARD HP,1:10 PM ET,Progressive Field,4.0,8.0,0,19.0,3.804,0.0,0.282051282051282,0.3333333333333333,84.81666666666666,0.2716111111111111,0.3816055555555556,0.06,4.0,1.5083798882681565,20.0,119.33333333333331,10,0,0,0.0,4,1,2026-07-23,824406,807712,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 1300}, ""draftkings"": {""odds"": 1060}, ""fanduel"": {""odds"": 1060}}"
Patrick Bailey,CLE,L,Taj Bradley,R,CLE,MIN,H,mlb_schedule,0.1306640294871434,665,1,novig,1076,0.08503401360544217,0.0456,0.1026640294871434,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,106.3,74.7,10.1,-4.427548582569683,0,91.0,2.0,4 MPH TOWARD HP,1:10 PM ET,Progressive Field,,8.0,1,14.0,3.463,0.0,0.4666666666666667,0.2666666666666666,83.40444444444444,0.2859743589743589,0.3995128205128205,0.0699300699300699,3.85,1.3374613003095974,16.0,107.66666666666669,4,0,0,0.0,3,1,2026-07-23,824406,672275,"{""novig"": {""odds"": 1076}, ""bet365"": {""odds"": 850}, ""betmgm"": {""odds"": 1000}, ""draftkings"": {""odds"": 750}, ""fanduel"": {""odds"": 870}}"
Austin Martin,MIN,R,Gavin Williams,R,CLE,CLE,A,mlb_schedule,0.0907553568260034,1002,1,draftkings,2000,0.047619047619047616,0.0431,0.0627553568260034,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,95.7,74.7,10.1,-4.427548582569683,0,91.0,2.0,4 MPH TOWARD HP,1:10 PM ET,Progressive Field,,7.0,0,62.0,3.804,0.0,0.2580645161290322,0.2580645161290322,85.60444444444444,0.3454166666666667,0.4445777777777778,0.06,4.0,1.5083798882681565,20.0,119.33333333333331,14,8,0,0.571,1,1,2026-07-23,824406,668885,"{""novig"": {""odds"": 1718}, ""draftkings"": {""odds"": 2000}, ""fanduel"": {""odds"": 1400}}"
Jake Cronenworth,SD,L,Chris Sale,L,ATL,ATL,A,mlb_schedule,0.1140888393234952,777,1,fanduel,1300,0.0714285714285714,0.0427,0.0860888393234952,0.22,0.08,0.7000000000000001,3.4,0.98331937703468,98.1,91.1,11.5,8.546165492990033,0,92.0,17.0,9 MPH TOWARD OF,12:15 PM ET,Truist Park,,9.0,0,16.0,2.88,0.024390243902439,0.2926829268292683,0.2195121951219512,85.25944444444444,0.3046944444444444,0.4331944444444444,0.0196078431372549,2.06,0.6857142857142857,8.0,105.0,20,0,0,0.0,3,0,2026-07-23,824893,630105,"{""novig"": {""odds"": 1233}, ""bet365"": {""odds"": 1300}, ""fanduel"": {""odds"": 1300}}"
Ryan Kreidler,MIN,R,Gavin Williams,R,CLE,CLE,A,mlb_schedule,0.1163400894363922,760,1,novig,1233,0.07501875468867217,0.0413,0.0883400894363922,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,95.7,74.7,10.1,-4.427548582569683,0,91.0,2.0,4 MPH TOWARD HP,1:10 PM ET,Progressive Field,,9.0,0,25.0,3.804,0.0277777777777777,0.3333333333333333,0.1666666666666666,90.01722222222223,0.2600666666666666,0.3426888888888889,0.06,4.0,1.5083798882681565,20.0,119.33333333333331,0,0,0,,4,1,2026-07-23,824406,668952,"{""novig"": {""odds"": 1233}, ""bet365"": {""odds"": 1100}, ""draftkings"": {""odds"": 1000}, ""fanduel"": {""odds"": 1000}}"
Gavin Sheets,SD,L,Chris Sale,L,ATL,ATL,A,mlb_schedule,0.1220036818982414,720,1,bet365,1100,0.0833333333333333,0.0387,0.0940036818982414,0.2153392330383481,0.1297935103244837,0.654867256637168,3.7,0.9804768988173878,98.1,91.1,11.5,8.546165492990033,0,92.0,17.0,9 MPH TOWARD OF,12:15 PM ET,Truist Park,14.0,6.0,0,23.0,2.88,0.0,0.25,0.15,82.89144444444445,0.2591855555555555,0.3578688888888888,0.0196078431372549,2.06,0.6857142857142857,8.0,105.0,6,2,2,0.333,17,0,2026-07-23,824893,657757,"{""bet365"": {""odds"": 1100}}"
Kody Clemens,MIN,L,Gavin Williams,R,CLE,CLE,A,mlb_schedule,0.2048885551877859,388,1,bet365,475,0.17391304347826086,0.031,0.1768885551877859,0.2359550561797752,0.0758426966292134,0.6882022471910112,3.9,0.989380486406488,106.3,74.7,10.1,-4.427548582569683,0,91.0,2.0,4 MPH TOWARD HP,1:10 PM ET,Progressive Field,18.0,5.0,1,5.0,3.804,0.048780487804878,0.5121951219512195,0.4146341463414634,93.22966666666666,0.4341166666666666,0.6715444444444445,0.06,4.0,1.5083798882681565,20.0,119.33333333333331,24,4,0,0.167,14,5,2026-07-23,824406,665019,"{""novig"": {""odds"": 441}, ""bet365"": {""odds"": 475}, ""betmgm"": {""odds"": 400}, ""pinnacle"": {""odds"": 421}, ""fanduel"": {""odds"": 420}}"
