player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Jake Burger,TEX,R,Logan Webb,R,TEX,SF,H,mlb_schedule,0.1847507862348608,441,1,bet365,700,0.125,0.0598,0.1567507862348608,0.2708333333333333,0.0787037037037037,0.650462962962963,3.7,0.9795390948670075,86.4,101.1,0.0,0.0,1,60.0,0.0,DOME,8:05 PM ET,Globe Life Field,19.0,6.0,0,7.0,3.174,0.0465116279069767,0.4418604651162791,0.3255813953488372,89.37577777777778,0.3811077777777777,0.617411111111111,0.0261780104712041,3.93,0.6806722689075629,9.0,119.0,0,0,0,,15,5,2026-08-03,822867,669394,"{""novig"": {""odds"": 567}, ""bet365"": {""odds"": 700}, ""pinnacle"": {""odds"": 590}, ""fanduel"": {""odds"": 540}}"
David Hamilton,MIL,L,Bubba Chandler,R,MIL,PIT,H,mlb_schedule,0.1254568513778588,697,1,bet365,1300,0.07142857142857142,0.054,0.0974568513778588,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,105.1,76.2,8.1,3.5508062889915277,0,96.0,0.0,4 MPH TOWARD OF,7:40 PM ET,American Family Field,,8.0,0,58.0,4.752,0.0,0.2857142857142857,0.2,86.97144444444444,0.3500899999999999,0.4732933333333333,0.0186335403726708,,,,,0,0,0,,3,0,2026-08-03,823757,666152,"{""novig"": {""odds"": 953}, ""bet365"": {""odds"": 1300}, ""draftkings"": {""odds"": 890}, ""fanduel"": {""odds"": 870}}"
José Fermín,STL,R,Cam Schlittler,R,NYY,NYY,A,mlb_schedule,0.1278634428566317,682,1,novig,1233,0.07501875468867217,0.0528,0.0998634428566317,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,100.0,80.5,12.4,12.4,0,98.0,94.0,12 MPH TOWARD OF,7:05 PM ET,Yankee Stadium,,8.0,0,7.0,2.112,0.025,0.375,0.275,90.13222222222224,0.2775944444444445,0.3819499999999999,0.0620689655172413,2.04,0.7902439024390244,12.0,136.66666666666666,0,0,0,,2,3,2026-08-03,823520,665877,"{""novig"": {""odds"": 1233}, ""bet365"": {""odds"": 1100}, ""draftkings"": {""odds"": 1140}, ""fanduel"": {""odds"": 1060}}"
Jake Bauers,MIL,L,Bubba Chandler,R,MIL,PIT,H,mlb_schedule,0.2200782349626985,354,1,bet365,475,0.17391304347826086,0.0462,0.1920782349626985,0.2556390977443609,0.1428571428571428,0.6015037593984962,3.9,0.9723525875372876,105.1,76.2,8.1,3.5508062889915277,0,96.0,0.0,4 MPH TOWARD OF,7:40 PM ET,American Family Field,20.0,5.0,1,2.0,4.752,0.0,0.5641025641025641,0.2564102564102564,94.99777777777778,0.5174677777777779,0.8162144444444445,0.0186335403726708,,,,,4,2,0,0.5,21,3,2026-08-03,823757,641343,"{""bet365"": {""odds"": 475}, ""pinnacle"": {""odds"": 418}, ""fanduel"": {""odds"": 390}}"
Joey Ortiz,MIL,R,Bubba Chandler,R,MIL,PIT,H,mlb_schedule,0.131926129782586,658,1,fanduel,1060,0.08620689655172414,0.0457,0.103926129782586,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,113.4,76.2,8.1,3.5508062889915277,0,96.0,0.0,4 MPH TOWARD OF,7:40 PM ET,American Family Field,,9.0,0,14.0,4.752,0.025,0.45,0.2,88.9511111111111,0.3530444444444444,0.4927222222222222,0.0186335403726708,,,,,8,4,0,0.5,4,1,2026-08-03,823757,687401,"{""betmgm"": {""odds"": 725}, ""fanduel"": {""odds"": 1060}}"
Spencer Jones,NYY,L,Michael McGreevy,R,NYY,STL,H,mlb_schedule,0.219002985897337,357,1,draftkings,459,0.17889087656529518,0.0401,0.191002985897337,0.22,0.08,0.7000000000000001,4.0,0.9919,104.0,80.5,12.4,12.4,0,98.0,94.0,12 MPH TOWARD OF,7:05 PM ET,Yankee Stadium,,4.0,1,2.0,4.247,0.0,0.5185185185185185,0.4074074074074074,94.55333333333334,0.4806222222222222,0.7541111111111111,0.0432432432432432,3.57,1.163793103448276,15.0,116.0,0,0,0,,5,2,2026-08-03,823520,682987,"{""novig"": {""odds"": 441}, ""bet365"": {""odds"": 425}, ""pinnacle"": {""odds"": 400}, ""draftkings"": {""odds"": 459}, ""fanduel"": {""odds"": 420}}"
Ezequiel Duran,TEX,R,Logan Webb,R,TEX,SF,H,mlb_schedule,0.1259653048319669,694,1,fanduel,1060,0.08620689655172414,0.0398,0.0979653048319669,0.2333333333333333,0.0769230769230769,0.6897435897435897,3.6,0.9852022819616353,86.4,101.1,0.0,0.0,1,60.0,0.0,DOME,8:05 PM ET,Globe Life Field,12.0,7.0,0,7.0,3.174,0.075,0.25,0.25,86.47222222222221,0.3150277777777778,0.4825333333333333,0.0261780104712041,3.93,0.6806722689075629,9.0,119.0,10,6,0,0.6,11,2,2026-08-03,822867,677649,"{""novig"": {""odds"": 1011}, ""bet365"": {""odds"": 1000}, ""betmgm"": {""odds"": 850}, ""draftkings"": {""odds"": 930}, ""fanduel"": {""odds"": 1060}}"
Masyn Winn,STL,R,Cam Schlittler,R,NYY,NYY,A,mlb_schedule,0.1111317670564989,800,1,novig,1233,0.07501875468867217,0.0361,0.0831317670564989,0.1976470588235294,0.108235294117647,0.6941176470588235,3.7,0.9875103185345286,100.0,80.5,12.4,12.4,0,98.0,94.0,12 MPH TOWARD OF,7:05 PM ET,Yankee Stadium,4.0,6.0,0,31.0,2.112,0.0,0.3684210526315789,0.3421052631578947,86.82222222222224,0.3215166666666667,0.4181777777777778,0.0620689655172413,2.04,0.7902439024390244,12.0,136.66666666666666,0,0,0,,4,0,2026-08-03,823520,691026,"{""novig"": {""odds"": 1233}, ""bet365"": {""odds"": 1100}, ""draftkings"": {""odds"": 1000}, ""fanduel"": {""odds"": 870}}"
Garrett Mitchell,MIL,L,Bubba Chandler,R,MIL,PIT,H,mlb_schedule,0.1626675638641619,515,1,novig,641,0.1349527665317139,0.0277,0.1346675638641619,0.3215258855585831,0.1280653950953678,0.5504087193460491,3.6,0.9437471710633082,105.1,76.2,8.1,3.5508062889915277,0,96.0,0.0,4 MPH TOWARD OF,7:40 PM ET,American Family Field,8.0,7.0,0,31.0,4.752,0.0263157894736842,0.4473684210526316,0.1052631578947368,92.57111111111112,0.4035277777777777,0.5610722222222222,0.0186335403726708,,,,,4,2,0,0.5,8,0,2026-08-03,823757,669003,"{""novig"": {""odds"": 641}, ""bet365"": {""odds"": 625}, ""betmgm"": {""odds"": 550}, ""pinnacle"": {""odds"": 550}, ""fanduel"": {""odds"": 560}}"
Ryan McMahon,NYY,L,Michael McGreevy,R,NYY,STL,H,mlb_schedule,0.1814581054106561,451,1,novig,545,0.15503875968992248,0.0264,0.1534581054106561,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,104.0,80.5,12.4,12.4,0,98.0,94.0,12 MPH TOWARD OF,7:05 PM ET,Yankee Stadium,,7.0,0,23.0,4.247,0.0294117647058823,0.5882352941176471,0.3235294117647059,94.07155555555556,0.4558022222222221,0.6365288888888888,0.0432432432432432,3.57,1.163793103448276,15.0,116.0,10,2,0,0.2,9,0,2026-08-03,823520,641857,"{""novig"": {""odds"": 545}, ""bet365"": {""odds"": 525}, ""betmgm"": {""odds"": 425}, ""pinnacle"": {""odds"": 480}, ""draftkings"": {""odds"": 469}, ""fanduel"": {""odds"": 500}}"
