player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Max Clark,DET,L,Tanner Bibee,R,DET,CLE,H,mlb_schedule,0.1582653559916665,532,1,novig,900,0.1,0.0583,0.1302653559916665,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,97.2,83.8,11.2,8.579697762932554,0,94.0,23.0,9 MPH TOWARD OF,6:40 PM ET,Comerica Park,,7.0,0,10.0,4.632,0.0,0.4285714285714285,0.3809523809523809,90.07222222222222,0.3957395833333333,0.5272916666666666,0.0376344086021505,3.85,1.5,23.0,138.0,0,0,0,,1,0,2026-08-11,824240,703601,"{""novig"": {""odds"": 900}, ""bet365"": {""odds"": 900}, ""betmgm"": {""odds"": 550}, ""fanduel"": {""odds"": 870}}"
Daylen Lile,WSH,L,Shota Imanaga,L,WSH,CHC,H,mlb_schedule,0.1774843178113938,463,1,fanduel,680,0.1282051282051282,0.0493,0.1494843178113938,0.1905737704918032,0.0696721311475409,0.7397540983606558,3.6,0.9921407331252234,93.0,86.6,8.9,5.600951480343554,0,93.0,45.0,6 MPH TOWARD OF,6:45 PM ET,Nationals Park,15.0,7.0,1,4.0,4.929,0.0263157894736842,0.3947368421052631,0.4736842105263157,89.41944444444445,0.331261111111111,0.49915,0.0666666666666666,3.6,1.6959798994974875,25.0,132.66666666666666,4,2,0,0.5,15,1,2026-08-11,822697,695734,"{""novig"": {""odds"": 641}, ""betmgm"": {""odds"": 525}, ""fanduel"": {""odds"": 680}}"
Colt Keith,DET,L,Tanner Bibee,R,DET,CLE,H,mlb_schedule,0.142638513830416,601,1,novig,809,0.11001100110011001,0.0326,0.114638513830416,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,97.2,83.8,11.2,8.579697762932554,0,94.0,23.0,9 MPH TOWARD OF,6:40 PM ET,Comerica Park,,5.0,0,32.0,4.632,0.0,0.3157894736842105,0.2105263157894736,86.38166666666666,0.3267722222222222,0.4426888888888889,0.0376344086021505,3.85,1.5,23.0,138.0,40,10,0,0.25,8,0,2026-08-11,824240,690993,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 800}, ""betmgm"": {""odds"": 625}, ""fanduel"": {""odds"": 750}}"
Gleyber Torres,DET,R,Tanner Bibee,R,DET,CLE,H,mlb_schedule,0.135070225182193,640,1,bet365,850,0.10526315789473684,0.0298,0.107070225182193,0.22,0.08,0.7000000000000001,4.2,0.9936333750066674,104.4,83.8,11.2,8.579697762932554,0,94.0,23.0,9 MPH TOWARD OF,6:40 PM ET,Comerica Park,,2.0,0,7.0,4.632,0.0,0.3555555555555555,0.2888888888888888,88.95555555555555,0.29781,0.4214733333333333,0.0376344086021505,3.85,1.5,23.0,138.0,24,6,0,0.25,6,1,2026-08-11,824240,650402,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 850}, ""draftkings"": {""odds"": 720}, ""fanduel"": {""odds"": 750}}"
Brady House,WSH,R,Shota Imanaga,L,WSH,CHC,H,mlb_schedule,0.1804152932288948,454,1,fanduel,540,0.15625,0.0242,0.1524152932288948,0.22,0.08,0.7000000000000001,4.1,0.9928187979804218,92.4,86.6,8.9,5.600951480343554,0,93.0,45.0,6 MPH TOWARD OF,6:45 PM ET,Nationals Park,,3.0,1,6.0,4.929,0.0277777777777777,0.6111111111111112,0.3055555555555556,90.53388888888888,0.5211,0.7870277777777779,0.0666666666666666,3.6,1.6959798994974875,25.0,132.66666666666666,6,2,0,0.333,5,3,2026-08-11,822697,691781,"{""novig"": {""odds"": 525}, ""bet365"": {""odds"": 500}, ""betmgm"": {""odds"": 400}, ""pinnacle"": {""odds"": 500}, ""draftkings"": {""odds"": 539}, ""fanduel"": {""odds"": 540}}"
Zach McKinstry,DET,L,Tanner Bibee,R,DET,CLE,H,mlb_schedule,0.0997524597011841,902,1,bet365,1200,0.07692307692307693,0.0228,0.0717524597011841,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,97.2,83.8,11.2,8.579697762932554,0,94.0,23.0,9 MPH TOWARD OF,6:40 PM ET,Comerica Park,,9.0,0,33.0,4.632,0.0217391304347826,0.3478260869565217,0.2608695652173913,88.51733333333333,0.3494544444444444,0.4629277777777778,0.0376344086021505,3.85,1.5,23.0,138.0,50,10,0,0.2,4,0,2026-08-11,824240,656716,"{""novig"": {""odds"": 1150}, ""bet365"": {""odds"": 1200}, ""betmgm"": {""odds"": 800}, ""fanduel"": {""odds"": 1100}}"
CJ Abrams,WSH,L,Shota Imanaga,L,WSH,CHC,H,mlb_schedule,0.1827790836192788,447,1,fanduel,520,0.16129032258064516,0.0215,0.1547790836192788,0.2289156626506024,0.1064257028112449,0.6646586345381527,4.0,0.9873541358057508,93.0,86.6,8.9,5.600951480343554,0,93.0,45.0,6 MPH TOWARD OF,6:45 PM ET,Nationals Park,28.0,4.0,0,11.0,4.929,0.073170731707317,0.4146341463414634,0.2195121951219512,87.61,0.4114833333333333,0.5763055555555555,0.0666666666666666,3.6,1.6959798994974875,25.0,132.66666666666666,8,0,0,0.0,23,5,2026-08-11,822697,682928,"{""novig"": {""odds"": 506}, ""bet365"": {""odds"": 500}, ""betmgm"": {""odds"": 350}, ""pinnacle"": {""odds"": 477}, ""fanduel"": {""odds"": 520}}"
Javier Báez,DET,R,Tanner Bibee,R,DET,CLE,H,mlb_schedule,0.1096726185525025,812,1,novig,1011,0.09000900090009001,0.0197,0.0816726185525025,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,104.4,83.8,11.2,8.579697762932554,0,94.0,23.0,9 MPH TOWARD OF,6:40 PM ET,Comerica Park,,8.0,0,109.0,4.632,0.0,0.2448979591836734,0.2448979591836734,84.809,0.2481711111111111,0.3229666666666667,0.0376344086021505,3.85,1.5,23.0,138.0,16,4,0,0.25,1,1,2026-08-11,824240,595879,"{""novig"": {""odds"": 1011}, ""bet365"": {""odds"": 900}, ""fanduel"": {""odds"": 1000}}"
Spencer Torkelson,DET,R,Tanner Bibee,R,DET,CLE,H,mlb_schedule,0.1830858078194566,446,1,bet365,500,0.16666666666666666,0.0164,0.1550858078194566,0.3060344827586206,0.1163793103448275,0.5775862068965517,3.7,0.9587683289893145,104.4,83.8,11.2,8.579697762932554,0,94.0,23.0,9 MPH TOWARD OF,6:40 PM ET,Comerica Park,20.0,6.0,0,13.0,4.632,0.0227272727272727,0.3863636363636363,0.3409090909090909,89.04711111111111,0.3290666666666667,0.49353,0.0376344086021505,3.85,1.5,23.0,138.0,28,8,2,0.286,17,3,2026-08-11,824240,679529,"{""novig"": {""odds"": 456}, ""bet365"": {""odds"": 500}, ""pinnacle"": {""odds"": 439}, ""draftkings"": {""odds"": 402}, ""fanduel"": {""odds"": 390}}"
Jacob Young,WSH,R,Shota Imanaga,L,WSH,CHC,H,mlb_schedule,0.10266965710910039,874,1,bet365,1000,0.09090909090909091,0.0118,0.0746696571091004,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,92.4,86.6,8.9,5.600951480343554,0,93.0,45.0,6 MPH TOWARD OF,6:45 PM ET,Nationals Park,,6.0,0,22.0,4.929,0.0,0.2162162162162162,0.2702702702702703,83.35111111111111,0.3825777777777778,0.4709821428571428,0.0666666666666666,3.6,1.6959798994974875,25.0,132.66666666666666,14,4,0,0.286,7,2,2026-08-11,822697,696285,"{""novig"": {""odds"": 953}, ""bet365"": {""odds"": 1000}, ""draftkings"": {""odds"": 960}, ""fanduel"": {""odds"": 1000}}"
