player_name,team_abbr,stand,pitcher_name,p_throws,home_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
A.J. Ewing,NYM,L,Spencer Strider,R,NYM,H,mlb_schedule,0.08229581766673325,1115,1,prophetx,880.0,0.10204081632653061,-0.0197,0.0830546341618693,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,95.0,94.5,12.3,-1.2857000981921387,0,88.0,45.0,CROSSWIND 12 MPH,7:15 PM ET,Citi Field,,5.0,8.0,0,29.0,4.461,0.0,0.2025316455696202,0.0632911392405063,77.39657142857142,0.4238461538461538,0.5508974358974359,0.0193050193050193,0.2316602316602316,0.0308880308880308,,,,,0,0,0,,1,0,2026-06-12,823617,805999
Julio Rodríguez,SEA,R,Zack Littell,R,WSH,A,mlb_schedule,0.21840491411139928,358,1,prophetx,320.0,0.23809523809523808,-0.0197,0.219583093207292,0.2071197411003236,0.0809061488673139,0.7119741100323624,4.2,0.9946344726331892,92.4,96.9,11.2,10.86731213429116,0,92.0,28.0,11 MPH TOWARD OF,6:45 PM ET,Nationals Park,13.0,2.0,9.0,0,10.0,5.945,0.010752688172043,0.3548387096774194,0.2043010752688172,87.43555555555555,0.4082244444444444,0.6349311111111111,0.0293159609120521,0.2866449511400651,0.0423452768729641,,,,,14,0,0,0.0,6,8,2026-06-12,822726,677594
Corbin Carroll,AZ,L,Nick Lodolo,L,CIN,A,mlb_schedule,0.17341554547866422,477,1,prophetx,415.0,0.1941747572815534,-0.0208,0.1755556803331656,0.2202166064981949,0.1299638989169675,0.6498194945848376,4.2,0.9878093670883228,123.1,81.4,10.5,2.8941922360784917,0,95.0,52.0,CROSSWIND 10 MPH,7:15 PM ET,Great American Ball Park,11.0,2.0,9.5,1,5.0,6.498,0.0116279069767441,0.3720930232558139,0.127906976744186,87.96176190476191,0.3869611111111111,0.5217366666666667,0.0252525252525252,0.2626262626262626,0.0454545454545454,,,,,0,0,0,,10,2,2026-06-12,824507,682998
Andrés Giménez,TOR,L,Ryan Weathers,L,TOR,H,mlb_schedule,0.05163042165295603,1837,1,prophetx,1250.0,0.07407407407407407,-0.0224,0.0521329911932887,0.1957446808510638,0.0595744680851063,0.7446808510638298,3.4,0.9903598560368551,108.2,,,,0,,,CALM,7:37 PM ET,Rogers Centre,6.0,9.0,8.0,0,15.0,4.114,0.0133333333333333,0.1333333333333333,0.08,80.52680952380953,0.3079555555555556,0.4079111111111111,0.0174216027874564,0.2543554006968641,0.0383275261324041,3.86,1.6714285714285717,13.0,70.0,6,2,0,0.333,6,1,2026-06-12,822803,665926
Juan Soto,NYM,L,Spencer Strider,R,NYM,H,mlb_schedule,0.2274646623298024,340,1,betrivers,300.0,0.25,-0.0225,0.2284674465184643,0.1376146788990825,0.128440366972477,0.7339449541284403,4.1,0.9956108224434467,95.0,94.5,12.3,-1.2857000981921387,0,88.0,45.0,CROSSWIND 12 MPH,7:15 PM ET,Citi Field,14.0,3.0,8.0,0,12.0,4.461,0.0441176470588235,0.3823529411764705,0.3088235294117647,90.51439682539682,0.5327566666666667,0.8761366666666668,0.0193050193050193,0.2316602316602316,0.0308880308880308,,,,,26,6,0,0.231,10,4,2026-06-12,823617,665742
Liam Hicks,MIA,L,Braxton Ashcraft,R,PIT,A,mlb_schedule,0.08541241327683237,1071,1,prophetx,820.0,0.10869565217391304,-0.0233,0.0855137197172272,0.0905511811023622,0.1181102362204724,0.7913385826771653,4.3,0.9988153194513135,90.6,82.1,13.4,3.693540567947789,0,91.0,18.0,CROSSWIND 13 MPH,6:40 PM ET,PNC Park,12.0,1.0,8.5,0,11.0,3.113,0.0,0.1940298507462686,0.1641791044776119,81.51633333333334,0.1923055555555555,0.2615277777777777,0.0098360655737704,0.2459016393442623,0.0229508196721311,3.28,0.9037656903765692,8.0,79.66666666666667,0,0,0,,11,1,2026-06-12,823370,689414
Spencer Torkelson,DET,R,Tanner Bibee,R,CLE,A,mlb_schedule,0.14138881587421495,607,1,novig,506.0,0.16501650165016502,-0.0236,0.1503051351136222,0.3269961977186312,0.1292775665399239,0.5437262357414449,3.6,0.9406785454624221,95.7,76.2,15.7,-5.626376807861214,0,89.0,23.0,6 MPH TOWARD HP,7:10 PM ET,Progressive Field,10.0,7.0,8.5,1,7.0,4.632,0.0285714285714285,0.3428571428571428,0.2428571428571428,84.86864646464646,0.3884404761904761,0.5950773809523809,0.023728813559322,0.2847457627118644,0.0338983050847457,4.09,1.5194805194805194,13.0,77.0,22,6,0,0.273,11,1,2026-06-12,824425,679529
Ryan Waldschmidt,AZ,R,Nick Lodolo,L,CIN,A,mlb_schedule,0.10430479782664658,859,1,prophetx,680.0,0.1282051282051282,-0.0239,0.1060741812504402,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,113.5,81.4,10.5,2.8941922360784917,0,95.0,52.0,CROSSWIND 10 MPH,7:15 PM ET,Great American Ball Park,,9.0,9.5,0,,6.498,0.0,0.2545454545454545,0.1454545454545454,83.12122222222223,0.4498095238095238,0.6231547619047618,0.0252525252525252,0.2626262626262626,0.0454545454545454,,,,,0,0,0,,0,0,2026-06-12,824507,814439
Ketel Marte,AZ,L,Nick Lodolo,L,CIN,A,mlb_schedule,0.2357746797799972,324,1,prophetx,285.0,0.2597402597402597,-0.024,0.2361556803130514,0.1530249110320284,0.0711743772241993,0.7758007117437722,4.3,0.9983866552244302,123.1,81.4,10.5,2.8941922360784917,0,95.0,52.0,CROSSWIND 10 MPH,7:15 PM ET,Great American Ball Park,11.0,1.0,9.5,1,8.0,6.498,0.0158730158730158,0.3492063492063492,0.1904761904761904,86.9214947089947,0.4842141025641026,0.8259333333333333,0.0252525252525252,0.2626262626262626,0.0454545454545454,,,,,6,2,2,0.333,7,4,2026-06-12,824507,606466
Nolan Arenado,AZ,R,Nick Lodolo,L,CIN,A,mlb_schedule,0.13458072185538447,643,1,prophetx,530.0,0.15873015873015872,-0.0241,0.1360464673435933,0.209205020920502,0.1129707112970711,0.6778242677824268,4.0,0.9892261407677202,113.5,81.4,10.5,2.8941922360784917,0,95.0,52.0,CROSSWIND 10 MPH,7:15 PM ET,Great American Ball Park,8.0,4.0,9.5,0,11.0,6.498,0.0273972602739726,0.273972602739726,0.136986301369863,84.81174603174603,0.2948777777777778,0.3917277777777778,0.0252525252525252,0.2626262626262626,0.0454545454545454,,,,,10,0,0,0.0,6,3,2026-06-12,824507,571448
Willson Contreras,BOS,R,Jack Leiter,R,BOS,H,mlb_schedule,0.15233534110637587,556,1,prophetx,465.0,0.17699115044247787,-0.0247,0.1560368346231165,0.2528301886792453,0.1396226415094339,0.6075471698113208,4.0,0.9762780786621247,85.2,92.3,15.0,-14.72440775171496,0,86.0,20.0,15 MPH TOWARD HP,7:10 PM ET,Fenway Park,13.0,4.0,8.5,1,7.0,4.452,0.0109890109890109,0.2747252747252747,0.0879120879120879,83.3402962962963,0.4853833333333333,0.7037833333333333,0.0252365930599369,0.2365930599369085,0.0252365930599369,4.69,1.3943661971830985,11.0,71.0,4,2,0,0.5,8,5,2026-06-12,824752,575929
