player_name,team_abbr,stand,pitcher_name,p_throws,home_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Jarren Duran,BOS,L,Drew Rasmussen,R,TB,A,mlb_schedule,0.15292016294057287,554,1,prophetx,740,0.11904761904761904,0.0339,0.1550027983126577,0.2883895131086142,0.0786516853932584,0.6329588014981273,4.3,0.9865638853313865,99.8,94.6,0.0,0.0,1,90.0,24.0,DOME,1:10 PM ET,Tropicana Field,10.0,1.0,7.5,0,10.0,3.327,0.0434782608695652,0.3478260869565217,0.144927536231884,86.98747619047619,0.4042777777777778,0.6268455555555554,0.0171232876712328,0.2089041095890411,0.023972602739726,3.0,1.0909090909090908,8.0,66.0,24,4,0,0.167,9,1,2026-06-10,822970,680776
Travis Bazzana,CLE,L,Carlos Rodón,L,CLE,H,mlb_schedule,0.11479359935879278,771,1,prophetx,1000,0.09090909090909091,0.0239,0.1158520647729435,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,106.3,89.3,19.0,1.1634144591899857e-15,0,92.0,66.0,CROSSWIND 19 MPH,1:10 PM ET,Progressive Field,,5.0,7.5,1,5.0,3.5,0.0694444444444444,0.3611111111111111,0.1944444444444444,87.40466666666666,0.3276777777777778,0.46715,0.0174216027874564,0.2160278745644599,0.0174216027874564,,,,,6,0,0,0.0,4,2,2026-06-10,824428,683953
Brayan Rocchio,CLE,L,Carlos Rodón,L,CLE,H,mlb_schedule,0.10525884474658337,850,1,prophetx,1100,0.08333333333333333,0.0219,0.1060741812504402,0.1214574898785425,0.117408906882591,0.7611336032388664,3.4,0.9923135253626721,106.3,89.3,19.0,1.1634144591899857e-15,0,92.0,66.0,CROSSWIND 19 MPH,1:10 PM ET,Progressive Field,5.0,9.0,7.5,1,4.0,3.5,0.0222222222222222,0.2,0.1333333333333333,83.56447619047619,0.2958076923076923,0.4180694444444444,0.0174216027874564,0.2160278745644599,0.0174216027874564,,,,,10,0,0,0.0,4,2,2026-06-10,824428,677587
Dane Myers,CIN,R,Michael King,R,SD,A,mlb_schedule,0.10884209295861061,819,1,prophetx,1000,0.09090909090909091,0.0179,0.1102880823354407,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,101.7,73.1,9.1,2.0470545945291705,0,98.0,0.0,CROSSWIND 9 MPH,4:10 PM ET,Petco Park,,7.0,8.0,0,25.0,4.019,0.0444444444444444,0.2444444444444444,0.1555555555555555,85.61955555555556,0.4578809523809523,0.7102678571428571,0.0148698884758364,0.2267657992565055,0.0185873605947955,3.41,0.972972972972973,8.0,74.0,0,0,0,,1,2,2026-06-10,823287,667472
Matt McLain,CIN,R,Michael King,R,SD,A,mlb_schedule,0.13350778720553536,649,1,prophetx,740,0.11904761904761904,0.0145,0.135323762024711,0.2379032258064516,0.1290322580645161,0.6330645161290323,4.3,0.9865805177745204,101.7,73.1,9.1,2.0470545945291705,0,98.0,0.0,CROSSWIND 9 MPH,4:10 PM ET,Petco Park,8.0,1.0,8.0,1,3.0,4.019,0.0163934426229508,0.2950819672131147,0.1967213114754098,83.59717460317461,0.3689880952380952,0.5987976190476191,0.0148698884758364,0.2267657992565055,0.0185873605947955,3.41,0.972972972972973,8.0,74.0,6,0,0,0.0,6,4,2026-06-10,823287,680574
Amed Rosario,NYY,R,Parker Messick,L,CLE,A,mlb_schedule,0.11957319433066153,736,1,novig,826,0.1079913606911447,0.0116,0.1205496464670446,0.22,0.08,0.7000000000000001,4.0,0.9919,95.7,89.3,19.0,1.1634144591899857e-15,0,92.0,66.0,CROSSWIND 19 MPH,1:10 PM ET,Progressive Field,,4.0,7.5,1,15.0,3.327,0.0153846153846153,0.2615384615384615,0.1538461538461538,86.2265925925926,0.3098555555555556,0.6019404761904762,0.0130718954248366,0.2058823529411764,0.0163398692810457,2.4,0.96,8.0,75.0,0,0,0,,3,3,2026-06-10,824428,642708
Jazz Chisholm Jr.,NYY,L,Parker Messick,L,CLE,A,mlb_schedule,0.15020900445348737,566,1,novig,614,0.1400560224089636,0.0102,0.1552146508674921,0.2840466926070039,0.1011673151750972,0.6147859922178989,3.6,0.9677501680026451,106.3,89.3,19.0,1.1634144591899857e-15,0,92.0,66.0,CROSSWIND 19 MPH,1:10 PM ET,Progressive Field,9.0,7.0,7.5,1,3.0,3.327,0.0121951219512195,0.3170731707317073,0.1585365853658536,86.02609523809524,0.5261788888888889,0.8569845238095237,0.0130718954248366,0.2058823529411764,0.0163398692810457,2.4,0.96,8.0,75.0,0,0,0,,6,3,2026-06-10,824428,665862
Masataka Yoshida,BOS,L,Drew Rasmussen,R,TB,A,mlb_schedule,0.08863939071176843,1028,1,novig,1150,0.08,0.0086,0.0896818356660167,0.22,0.08,0.7000000000000001,3.7,0.9883761862532517,99.8,94.6,0.0,0.0,1,90.0,24.0,DOME,1:10 PM ET,Tropicana Field,,6.0,7.5,0,17.0,3.327,0.0144927536231884,0.2898550724637681,0.217391304347826,83.80028571428572,0.29614,0.4190133333333333,0.0171232876712328,0.2089041095890411,0.023972602739726,3.0,1.0909090909090908,8.0,66.0,8,4,0,0.5,1,0,2026-06-10,822970,807799
Isiah Kiner-Falefa,BOS,R,Drew Rasmussen,R,TB,A,mlb_schedule,0.06448989174209879,1451,1,prophetx,1600,0.058823529411764705,0.0057,0.0654579167363208,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,110.5,94.6,0.0,0.0,1,90.0,24.0,DOME,1:10 PM ET,Tropicana Field,,8.0,7.5,0,15.0,3.327,0.0136986301369863,0.2191780821917808,0.0821917808219178,79.86733333333333,0.3451166666666667,0.4693666666666667,0.0171232876712328,0.2089041095890411,0.023972602739726,3.0,1.0909090909090908,8.0,66.0,12,6,0,0.5,0,1,2026-06-10,822970,643396
Mickey Gasper,BOS,R,Drew Rasmussen,R,TB,A,mlb_schedule,0.08377926713012791,1094,1,betrivers,1150,0.08,0.0038,0.0845517619135955,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,110.5,94.6,0.0,0.0,1,90.0,24.0,DOME,1:10 PM ET,Tropicana Field,,5.0,7.5,0,269.0,3.327,0.0,0.3396226415094339,0.1132075471698113,83.44377777777777,0.3564722222222222,0.4686527777777777,0.0171232876712328,0.2089041095890411,0.023972602739726,3.0,1.0909090909090908,8.0,66.0,2,0,0,0.0,0,0,2026-06-10,822970,681508
