log_date,game_date,player_name,team_abbr,stand,pitcher_name,p_throws,home_team,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,hr_park_factor,temp_f,wind_speed,wind_favor,game_id,batter,hit_hr,actual_hr_count
2026-06-09,2026-06-08,J.T. Realmuto,PHI,R,Patrick Corbin,L,TOR,mlb_schedule,0.116543295890828,758,1,betrivers,750.0,0.1176470588235294,-0.0011,0.1177568155621013,106.3,69.7,10.5,-8.704894511827938,822806,592663,0,0
2026-06-09,2026-06-08,Brandon Marsh,PHI,L,Patrick Corbin,L,TOR,mlb_schedule,0.096343018337125,938,1,prophetx,920.0,0.0980392156862745,-0.0017,0.0971204138091004,108.2,69.7,10.5,-8.704894511827938,822806,669016,0,0
2026-06-09,2026-06-08,Ryan Vilade,TB,R,Connelly Early,L,TB,mlb_schedule,0.1082105658689887,824,1,betrivers,800.0,0.1111111111111111,-0.0029,0.1093373200878212,110.5,94.1,0.0,0.0,822972,668723,0,0
2026-06-09,2026-06-08,Carlos Narváez,BOS,R,Ian Seymour,L,TB,mlb_schedule,0.094306284195576,960,1,novig,910.0,0.099009900990099,-0.0047,0.0952882585778968,110.5,94.1,0.0,0.0,822972,665966,0,0
2026-06-09,2026-06-08,J.C. Escarra,NYY,L,Gavin Williams,R,CLE,mlb_schedule,0.0856012465107985,1068,1,betrivers,1000.0,0.0909090909090909,-0.0053,0.0864925787468773,106.3,90.7,10.0,1.736481776669304,824427,641555,0,0
2026-06-09,2026-06-08,Cody Bellinger,NYY,L,Gavin Williams,R,CLE,mlb_schedule,0.1513993081490724,561,1,novig,529.0,0.1589825119236884,-0.0076,0.1524984727262021,106.3,90.7,10.0,1.736481776669304,824427,641355,0,0
2026-06-09,2026-06-08,Ernie Clement,TOR,R,Cristopher Sánchez,L,TOR,mlb_schedule,0.063388824793243,1478,1,prophetx,1300.0,0.0714285714285714,-0.008,0.0634106268786387,106.3,69.7,10.5,-8.704894511827938,822806,676391,1,1
2026-06-09,2026-06-08,Sam Huff,BAL,R,Emerson Hancock,R,BAL,mlb_schedule,0.1091610043871823,816,1,prophetx,740.0,0.119047619047619,-0.0099,0.1102976551498644,94.3,78.0,9.4,-7.7000292163165245,824829,669087,0,0
2026-06-09,2026-06-08,Taylor Walls,TB,L,Connelly Early,L,TB,mlb_schedule,0.0551021819601158,1715,1,prophetx,1400.0,0.0666666666666666,-0.0116,0.0556759393884394,99.8,94.1,0.0,0.0,822972,670764,0,0
2026-06-09,2026-06-08,Jhonny Pereda,SEA,R,Trey Gibson,R,BAL,mlb_schedule,0.0706902729277647,1315,1,prophetx,1100.0,0.0833333333333333,-0.0126,0.0714263430389608,94.3,78.0,9.4,-7.7000292163165245,824829,640902,0,0
2026-06-09,2026-06-08,Jackson Holliday,BAL,L,Emerson Hancock,R,BAL,mlb_schedule,0.0908451734956861,1001,1,prophetx,860.0,0.1041666666666666,-0.0133,0.0917911086885652,115.6,78.0,9.4,-7.7000292163165245,824829,702616,0,0
